STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21956325154
CPU_CLK_UNHALTED_CORE,FIXC1,7018351737
CPU_CLK_UNHALTED_REF,FIXC2,7060502280
UOPS_RETIRED_USED_CYCLES,PMC0,4668082320
UOPS_RETIRED_STALL_CYCLES,PMC1,2350269417
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,7018351737
UOPS_RETIRED_STALL_CYCLES,PMC3,1343954146
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],3.3002,
Runtime unhalted [s],3.1785,
Clock [MHz],2194.8718,
CPI,0.3197,
Used cycles ratio [%],66.5125,
Unused cycles ratio [%],33.4875,
Avg stall duration [cycles],1.7488,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21962404111
CPU_CLK_UNHALTED_CORE,FIXC1,7015280815
CPU_CLK_UNHALTED_REF,FIXC2,7057290468
L2_LINES_IN_ALL,PMC0,48995
L2_TRANS_L2_WB,PMC1,4904
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],3.2995,
Runtime unhalted [s],3.1771,
Clock [MHz],2194.9099,
CPI,0.3194,
L3 load bandwidth [MBytes/s],0.9504,
L3 load data volume [GBytes],0.0031,
L3 evict bandwidth [MBytes/s],0.0951,
L3 evict data volume [GBytes],0.0003,
L3 bandwidth [MBytes/s],1.0455,
L3 data volume [GBytes],0.0034,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21958810116
CPU_CLK_UNHALTED_CORE,FIXC1,7015541948
CPU_CLK_UNHALTED_REF,FIXC2,7057522308
MEM_INST_RETIRED_ALL_LOADS,PMC0,8781741059
MEM_INST_RETIRED_ALL_STORES,PMC1,15358581
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],3.2996,
Runtime unhalted [s],3.1773,
Clock [MHz],2194.9195,
CPI,0.3195,
Load to store ratio,571.7808,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21956415784
CPU_CLK_UNHALTED_CORE,FIXC1,7015464392
CPU_CLK_UNHALTED_REF,FIXC2,7057459104
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],3.2996,
Runtime unhalted [s],3.1772,
Clock [MHz],2194.9148,
CPI,0.3195,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21975255506
CPU_CLK_UNHALTED_CORE,FIXC1,7015494037
CPU_CLK_UNHALTED_REF,FIXC2,7057507772
L2_TRANS_ALL_REQUESTS,PMC0,478740
L2_RQSTS_MISS,PMC1,58409
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],3.2995,
Runtime unhalted [s],3.1772,
Clock [MHz],2194.9090,
CPI,0.3192,
L2 request rate,2.178541e-05,
L2 miss rate,2.657944e-06,
L2 miss ratio,0.1220,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21963187931
CPU_CLK_UNHALTED_CORE,FIXC1,7015352308
CPU_CLK_UNHALTED_REF,FIXC2,7057364252
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,202597
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,6997088516
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,322633
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,26351387
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],3.2995,
Runtime unhalted [s],3.1772,
Clock [MHz],2194.9093,
CPI,0.3194,
Cycles without execution [%],0.3756,
Cycles without execution due to L1D [%],0.0046,
Cycles without execution due to L2 [%],0.0029,
Cycles without execution due to memory loads [%],99.7397,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21965335894
CPU_CLK_UNHALTED_CORE,FIXC1,7015543709
CPU_CLK_UNHALTED_REF,FIXC2,7057504276
ITLB_MISSES_CAUSES_A_WALK,PMC0,1567
ITLB_MISSES_WALK_ACTIVE,PMC1,60450
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],3.2992,
Runtime unhalted [s],3.1773,
Clock [MHz],2194.9256,
CPI,0.3194,
L1 ITLB misses,1567,
L1 ITLB miss rate,7.133968e-08,
L1 ITLB miss duration [Cyc],38.5769,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208053651 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21968337224
CPU_CLK_UNHALTED_CORE,FIXC1,7015706582
CPU_CLK_UNHALTED_REF,FIXC2,7057698212
DRAM_READS,MBOX0C1,711809
DRAM_WRITES,MBOX0C2,148999
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],3.2996,
Runtime unhalted [s],3.1773,
Clock [MHz],2194.9163,
CPI,0.3194,
Memory load bandwidth [MBytes/s],13.8063,
Memory load data volume [GBytes],0.0456,
Memory evict bandwidth [MBytes/s],2.8900,
