STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207994417 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,11047791841,11060423024,,
CPU_CLK_UNHALTED_CORE,FIXC1,6101084856,6108719480,,
CPU_CLK_UNHALTED_REF,FIXC2,7942695432,7952976064,,
UOPS_RETIRED_USED_CYCLES,PMC0,2223792773,2227195738,,
UOPS_RETIRED_STALL_CYCLES,PMC1,3877292083,3881524198,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,6101084856,6108719936,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1598315997,1600592727,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,22108214865,11047791841,11060423024,1.105411e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12209804336,6101084856,6108719480,6104902168
CPU_CLK_UNHALTED_REF STAT,FIXC2,15895671496,7942695432,7952976064,7947835748
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4450988511,2223792773,2227195738,2.225494e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,7758816281,3877292083,3881524198,3.879408e+09
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,12209804792,6101084856,6108719936,6104902396
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,3198908724,1598315997,1600592727,1599454362
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.6994,3.6994,,,
Runtime unhalted [s],2.7632,2.7666,,,
Clock [MHz],1696.0440,1695.9712,,,
CPI,0.5522,0.5523,,,
Used cycles ratio [%],36.4491,36.4593,,,
Unused cycles ratio [%],63.5509,63.5407,,,
Avg stall duration [cycles],2.4259,2.4251,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,7.3988,3.6994,3.6994,3.6994,
Runtime unhalted [s] STAT,5.5298,2.7632,2.7666,2.7649,
Clock [MHz] STAT,3392.0152,1695.9712,1696.0440,1696.0076,
CPI STAT,1.1045,0.5522,0.5523,0.5523,
Used cycles ratio [%] STAT,72.9084,36.4491,36.4593,36.4542,
Unused cycles ratio [%] STAT,127.0916,63.5407,63.5509,63.5458,
Avg stall duration [cycles] STAT,4.8510,2.4251,2.4259,2.4255,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207994417 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,11046455122,11053921950,,
CPU_CLK_UNHALTED_CORE,FIXC1,6099534474,6102900615,,
CPU_CLK_UNHALTED_REF,FIXC2,7940670328,7945054864,,
L2_LINES_IN_ALL,PMC0,7151,11490,,
L2_TRANS_L2_WB,PMC1,290,1621,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,22100377072,11046455122,11053921950,11050188536
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12202435089,6099534474,6102900615,6.101218e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,15885725192,7940670328,7945054864,7942862596
L2_LINES_IN_ALL STAT,PMC0,18641,7151,11490,9320.5000
L2_TRANS_L2_WB STAT,PMC1,1911,290,1621,955.5000
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.6975,3.6975,,,
Runtime unhalted [s],2.7625,2.7640,,,
Clock [MHz],1696.0455,1696.0450,,,
CPI,0.5522,0.5521,,,
L3 load bandwidth [MBytes/s],0.1238,0.1989,,,
L3 load data volume [GBytes],0.0005,0.0007,,,
L3 evict bandwidth [MBytes/s],0.0050,0.0281,,,
L3 evict data volume [GBytes],1.856000e-05,0.0001,,,
L3 bandwidth [MBytes/s],0.1288,0.2269,,,
L3 data volume [GBytes],0.0005,0.0008,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,7.3950,3.6975,3.6975,3.6975,
Runtime unhalted [s] STAT,5.5265,2.7625,2.7640,2.7633,
Clock [MHz] STAT,3392.0905,1696.0450,1696.0455,1696.0453,
CPI STAT,1.1043,0.5521,0.5522,0.5522,
L3 load bandwidth [MBytes/s] STAT,0.3227,0.1238,0.1989,0.1613,
L3 load data volume [GBytes] STAT,0.0012,0.0005,0.0007,0.0006,
L3 evict bandwidth [MBytes/s] STAT,0.0331,0.0050,0.0281,0.0165,
L3 evict data volume [GBytes] STAT,0.0001,1.856000e-05,0.0001,0.0001,
L3 bandwidth [MBytes/s] STAT,0.3557,0.1288,0.2269,0.1779,
L3 data volume [GBytes] STAT,0.0013,0.0005,0.0008,0.0006,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207994417 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,11048775835,11055961142,,
CPU_CLK_UNHALTED_CORE,FIXC1,6101200247,6104491685,,
CPU_CLK_UNHALTED_REF,FIXC2,7942836100,7947128084,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,4417751645,4420624726,,
MEM_INST_RETIRED_ALL_STORES,PMC1,15385195,15395330,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,22104736977,11048775835,11055961142,1.105237e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12205691932,6101200247,6104491685,6102845966
CPU_CLK_UNHALTED_REF STAT,FIXC2,15889964184,7942836100,7947128084,7944982092
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,8838376371,4417751645,4420624726,4.419188e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,30780525,15385195,15395330,1.539026e+07
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.6989,3.6989,,,
Runtime unhalted [s],2.7632,2.7647,,,
Clock [MHz],1696.0461,1696.0446,,,
CPI,0.5522,0.5521,,,
Load to store ratio,287.1430,287.1406,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,7.3978,3.6989,3.6989,3.6989,
Runtime unhalted [s] STAT,5.5279,2.7632,2.7647,2.7639,
