STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208564962 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,280393465,296496679,296444013,298060400,299024805,300577276,301850314,301295539,305256003,305812404,308484620,284622722
CPU_CLK_UNHALTED_CORE,FIXC1,155357605,163352553,164138632,164849443,165603561,166511596,167081968,169863571,169080985,169639459,170837744,160708651
CPU_CLK_UNHALTED_REF,FIXC2,229247532,241015160,242175648,243223528,244336912,245676892,246518140,250620144,249467752,250291612,252109440,237136256
UOPS_RETIRED_USED_CYCLES,PMC0,58118271,61712859,61213597,61805823,61958743,63093430,62637651,63156448,63415030,63486362,63955290,59348505
UOPS_RETIRED_STALL_CYCLES,PMC1,97239334,101639694,102925035,103043620,103644818,103418166,104444317,106707123,105665955,106153097,106882454,101360146
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,155357605,163352553,164138632,164849443,165603561,166511596,167081968,169863571,169080985,169639459,170837744,160708651
UOPS_RETIRED_STALL_CYCLES,PMC3,38974378,40998853,41148832,41361461,41529804,40984950,41957450,41773567,42367499,42473992,42823083,39298457
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3578318240,280393465,308484620,2.981932e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1987025768,155357605,170837744,1.655855e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2931819016,229247532,252109440,2.443183e+08,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,743902009,58118271,63955290,6.199183e+07,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1243123759,97239334,106882454,1.035936e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,1987025768,155357605,170837744,1.655855e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,495692326,38974378,42823083,4.130769e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,0.2008,
Runtime unhalted [s],0.0703,0.0740,0.0743,0.0746,0.0750,0.0754,0.0757,0.0769,0.0766,0.0768,0.0774,0.0728,
Clock [MHz],1496.7113,1496.8964,1496.8922,1496.8976,1496.8930,1496.8916,1496.8934,1496.9057,1496.8922,1496.8930,1496.5971,1496.7576,
CPI,0.5541,0.5509,0.5537,0.5531,0.5538,0.5540,0.5535,0.5638,0.5539,0.5547,0.5538,0.5646,
Used cycles ratio [%],37.4094,37.7789,37.2938,37.4923,37.4139,37.8913,37.4892,37.1807,37.5057,37.4243,37.4363,36.9293,
Unused cycles ratio [%],62.5906,62.2211,62.7062,62.5077,62.5861,62.1087,62.5108,62.8193,62.4943,62.5757,62.5637,63.0707,
Avg stall duration [cycles],2.4950,2.4791,2.5013,2.4913,2.4957,2.5233,2.4893,2.5544,2.4940,2.4992,2.4959,2.5792,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,2.4096,0.2008,0.2008,0.2008,,,,,,,,,
Runtime unhalted [s] STAT,0.8998,0.0703,0.0774,0.0750,,,,,,,,,
Clock [MHz] STAT,17962.1211,1496.5971,1496.9057,1496.8434,,,,,,,,,
CPI STAT,6.6639,0.5509,0.5646,0.5553,,,,,,,,,
Used cycles ratio [%] STAT,449.2451,36.9293,37.8913,37.4371,,,,,,,,,
Unused cycles ratio [%] STAT,750.7549,62.1087,63.0707,62.5629,,,,,,,,,
Avg stall duration [cycles] STAT,30.0977,2.4791,2.5792,2.5081,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208564962 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,275299049,276110626,276952464,280792035,278988420,282392277,281387107,281836251,283427032,285208859,285204519,262687171
CPU_CLK_UNHALTED_CORE,FIXC1,152704597,152926668,153449829,157172765,154543461,156085478,155923808,156255728,157490784,159368006,158052351,149307145
CPU_CLK_UNHALTED_REF,FIXC2,225346732,225632944,226404824,232610132,228018320,230505448,230124936,230592664,232540120,235613104,233257536,220542676
L2_LINES_IN_ALL,PMC0,10645,239,243,144715,333,17735,10629,8500,42318,86429,8711,67556
L2_TRANS_L2_WB,PMC1,585,19,11,17608,23,4876,819,664,1462,12054,138,9616
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3350285810,262687171,285208859,2.791905e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1863280620,149307145,159368006,155273385,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2751189436,220542676,235613104,2.292658e+08,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,398053,239,144715,33171.0833,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,47875,11,17608,3989.5833,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,0.1972,
Runtime unhalted [s],0.0691,0.0692,0.0695,0.0712,0.0700,0.0707,0.0706,0.0707,0.0713,0.0722,0.0716,0.0676,
Clock [MHz],1496.6182,1496.8935,1496.8935,1492.3093,1496.8941,1495.5174,1496.4387,1496.5824,1495.7790,1493.8668,1496.4956,1495.1960,
CPI,0.5547,0.5539,0.5541,0.5597,0.5539,0.5527,0.5541,0.5544,0.5557,0.5588,0.5542,0.5684,
L3 load bandwidth [MBytes/s],3.4552,0.0776,0.0789,46.9719,0.1081,5.7565,3.4500,2.7589,13.7357,28.0533,2.8274,21.9275,
L3 load data volume [GBytes],0.0007,1.529600e-05,1.555200e-05,0.0093,2.131200e-05,0.0011,0.0007,0.0005,0.0027,0.0055,0.0006,0.0043,
L3 evict bandwidth [MBytes/s],0.1899,0.0062,0.0036,5.7152,0.0075,1.5827,0.2658,0.2155,0.4745,3.9125,0.0448,3.1212,
L3 evict data volume [GBytes],3.744000e-05,1.216000e-06,7.040000e-07,0.0011,1.472000e-06,0.0003,0.0001,4.249600e-05,0.0001,0.0008,8.832000e-06,0.0006,
L3 bandwidth [MBytes/s],3.6451,0.0837,0.0824,52.6871,0.1156,7.3391,3.7158,2.9745,14.2102,31.9658,2.8722,25.0487,
L3 data volume [GBytes],0.0007,1.651200e-05,1.625600e-05,0.0104,2.278400e-05,0.0014,0.0007,0.0006,0.0028,0.0063,0.0006,0.0049,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,2.3664,0.1972,0.1972,0.1972,,,,,,,,,
Runtime unhalted [s] STAT,0.8437,0.0676,0.0722,0.0703,,,,,,,,,
Clock [MHz] STAT,17949.4845,1492.3093,1496.8941,1495.7904,,,,,,,,,
CPI STAT,6.6746,0.5527,0.5684,0.5562,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,129.2010,0.0776,46.9719,10.7668,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0255,1.529600e-05,0.0093,0.0021,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,15.5394,0.0036,5.7152,1.2950,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0031,7.040000e-07,0.0011,0.0003,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,144.7402,0.0824,52.6871,12.0617,,,,,,,,,
L3 data volume [GBytes] STAT,0.0285,1.625600e-05,0.0104,0.0024,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208564962 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,276994215,277954374,278571086,224187797,280602408,280494047,282467381,283366913,284085387,300869439,286171302,271258347
CPU_CLK_UNHALTED_CORE,FIXC1,153433321,154138474,154318166,127108638,155434525,156002837,156385046,156908530,157304893,157891803,158415921,152358279
CPU_CLK_UNHALTED_REF,FIXC2,226389460,227504316,227685648,187540712,229333000,230171488,230735816,231507420,232092540,232958536,233732256,224803012
MEM_INST_RETIRED_ALL_LOADS,PMC0,110535415,110908477,111168200,88323502,111978997,111935741,112723234,113082213,113368930,120066853,114201343,108234972
MEM_INST_RETIRED_ALL_STORES,PMC1,2267010,2287622,2275684,2484383,2292026,2291158,2307292,2314608,2320481,2457570,2337515,2239822
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3327022696,224187797,300869439,2.772519e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1839700433,127108638,158415921,1.533084e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2714454204,187540712,233732256,226204517,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1326527877,88323502,120066853,1.105440e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,27875171,2239822,2484383,2.322931e+06,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,0.1981,
Runtime unhalted [s],0.0695,0.0698,0.0699,0.0576,0.0704,0.0706,0.0708,0.0710,0.0712,0.0715,0.0717,0.0690,
Clock [MHz],1496.8341,1496.3445,1496.8958,1496.8893,1496.8942,1496.8943,1496.8917,1496.8967,1496.8946,1496.8943,1496.8916,1496.8356,
CPI,0.5539,0.5545,0.5540,0.5670,0.5539,0.5562,0.5536,0.5537,0.5537,0.5248,0.5536,0.5617,
Load to store ratio,48.7582,48.4820,48.8505,35.5515,48.8559,48.8555,48.8552,48.8559,48.8558,48.8559,48.8559,48.3230,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,2.3772,0.1981,0.1981,0.1981,,,,,,,,,
Runtime unhalted [s] STAT,0.8330,0.0576,0.0717,0.0694,,,,,,,,,
Clock [MHz] STAT,17962.0567,1496.3445,1496.8967,1496.8381,,,,,,,,,
CPI STAT,6.6406,0.5248,0.5670,0.5534,,,,,,,,,
Load to store ratio STAT,571.9553,35.5515,48.8559,47.6629,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208564962 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,277274598,288390204,278982308,279507141,280783651,282869489,282452402,254883343,288213303,289376565,285894896,274183260
CPU_CLK_UNHALTED_CORE,FIXC1,153740718,153974122,154539189,157366487,155558794,156053314,156393330,148078716,160318878,159454940,158248181,155215487
CPU_CLK_UNHALTED_REF,FIXC2,226861604,227207524,228011880,234103752,229516632,230245272,230747040,218480220,237670776,235940900,233484316,230224388
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0,0,0,0,0,0,0,0,0,0,0,0
