STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207872093 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,7417686039,7382336972,7417640945,
CPU_CLK_UNHALTED_CORE,FIXC1,2397085186,2384550918,2400444089,
CPU_CLK_UNHALTED_REF,FIXC2,4421077572,4397805344,4427113324,
UOPS_RETIRED_USED_CYCLES,PMC0,1583482472,1586507807,1600548366,
UOPS_RETIRED_STALL_CYCLES,PMC1,813602781,798043111,799895723,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2397085253,2384550918,2400444089,
UOPS_RETIRED_STALL_CYCLES,PMC3,456249797,456987474,462766696,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,22217663956,7382336972,7417686039,7.405888e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,7182080193,2384550918,2400444089,2394026731
CPU_CLK_UNHALTED_REF STAT,FIXC2,13245996240,4397805344,4427113324,4415332080
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4770538645,1583482472,1600548366,1.590180e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,2411541615,798043111,813602781,803847205
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,7182080260,2384550918,2400444089,2.394027e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,1376003967,456249797,462766696,458667989
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.0972,2.0972,2.0972,,
Runtime unhalted [s],1.0857,1.0800,1.0872,,
Clock [MHz],1197.0967,1197.1388,1197.1398,,
CPI,0.3232,0.3230,0.3236,,
Used cycles ratio [%],66.0587,66.5328,66.6772,,
Unused cycles ratio [%],33.9413,33.4672,33.3228,,
Avg stall duration [cycles],1.7832,1.7463,1.7285,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.2916,2.0972,2.0972,2.0972,
Runtime unhalted [s] STAT,3.2529,1.0800,1.0872,1.0843,
Clock [MHz] STAT,3591.3753,1197.0967,1197.1398,1197.1251,
CPI STAT,0.9698,0.3230,0.3236,0.3233,
Used cycles ratio [%] STAT,199.2687,66.0587,66.6772,66.4229,
Unused cycles ratio [%] STAT,100.7313,33.3228,33.9413,33.5771,
Avg stall duration [cycles] STAT,5.2580,1.7285,1.7832,1.7527,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207872093 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,7409676882,7341561900,7409853589,
CPU_CLK_UNHALTED_CORE,FIXC1,2392417158,2370599887,2397211036,
CPU_CLK_UNHALTED_REF,FIXC2,4412308500,4372068528,4421147216,
L2_LINES_IN_ALL,PMC0,3172,3127,4295,
L2_TRANS_L2_WB,PMC1,255,300,421,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,22161092371,7341561900,7409853589,7.387031e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,7160228081,2370599887,2397211036,2.386743e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,13205524244,4372068528,4421147216,4.401841e+09
L2_LINES_IN_ALL STAT,PMC0,10594,3127,4295,3531.3333
L2_TRANS_L2_WB STAT,PMC1,976,255,421,325.3333
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.0956,2.0956,2.0956,,
Runtime unhalted [s],1.0836,1.0737,1.0858,,
Clock [MHz],1197.1400,1197.1407,1197.1407,,
CPI,0.3229,0.3229,0.3235,,
L3 load bandwidth [MBytes/s],0.0969,0.0955,0.1312,,
L3 load data volume [GBytes],0.0002,0.0002,0.0003,,
L3 evict bandwidth [MBytes/s],0.0078,0.0092,0.0129,,
L3 evict data volume [GBytes],1.632000e-05,1.920000e-05,2.694400e-05,,
L3 bandwidth [MBytes/s],0.1047,0.1047,0.1440,,
L3 data volume [GBytes],0.0002,0.0002,0.0003,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.2868,2.0956,2.0956,2.0956,
Runtime unhalted [s] STAT,3.2431,1.0737,1.0858,1.0810,
Clock [MHz] STAT,3591.4214,1197.1400,1197.1407,1197.1405,
CPI STAT,0.9693,0.3229,0.3235,0.3231,
L3 load bandwidth [MBytes/s] STAT,0.3236,0.0955,0.1312,0.1079,
L3 load data volume [GBytes] STAT,0.0007,0.0002,0.0003,0.0002,
L3 evict bandwidth [MBytes/s] STAT,0.0299,0.0078,0.0129,0.0100,
L3 evict data volume [GBytes] STAT,0.0001,1.632000e-05,2.694400e-05,2.082133e-05,
L3 bandwidth [MBytes/s] STAT,0.3534,0.1047,0.1440,0.1178,
L3 data volume [GBytes] STAT,0.0007,0.0002,0.0003,0.0002,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207872093 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,7407340374,7351785536,7416127565,
CPU_CLK_UNHALTED_CORE,FIXC1,2393499672,2385142099,2397981344,
CPU_CLK_UNHALTED_REF,FIXC2,4414301772,4398889104,4422564200,
MEM_INST_RETIRED_ALL_LOADS,PMC0,2961170977,2938962209,2964683657,
MEM_INST_RETIRED_ALL_STORES,PMC1,15445689,15329894,15464053,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,22175253475,7351785536,7416127565,7.391751e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,7176623115,2385142099,2397981344,2392207705
CPU_CLK_UNHALTED_REF STAT,FIXC2,13235755076,4398889104,4422564200,4.411918e+09
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,8864816843,2938962209,2964683657,2.954939e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,46239636,15329894,15464053,15413212
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.0969,2.0969,2.0969,,
Runtime unhalted [s],1.0841,1.0803,1.0861,,
Clock [MHz],1197.1409,1197.1406,1197.1417,,
