STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207954885 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3700663476,3708598704,3687885540,3725807037,3727458645,3731765801
CPU_CLK_UNHALTED_CORE,FIXC1,2045632852,2049566165,2038350287,2054696201,2062750991,2062793612
CPU_CLK_UNHALTED_REF,FIXC2,2663104772,2668222824,2653711020,2674905520,2685745972,2685480644
UOPS_RETIRED_USED_CYCLES,PMC0,753690058,755300898,751292796,759361315,759751296,760099246
UOPS_RETIRED_STALL_CYCLES,PMC1,1291942794,1294265267,1287057491,1295334886,1302999695,1302694366
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2045632852,2049566165,2038350287,2054696201,2062750991,2062793612
UOPS_RETIRED_STALL_CYCLES,PMC3,527133394,528027509,525257586,530288374,530670862,531419377
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,22282179203,3687885540,3731765801,3.713697e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12313790108,2038350287,2062793612,2.052298e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,16031170752,2653711020,2685745972,2671861792,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4539495609,751292796,760099246,7.565826e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,7774294499,1287057491,1302999695,1.295716e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,12313790108,2038350287,2062793612,2.052298e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,3172797102,525257586,531419377,528799517,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.2976,1.2976,1.2976,1.2976,1.2976,1.2976,
Runtime unhalted [s],0.9265,0.9283,0.9232,0.9306,0.9342,0.9343,
Clock [MHz],1696.0148,1696.0164,1695.9591,1696.0137,1695.7900,1695.9926,
CPI,0.5528,0.5527,0.5527,0.5515,0.5534,0.5528,
Used cycles ratio [%],36.8439,36.8517,36.8579,36.9574,36.8319,36.8481,
Unused cycles ratio [%],63.1561,63.1483,63.1421,63.0426,63.1681,63.1519,
Avg stall duration [cycles],2.4509,2.4511,2.4503,2.4427,2.4554,2.4513,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,7.7856,1.2976,1.2976,1.2976,,,
Runtime unhalted [s] STAT,5.5771,0.9232,0.9343,0.9295,,,
Clock [MHz] STAT,10175.7866,1695.7900,1696.0164,1695.9644,,,
CPI STAT,3.3159,0.5515,0.5534,0.5526,,,
Used cycles ratio [%] STAT,221.1909,36.8319,36.9574,36.8651,,,
Unused cycles ratio [%] STAT,378.8091,63.0426,63.1681,63.1349,,,
Avg stall duration [cycles] STAT,14.7017,2.4427,2.4554,2.4503,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207954885 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3692459388,3697443783,3676248199,3710449932,3709467984,3714435758
CPU_CLK_UNHALTED_CORE,FIXC1,2041180765,2044017020,2031927325,2047142297,2050868425,2053229333
CPU_CLK_UNHALTED_REF,FIXC2,2657307760,2660999996,2645355580,2665072928,2669919580,2672994588
L2_LINES_IN_ALL,PMC0,1988,1655,5937,1080,430,1037
L2_TRANS_L2_WB,PMC1,104,117,453,101,12,67
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,22200505044,3676248199,3714435758,3700084174,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12268365165,2031927325,2053229333,2.044728e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,15971650432,2645355580,2672994588,2.661942e+09,,
L2_LINES_IN_ALL STAT,PMC0,12127,430,5937,2021.1667,,
L2_TRANS_L2_WB STAT,PMC1,854,12,453,142.3333,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.2954,1.2954,1.2954,1.2954,1.2954,1.2954,
Runtime unhalted [s],0.9245,0.9258,0.9203,0.9272,0.9289,0.9299,
Clock [MHz],1696.0155,1696.0155,1695.9549,1696.0128,1696.0155,1696.0146,
CPI,0.5528,0.5528,0.5527,0.5517,0.5529,0.5528,
L3 load bandwidth [MBytes/s],0.0982,0.0818,0.2933,0.0534,0.0212,0.0512,
L3 load data volume [GBytes],0.0001,0.0001,0.0004,0.0001,2.752000e-05,0.0001,
L3 evict bandwidth [MBytes/s],0.0051,0.0058,0.0224,0.0050,0.0006,0.0033,
L3 evict data volume [GBytes],6.656000e-06,7.488000e-06,2.899200e-05,6.464000e-06,7.680000e-07,4.288000e-06,
L3 bandwidth [MBytes/s],0.1034,0.0875,0.3157,0.0584,0.0218,0.0545,
L3 data volume [GBytes],0.0001,0.0001,0.0004,0.0001,2.828800e-05,0.0001,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,7.7724,1.2954,1.2954,1.2954,,,
Runtime unhalted [s] STAT,5.5566,0.9203,0.9299,0.9261,,,
Clock [MHz] STAT,10176.0288,1695.9549,1696.0155,1696.0048,,,
CPI STAT,3.3157,0.5517,0.5529,0.5526,,,
L3 load bandwidth [MBytes/s] STAT,0.5991,0.0212,0.2933,0.0998,,,
L3 load data volume [GBytes] STAT,0.0008,2.752000e-05,0.0004,0.0001,,,
L3 evict bandwidth [MBytes/s] STAT,0.0422,0.0006,0.0224,0.0070,,,
L3 evict data volume [GBytes] STAT,0.0001,7.680000e-07,2.899200e-05,9.109333e-06,,,
L3 bandwidth [MBytes/s] STAT,0.6413,0.0218,0.3157,0.1069,,,
L3 data volume [GBytes] STAT,0.0008,2.828800e-05,0.0004,0.0001,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207954885 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
