STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208249052 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,611737046,616479217,619750659,619204695,625410810,592814904
CPU_CLK_UNHALTED_CORE,FIXC1,201271788,201746056,202406836,202821069,206546167,203815333
CPU_CLK_UNHALTED_REF,FIXC2,445443024,446493020,447953336,448870668,457116444,451071216
UOPS_RETIRED_USED_CYCLES,PMC0,137864738,136669114,133309874,134593915,135442265,129862863
UOPS_RETIRED_STALL_CYCLES,PMC1,63407050,65076942,69096962,68227154,71103902,73952470
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,201271788,201746056,202406836,202821069,206546167,203815333
UOPS_RETIRED_STALL_CYCLES,PMC3,38895266,38067319,37967704,37921003,38305864,40027811
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,3685397331,592814904,625410810,6.142329e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1218607249,201271788,206546167,2.031012e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2696947708,445443024,457116444,4.494913e+08,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,807742769,129862863,137864738,1.346238e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,410864480,63407050,73952470,6.847741e+07,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,1218607249,201271788,206546167,2.031012e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,231184967,37921003,40027811,3.853083e+07,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,
Runtime unhalted [s],0.0911,0.0914,0.0917,0.0918,0.0935,0.0923,
Clock [MHz],997.7892,997.7884,997.7930,997.7917,997.7882,997.7915,
CPI,0.3290,0.3273,0.3266,0.3276,0.3303,0.3438,
Used cycles ratio [%],68.4968,67.7431,65.8623,66.3609,65.5748,63.7159,
Unused cycles ratio [%],31.5032,32.2569,34.1377,33.6391,34.4252,36.2841,
Avg stall duration [cycles],1.6302,1.7095,1.8199,1.7992,1.8562,1.8475,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,1.8000,0.3000,0.3000,0.3000,,,
Runtime unhalted [s] STAT,0.5518,0.0911,0.0935,0.0920,,,
Clock [MHz] STAT,5986.7420,997.7882,997.7930,997.7903,,,
CPI STAT,1.9846,0.3266,0.3438,0.3308,,,
Used cycles ratio [%] STAT,397.7538,63.7159,68.4968,66.2923,,,
Unused cycles ratio [%] STAT,202.2462,31.5032,36.2841,33.7077,,,
Avg stall duration [cycles] STAT,10.6625,1.6302,1.8562,1.7771,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208249052 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,609924517,613934091,613436956,613800086,615078712,611672499
CPU_CLK_UNHALTED_CORE,FIXC1,201119616,201318423,201258267,201638857,201961217,202321461
CPU_CLK_UNHALTED_REF,FIXC2,445106856,445545236,445411008,446254740,446967924,447765932
L2_LINES_IN_ALL,PMC0,33250,24425,501,422,645,1211
L2_TRANS_L2_WB,PMC1,1039,2813,61,47,78,241
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,3677846861,609924517,615078712,6.129745e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1209617841,201119616,202321461,2.016030e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2677051696,445106856,447765932,4.461753e+08,,
L2_LINES_IN_ALL STAT,PMC0,60454,422,33250,10075.6667,,
L2_TRANS_L2_WB STAT,PMC1,4279,47,2813,713.1667,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.2976,0.2976,0.2976,0.2976,0.2976,0.2976,
Runtime unhalted [s],0.0911,0.0912,0.0911,0.0913,0.0915,0.0916,
Clock [MHz],997.7878,997.7914,997.7939,997.7907,997.7912,997.7896,
CPI,0.3297,0.3279,0.3281,0.3285,0.3284,0.3308,
L3 load bandwidth [MBytes/s],7.1516,5.2535,0.1078,0.0908,0.1387,0.2605,
L3 load data volume [GBytes],0.0021,0.0016,3.206400e-05,2.700800e-05,4.128000e-05,0.0001,
L3 evict bandwidth [MBytes/s],0.2235,0.6050,0.0131,0.0101,0.0168,0.0518,
L3 evict data volume [GBytes],0.0001,0.0002,3.904000e-06,3.008000e-06,4.992000e-06,1.542400e-05,
L3 bandwidth [MBytes/s],7.3751,5.8585,0.1209,0.1009,0.1555,0.3123,
L3 data volume [GBytes],0.0022,0.0017,3.596800e-05,3.001600e-05,4.627200e-05,0.0001,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,1.7856,0.2976,0.2976,0.2976,,,
Runtime unhalted [s] STAT,0.5478,0.0911,0.0916,0.0913,,,
Clock [MHz] STAT,5986.7446,997.7878,997.7939,997.7908,,,
CPI STAT,1.9734,0.3279,0.3308,0.3289,,,
L3 load bandwidth [MBytes/s] STAT,13.0029,0.0908,7.1516,2.1671,,,
L3 load data volume [GBytes] STAT,0.0039,2.700800e-05,0.0021,0.0007,,,
L3 evict bandwidth [MBytes/s] STAT,0.9203,0.0101,0.6050,0.1534,,,
L3 evict data volume [GBytes] STAT,0.0003,3.008000e-06,0.0002,0.0001,,,
L3 bandwidth [MBytes/s] STAT,13.9232,0.1009,7.3751,2.3205,,,
L3 data volume [GBytes] STAT,0.0041,3.001600e-05,0.0022,0.0007,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208249052 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,611922043,615002603,615618853,617704927,619503501,618241749
CPU_CLK_UNHALTED_CORE,FIXC1,200829251,201237772,201514171,201905997,202254123,202597195
