STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207633145 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1585016372,1608444990,1627464258,1645558052,1661789994,1698948039,1703158673,1711621743,1719014672,1775060041,1798584116,2008230454
CPU_CLK_UNHALTED_CORE,FIXC1,993799497,1009173893,1043652835,1052160519,1063416510,1070598112,1088859706,1092010610,1095670159,1131236696,1143993779,1073893023
CPU_CLK_UNHALTED_REF,FIXC2,1832889136,1861206736,1924797044,1940529412,1961246340,1974653684,2008470860,2013982304,2020808888,2086329908,2109855596,1980576092
UOPS_RETIRED_USED_CYCLES,PMC0,331779313,337133917,341634261,346493085,348958870,360424493,357556994,360037506,361225104,373268476,377382957,423144782
UOPS_RETIRED_STALL_CYCLES,PMC1,662020184,672039976,702018574,705667434,714457640,710173619,731303807,731973104,734445055,757968220,766610822,650748241
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,993799497,1009173893,1043652835,1052160519,1063416510,1070598112,1088860801,1092010610,1095670159,1131236696,1143993779,1073893023
UOPS_RETIRED_STALL_CYCLES,PMC3,221215060,223799083,226982041,228923560,231838490,230620144,237741301,238126148,238424764,247540989,251011510,276566270
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,20542891404,1585016372,2008230454,1711907617,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12858465339,993799497,1143993779,1.071539e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,23715346000,1832889136,2109855596,1.976279e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4319039758,331779313,423144782,3.599200e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,8539426676,650748241,766610822,7.116189e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,12858466434,993799497,1143993779,1.071539e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2852789360,221215060,276566270,2.377324e+08,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,0.8952,
Runtime unhalted [s],0.4502,0.4571,0.4727,0.4766,0.4817,0.4850,0.4932,0.4947,0.4963,0.5124,0.5182,0.4864,
Clock [MHz],1196.9871,1197.0114,1197.0107,1196.9849,1197.0110,1196.9126,1196.8323,1197.0109,1196.9651,1197.0090,1197.0102,1197.0062,
CPI,0.6270,0.6274,0.6413,0.6394,0.6399,0.6302,0.6393,0.6380,0.6374,0.6373,0.6361,0.5347,
Used cycles ratio [%],33.3849,33.4069,32.7345,32.9316,32.8149,33.6657,32.8377,32.9701,32.9684,32.9965,32.9882,39.4029,
Unused cycles ratio [%],66.6151,66.5931,67.2655,67.0684,67.1851,66.3343,67.1623,67.0299,67.0316,67.0035,67.0118,60.5971,
Avg stall duration [cycles],2.9927,3.0029,3.0928,3.0825,3.0817,3.0794,3.0760,3.0739,3.0804,3.0620,3.0541,2.3530,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,10.7424,0.8952,0.8952,0.8952,,,,,,,,,
Runtime unhalted [s] STAT,5.8245,0.4502,0.5182,0.4854,,,,,,,,,
Clock [MHz] STAT,14363.7514,1196.8323,1197.0114,1196.9793,,,,,,,,,
CPI STAT,7.5280,0.5347,0.6413,0.6273,,,,,,,,,
Used cycles ratio [%] STAT,403.1023,32.7345,39.4029,33.5919,,,,,,,,,
Unused cycles ratio [%] STAT,796.8977,60.5971,67.2655,66.4081,,,,,,,,,
Avg stall duration [cycles] STAT,36.0314,2.3530,3.0928,3.0026,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207633145 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1560794148,1544793440,1556061604,1572397281,1586772605,1653486478,1667536523,1684788903,1736079844,1721487926,1741596703,1977329282
CPU_CLK_UNHALTED_CORE,FIXC1,981957151,973804548,981393295,983964273,997877310,1039003013,1055779323,1061676184,1090957327,1087530904,1096612801,1056905492
CPU_CLK_UNHALTED_REF,FIXC2,1811008868,1796041204,1809973960,1814878572,1840369748,1916297440,1947353052,1958034528,2012115900,2005720888,2022476296,1949237212
L2_LINES_IN_ALL,PMC0,368,6321,4592,57567,725,47628,26551,2044,5653,2667,6117,196840
L2_TRANS_L2_WB,PMC1,31,670,430,10877,200,7969,1622,203,409,251,1416,40596
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,20003124737,1544793440,1977329282,1.666927e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12407461621,973804548,1096612801,1.033955e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,22883507668,1796041204,2022476296,1.906959e+09,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,357073,368,196840,29756.0833,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,64674,31,40596,5389.5000,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,
Runtime unhalted [s],0.4448,0.4411,0.4445,0.4457,0.4520,0.4706,0.4782,0.4809,0.4942,0.4926,0.4967,0.4788,
Clock [MHz],1197.0130,1196.9676,1197.0097,1196.9022,1197.0133,1196.9632,1196.8931,1197.0124,1196.9656,1197.0107,1197.0072,1197.0116,
CPI,0.6291,0.6304,0.6307,0.6258,0.6289,0.6284,0.6331,0.6302,0.6284,0.6317,0.6297,0.5345,
L3 load bandwidth [MBytes/s],0.0265,0.4550,0.3305,4.1437,0.0522,3.4283,1.9111,0.1471,0.4069,0.1920,0.4403,14.1686,
L3 load data volume [GBytes],2.355200e-05,0.0004,0.0003,0.0037,4.640000e-05,0.0030,0.0017,0.0001,0.0004,0.0002,0.0004,0.0126,
L3 evict bandwidth [MBytes/s],0.0022,0.0482,0.0310,0.7829,0.0144,0.5736,0.1168,0.0146,0.0294,0.0181,0.1019,2.9221,
L3 evict data volume [GBytes],1.984000e-06,4.288000e-05,2.752000e-05,0.0007,1.280000e-05,0.0005,0.0001,1.299200e-05,2.617600e-05,1.606400e-05,0.0001,0.0026,
L3 bandwidth [MBytes/s],0.0287,0.5032,0.3615,4.9266,0.0666,4.0019,2.0279,0.1617,0.4363,0.2100,0.5422,17.0907,
L3 data volume [GBytes],2.553600e-05,0.0004,0.0003,0.0044,0.0001,0.0036,0.0018,0.0001,0.0004,0.0002,0.0005,0.0152,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,10.6692,0.8891,0.8891,0.8891,,,,,,,,,
Runtime unhalted [s] STAT,5.6201,0.4411,0.4967,0.4683,,,,,,,,,
Clock [MHz] STAT,14363.7696,1196.8931,1197.0133,1196.9808,,,,,,,,,
CPI STAT,7.4609,0.5345,0.6331,0.6217,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,25.7022,0.0265,14.1686,2.1418,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0229,2.355200e-05,0.0126,0.0019,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,4.6552,0.0022,2.9221,0.3879,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0041,1.984000e-06,0.0026,0.0003,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,30.3573,0.0287,17.0907,2.5298,,,,,,,,,
L3 data volume [GBytes] STAT,0.0270,2.553600e-05,0.0152,0.0023,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207633145 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1564583055,1625298670,1627343319,1652609239,1668343686,1684208652,1684005911,1693029798,1720879751,1704370231,1722335316,1970374795
CPU_CLK_UNHALTED_CORE,FIXC1,984024955,1018487634,1022545853,1029885839,1043358235,1046876094,1052259333,1053710235,1067586001,1064683492,1074973171,1052303492
CPU_CLK_UNHALTED_REF,FIXC2,1814821532,1878384332,1885867796,1899407436,1924249920,1930741256,1940671092,1943344060,1968964220,1963585808,1982561084,1940750488
MEM_INST_RETIRED_ALL_LOADS,PMC0,625290167,649408301,650193508,660311900,666685680,673013062,672943355,676565580,687686544,681071992,688276603,785345813
MEM_INST_RETIRED_ALL_STORES,PMC1,12705685,13347481,13437813,13561765,13592981,13731986,13718858,13760571,13983931,13893680,13991772,16767676
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,20317382423,1564583055,1970374795,1.693115e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12510694334,984024955,1074973171,1.042558e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,23073349024,1814821532,1982561084,1.922779e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,8116792505,625290167,785345813,6.763994e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,166494199,12705685,16767676,1.387452e+07,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,0.8931,
Runtime unhalted [s],0.4457,0.4613,0.4632,0.4665,0.4726,0.4742,0.4766,0.4773,0.4836,0.4823,0.4869,0.4767,
Clock [MHz],1197.0136,1197.0112,1197.0119,1197.0102,1197.0130,1197.0109,1197.0099,1197.0117,1196.9939,1197.0093,1197.0105,1197.0112,
CPI,0.6289,0.6266,0.6284,0.6232,0.6254,0.6216,0.6249,0.6224,0.6204,0.6247,0.6241,0.5341,
Load to store ratio,49.2134,48.6540,48.3854,48.6892,49.0463,49.0106,49.0524,49.1670,49.1769,49.0203,49.1915,46.8369,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,10.7172,0.8931,0.8931,0.8931,,,,,,,,,
Runtime unhalted [s] STAT,5.6669,0.4457,0.4869,0.4722,,,,,,,,,
Clock [MHz] STAT,14364.1173,1196.9939,1197.0136,1197.0098,,,,,,,,,
CPI STAT,7.4047,0.5341,0.6289,0.6171,,,,,,,,,
Load to store ratio STAT,585.4439,46.8369,49.2134,48.7870,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207633145 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1572814384,1648713740,1669467432,1697698758,1692061503,1735644030,1710786456,1716370827,1762465048,1704970490,1731719057,1875783254
CPU_CLK_UNHALTED_CORE,FIXC1,988379975,1031282175,1043901474,1055499591,1056136393,1060213036,1067115024,1066900480,1099479245,1066073480,1080577591,1008391244
