STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3593678999
CPU_CLK_UNHALTED_CORE,FIXC1,1347508634
CPU_CLK_UNHALTED_REF,FIXC2,1988150820
UOPS_RETIRED_USED_CYCLES,PMC0,756369178
UOPS_RETIRED_STALL_CYCLES,PMC1,591139456
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1347508634
UOPS_RETIRED_STALL_CYCLES,PMC3,139459085
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0012,
Runtime unhalted [s],0.6104,
Clock [MHz],1496.2012,
CPI,0.3750,
Used cycles ratio [%],56.1309,
Unused cycles ratio [%],43.8691,
Avg stall duration [cycles],4.2388,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3567106742
CPU_CLK_UNHALTED_CORE,FIXC1,1334906658
CPU_CLK_UNHALTED_REF,FIXC2,1969561208
L2_LINES_IN_ALL,PMC0,89418372
L2_TRANS_L2_WB,PMC1,88902699
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],1.0004,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.1984,
CPI,0.3742,
L3 load bandwidth [MBytes/s],5720.5073,
L3 load data volume [GBytes],5.7228,
L3 evict bandwidth [MBytes/s],5687.5173,
L3 evict data volume [GBytes],5.6898,
L3 bandwidth [MBytes/s],11408.0247,
L3 data volume [GBytes],11.4125,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3574127778
CPU_CLK_UNHALTED_CORE,FIXC1,1334870567
CPU_CLK_UNHALTED_REF,FIXC2,1969516864
MEM_INST_RETIRED_ALL_LOADS,PMC0,1429640852
MEM_INST_RETIRED_ALL_STORES,PMC1,8927
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],1.0002,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.1916,
CPI,0.3735,
Load to store ratio,160147.9615,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3577530088
CPU_CLK_UNHALTED_CORE,FIXC1,1334841095
CPU_CLK_UNHALTED_REF,FIXC2,1969466080
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.1972,
CPI,0.3731,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3581100369
CPU_CLK_UNHALTED_CORE,FIXC1,1334975795
CPU_CLK_UNHALTED_REF,FIXC2,1969662316
L2_TRANS_ALL_REQUESTS,PMC0,405940095
L2_RQSTS_MISS,PMC1,130143109
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.1991,
CPI,0.3728,
L2 request rate,0.1134,
L2 miss rate,0.0363,
L2 miss ratio,0.3206,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3582571102
CPU_CLK_UNHALTED_CORE,FIXC1,1334843134
CPU_CLK_UNHALTED_REF,FIXC2,1969468104
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,5887804
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,1334246228
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,336782029
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,126138365
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.1979,
CPI,0.3726,
Cycles without execution [%],9.4497,
Cycles without execution due to L1D [%],25.2301,
Cycles without execution due to L2 [%],0.4411,
Cycles without execution due to memory loads [%],99.9553,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3591060124
CPU_CLK_UNHALTED_CORE,FIXC1,1334949839
CPU_CLK_UNHALTED_REF,FIXC2,1969625608
ITLB_MISSES_CAUSES_A_WALK,PMC0,580
ITLB_MISSES_WALK_ACTIVE,PMC1,36240
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.1979,
CPI,0.3717,
L1 ITLB misses,580,
L1 ITLB miss rate,1.615122e-07,
L1 ITLB miss duration [Cyc],62.4828,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207535868 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3589505054
CPU_CLK_UNHALTED_CORE,FIXC1,1335120320
CPU_CLK_UNHALTED_REF,FIXC2,1969878056
DRAM_READS,MBOX0C1,98045056
DRAM_WRITES,MBOX0C2,205946
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],1.0005,
Runtime unhalted [s],0.6048,
Clock [MHz],1496.1972,
CPI,0.3720,
Memory load bandwidth [MBytes/s],6271.9407,
Memory load data volume [GBytes],6.2749,
Memory evict bandwidth [MBytes/s],13.1744,
