STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208013851 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,10575461282,10578940292,,
CPU_CLK_UNHALTED_CORE,FIXC1,6361282701,6361843004,,
CPU_CLK_UNHALTED_REF,FIXC2,6399991960,6399863896,,
UOPS_RETIRED_USED_CYCLES,PMC0,2167234646,2168460882,,
UOPS_RETIRED_STALL_CYCLES,PMC1,4194048055,4193382122,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,6361282701,6361843004,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1423721861,1424233153,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,21154401574,10575461282,10578940292,10577200787
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12723125705,6361282701,6361843004,6.361563e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,12799855856,6399863896,6399991960,6399927928
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4335695528,2167234646,2168460882,2167847764
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,8387430177,4193382122,4194048055,4.193715e+09
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,12723125705,6361282701,6361843004,6.361563e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2847955014,1423721861,1424233153,1423977507
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.9999,2.9999,,,
Runtime unhalted [s],2.8810,2.8813,,,
Clock [MHz],2194.6591,2194.8963,,,
CPI,0.6015,0.6014,,,
Used cycles ratio [%],34.0691,34.0854,,,
Unused cycles ratio [%],65.9309,65.9146,,,
Avg stall duration [cycles],2.9458,2.9443,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.9998,2.9999,2.9999,2.9999,
Runtime unhalted [s] STAT,5.7623,2.8810,2.8813,2.8811,
Clock [MHz] STAT,4389.5554,2194.6591,2194.8963,2194.7777,
CPI STAT,1.2029,0.6014,0.6015,0.6015,
Used cycles ratio [%] STAT,68.1545,34.0691,34.0854,34.0772,
Unused cycles ratio [%] STAT,131.8455,65.9146,65.9309,65.9227,
Avg stall duration [cycles] STAT,5.8901,2.9443,2.9458,2.9451,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208013851 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,10566656092,10570701362,,
CPU_CLK_UNHALTED_CORE,FIXC1,6356873837,6359984795,,
CPU_CLK_UNHALTED_REF,FIXC2,6394853024,6398078452,,
L2_LINES_IN_ALL,PMC0,264890368,264997877,,
L2_TRANS_L2_WB,PMC1,263530509,263631693,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,21137357454,10566656092,10570701362,10568678727
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12716858632,6356873837,6359984795,6358429316
CPU_CLK_UNHALTED_REF STAT,FIXC2,12792931476,6394853024,6398078452,6396465738
L2_LINES_IN_ALL STAT,PMC0,529888245,264890368,264997877,2.649441e+08
L2_TRANS_L2_WB STAT,PMC1,527162202,263530509,263631693,263581101
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.9986,2.9986,,,
Runtime unhalted [s],2.8790,2.8804,,,
Clock [MHz],2194.9004,2194.8675,,,
CPI,0.6016,0.6017,,,
L3 load bandwidth [MBytes/s],5653.5494,5655.8440,,,
L3 load data volume [GBytes],16.9530,16.9599,,,
L3 evict bandwidth [MBytes/s],5624.5260,5626.6856,,,
L3 evict data volume [GBytes],16.8660,16.8724,,,
L3 bandwidth [MBytes/s],11278.0754,11282.5296,,,
L3 data volume [GBytes],33.8189,33.8323,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.9972,2.9986,2.9986,2.9986,
Runtime unhalted [s] STAT,5.7594,2.8790,2.8804,2.8797,
Clock [MHz] STAT,4389.7679,2194.8675,2194.9004,2194.8839,
CPI STAT,1.2033,0.6016,0.6017,0.6017,
L3 load bandwidth [MBytes/s] STAT,11309.3934,5653.5494,5655.8440,5654.6967,
L3 load data volume [GBytes] STAT,33.9129,16.9530,16.9599,16.9565,
L3 evict bandwidth [MBytes/s] STAT,11251.2116,5624.5260,5626.6856,5625.6058,
L3 evict data volume [GBytes] STAT,33.7384,16.8660,16.8724,16.8692,
L3 bandwidth [MBytes/s] STAT,22560.6050,11278.0754,11282.5296,11280.3025,
L3 data volume [GBytes] STAT,67.6512,33.8189,33.8323,33.8256,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208013851 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,10567909397,10570907726,,
CPU_CLK_UNHALTED_CORE,FIXC1,6358356124,6360835890,,
CPU_CLK_UNHALTED_REF,FIXC2,6396343792,6398843616,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,4227162896,4228362154,,
MEM_INST_RETIRED_ALL_STORES,PMC1,231,269,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,21138817123,10567909397,10570907726,1.056941e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12719192014,6358356124,6360835890,6359596007
CPU_CLK_UNHALTED_REF STAT,FIXC2,12795187408,6396343792,6398843616,6397593704
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,8455525050,4227162896,4228362154,4227762525
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,500,231,269,250
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.9993,2.9993,,,
Runtime unhalted [s],2.8797,2.8808,,,
Clock [MHz],2194.9005,2194.8987,,,
CPI,0.6017,0.6017,,,
Load to store ratio,1.829941e+07,1.571882e+07,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.9986,2.9993,2.9993,2.9993,
Runtime unhalted [s] STAT,5.7605,2.8797,2.8808,2.8803,
