STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208098944 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,199184807,209355497,236772252,204450757,205828319,203065099,222120981,482679262,235928712,224982775,224977557,235896385
CPU_CLK_UNHALTED_CORE,FIXC1,362755918,426762916,414602906,329558169,331960051,325789999,446819404,455933128,462263593,355408676,364759339,370917278
CPU_CLK_UNHALTED_REF,FIXC2,798698644,937887100,910972776,729354196,734660572,721021480,982279860,1002445892,1016457216,786537440,807264304,820892448
UOPS_RETIRED_USED_CYCLES,PMC0,47047848,50369130,58458925,46014585,46323749,45859386,53045234,105791631,56072711,50597562,50710681,53817230
UOPS_RETIRED_STALL_CYCLES,PMC1,315708137,376393920,356144115,283543584,285636302,279930613,393775085,350142419,406191797,304811114,314048658,317100048
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,362755985,426763050,414603040,329558169,331960051,325789999,446820319,455934050,462264508,355408676,364759339,370917278
UOPS_RETIRED_STALL_CYCLES,PMC3,23016619,24958239,26751183,23243253,23396394,22896212,25890569,48417493,27749291,25414080,25612819,25861604
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,2885242403,199184807,482679262,2.404369e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,4647531377,325789999,462263593,3.872943e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,10248471928,721021480,1016457216,8.540393e+08,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,664108672,45859386,105791631,5.534239e+07,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,3983425792,279930613,406191797,3.319521e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,4647534464,325789999,462264508,3.872945e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,323207756,22896212,48417493,2.693398e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,0.4959,
Runtime unhalted [s],0.1643,0.1933,0.1878,0.1492,0.1503,0.1475,0.2024,0.2065,0.2093,0.1610,0.1652,0.1680,
Clock [MHz],1002.8826,1004.7422,1004.9524,997.7279,997.7405,997.7186,1004.4199,1004.2891,1004.1975,997.7624,997.7212,997.7215,
CPI,1.8212,2.0385,1.7511,1.6119,1.6128,1.6044,2.0116,0.9446,1.9593,1.5797,1.6213,1.5724,
Used cycles ratio [%],12.9696,11.8026,14.1000,13.9625,13.9546,14.0764,11.8717,23.2033,12.1300,14.2364,13.9025,14.5092,
Unused cycles ratio [%],87.0304,88.1974,85.9000,86.0375,86.0454,85.9236,88.1283,76.7967,87.8700,85.7636,86.0975,85.4908,
Avg stall duration [cycles],13.7165,15.0809,13.3132,12.1990,12.2086,12.2261,15.2092,7.2317,14.6379,11.9938,12.2614,12.2614,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,5.9508,0.4959,0.4959,0.4959,,,,,,,,,
Runtime unhalted [s] STAT,2.1048,0.1475,0.2093,0.1754,,,,,,,,,
Clock [MHz] STAT,12011.8758,997.7186,1004.9524,1000.9896,,,,,,,,,
CPI STAT,20.1288,0.9446,2.0385,1.6774,,,,,,,,,
Used cycles ratio [%] STAT,170.7188,11.8026,23.2033,14.2266,,,,,,,,,
Unused cycles ratio [%] STAT,1029.2812,76.7967,88.1974,85.7734,,,,,,,,,
Avg stall duration [cycles] STAT,152.3397,7.2317,15.2092,12.6950,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208098944 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,202529685,202660055,230449711,206206995,201335112,196338043,218591548,355086442,221105342,212838956,209242111,214077229
CPU_CLK_UNHALTED_CORE,FIXC1,317124168,366913333,389126112,373625223,288324839,281966645,398369122,391871893,402181116,299004933,299505313,303782879
CPU_CLK_UNHALTED_REF,FIXC2,701824116,812033032,861189828,826885788,638104456,624031952,881648420,867268360,890084728,661740912,662847580,672315576
L2_LINES_IN_ALL,PMC0,4700960,4799125,5272829,4873285,4942275,4909684,5156820,9359414,5258130,5166204,5200258,5367742
L2_TRANS_L2_WB,PMC1,4589184,4319399,4822308,4716579,4870823,4588170,5078492,8578809,5092712,4965197,5049302,5015636
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,2670461229,196338043,355086442,2.225384e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,4111795576,281966645,402181116,3.426496e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,9099974748,624031952,890084728,758331229,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,65006726,4700960,9359414,5.417227e+06,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,61686611,4319399,8578809,5.140551e+06,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,0.4930,
Runtime unhalted [s],0.1436,0.1662,0.1762,0.1692,0.1306,0.1277,0.1804,0.1775,0.1821,0.1354,0.1356,0.1376,
Clock [MHz],997.7451,997.7192,997.7231,997.7212,997.7203,997.7217,997.7202,997.7211,997.7204,997.7205,997.7216,997.7199,
CPI,1.5658,1.8105,1.6886,1.8119,1.4321,1.4361,1.8224,1.1036,1.8190,1.4048,1.4314,1.4190,
L3 load bandwidth [MBytes/s],610.2773,623.0211,684.5172,632.6485,641.6047,637.3738,669.4569,1215.0365,682.6089,670.6751,675.0960,696.8387,
L3 load data volume [GBytes],0.3009,0.3071,0.3375,0.3119,0.3163,0.3142,0.3300,0.5990,0.3365,0.3306,0.3328,0.3435,
L3 evict bandwidth [MBytes/s],595.7666,560.7432,626.0307,612.3050,632.3289,595.6349,659.2884,1113.6986,661.1344,644.5805,655.4990,651.1284,
L3 evict data volume [GBytes],0.2937,0.2764,0.3086,0.3019,0.3117,0.2936,0.3250,0.5490,0.3259,0.3178,0.3232,0.3210,
L3 bandwidth [MBytes/s],1206.0439,1183.7642,1310.5478,1244.9534,1273.9336,1233.0087,1328.7453,2328.7350,1343.7434,1315.2556,1330.5950,1347.9672,
L3 data volume [GBytes],0.5946,0.5836,0.6461,0.6138,0.6280,0.6079,0.6551,1.1480,0.6625,0.6484,0.6560,0.6645,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,5.9160,0.4930,0.4930,0.4930,,,,,,,,,
Runtime unhalted [s] STAT,1.8621,0.1277,0.1821,0.1552,,,,,,,,,
Clock [MHz] STAT,11972.6743,997.7192,997.7451,997.7229,,,,,,,,,
CPI STAT,18.7452,1.1036,1.8224,1.5621,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,8439.1547,610.2773,1215.0365,703.2629,,,,,,,,,
L3 load data volume [GBytes] STAT,4.1603,0.3009,0.5990,0.3467,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,8008.1386,560.7432,1113.6986,667.3449,,,,,,,,,
L3 evict data volume [GBytes] STAT,3.9478,0.2764,0.5490,0.3290,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,16447.2931,1183.7642,2328.7350,1370.6078,,,,,,,,,
L3 data volume [GBytes] STAT,8.1085,0.5836,1.1480,0.6757,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208098944 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,186577493,211290931,214373831,205137822,203753914,209696670,222944041,192825198,222339812,218148097,210241854,225082354
CPU_CLK_UNHALTED_CORE,FIXC1,250023627,314934650,330298987,327169785,230562864,230217407,340736472,325858106,341073951,241361860,237676775,245786824
CPU_CLK_UNHALTED_REF,FIXC2,553318268,696974060,730751308,724074684,510268340,509352940,754095204,721167576,754835896,534169020,526013312,543751464
MEM_INST_RETIRED_ALL_LOADS,PMC0,74752133,85194409,86106568,82822296,81422637,82783082,89447296,76538608,89675826,86098442,84065659,88397690
MEM_INST_RETIRED_ALL_STORES,PMC1,197506,30906,765695,19032,72621,1049187,622321,2456705,47666,1072329,33327,1208571
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,2522412017,186577493,225082354,2.102010e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,3415701308,230217407,341073951,2.846418e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,7558772072,509352940,754835896,6.298977e+08,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1007304646,74752133,89675826,8.394205e+07,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,7575866,19032,2456705,631322.1667,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,0.4049,
Runtime unhalted [s],0.1132,0.1426,0.1496,0.1482,0.1044,0.1043,0.1543,0.1476,0.1545,0.1093,0.1076,0.1113,
Clock [MHz],997.7565,997.7514,998.0589,997.7193,997.7213,998.0168,997.7253,997.7250,997.7335,997.7195,997.7197,998.1061,
CPI,1.3401,1.4905,1.5408,1.5949,1.1316,1.0979,1.5283,1.6899,1.5340,1.1064,1.1305,1.0920,
Load to store ratio,378.4803,2756.5654,112.4554,4351.7390,1121.1996,78.9021,143.7318,31.1550,1881.3373,80.2911,2522.4490,73.1423,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,4.8588,0.4049,0.4049,0.4049,,,,,,,,,
Runtime unhalted [s] STAT,1.5469,0.1043,0.1545,0.1289,,,,,,,,,
Clock [MHz] STAT,11973.7533,997.7193,998.1061,997.8128,,,,,,,,,
CPI STAT,16.2769,1.0920,1.6899,1.3564,,,,,,,,,
Load to store ratio STAT,13531.4483,31.1550,4351.7390,1127.6207,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208098944 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,197093392,212761650,210201495,206925917,204986324,204566676,220333788,190569458,224557676,220435695,212849474,219535666
CPU_CLK_UNHALTED_CORE,FIXC1,271849063,324494822,326483238,330883523,232113767,227660582,340443453,326067830,343155787,339114325,241390855,241504398
CPU_CLK_UNHALTED_REF,FIXC2,601642832,718156692,722560272,732985252,513701504,503861000,753513488,721640548,759455216,750510792,534245196,534485316
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0,0,0,0,0,0,0,0,0,0,0,0
