STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207975243 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,7064118736,7098210175,7119114325,
CPU_CLK_UNHALTED_CORE,FIXC1,3054203085,3052124686,3056451511,
CPU_CLK_UNHALTED_REF,FIXC2,3976202740,3973407228,3979041584,
UOPS_RETIRED_USED_CYCLES,PMC0,1475000614,1484607059,1485908382,
UOPS_RETIRED_STALL_CYCLES,PMC1,1579202538,1567517627,1570543129,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3054203152,3052124686,3056451511,
UOPS_RETIRED_STALL_CYCLES,PMC3,265516826,267259590,267100779,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,21281443236,7064118736,7119114325,7093814412
CPU_CLK_UNHALTED_CORE STAT,FIXC1,9162779282,3052124686,3056451511,3.054260e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11928651552,3973407228,3979041584,3976217184
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4445516055,1475000614,1485908382,1481838685
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,4717263294,1567517627,1579202538,1572421098
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,9162779349,3052124686,3056451511,3054259783
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,799877195,265516826,267259590,2.666257e+08
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],1.8989,1.8989,1.8989,,
Runtime unhalted [s],1.3833,1.3823,1.3843,,
Clock [MHz],1695.9912,1696.0295,1696.0288,,
CPI,0.4324,0.4300,0.4293,,
Used cycles ratio [%],48.2941,48.6418,48.6155,,
Unused cycles ratio [%],51.7059,51.3582,51.3845,,
Avg stall duration [cycles],5.9477,5.8652,5.8800,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.6967,1.8989,1.8989,1.8989,
Runtime unhalted [s] STAT,4.1499,1.3823,1.3843,1.3833,
Clock [MHz] STAT,5088.0495,1695.9912,1696.0295,1696.0165,
CPI STAT,1.2917,0.4293,0.4324,0.4306,
Used cycles ratio [%] STAT,145.5514,48.2941,48.6418,48.5171,
Unused cycles ratio [%] STAT,154.4486,51.3582,51.7059,51.4829,
Avg stall duration [cycles] STAT,17.6929,5.8652,5.9477,5.8976,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207975243 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,7092111707,7039760043,7139768683,
CPU_CLK_UNHALTED_CORE,FIXC1,3049570805,3020251789,3054093601,
CPU_CLK_UNHALTED_REF,FIXC2,3970135524,3931914768,3975972280,
L2_LINES_IN_ALL,PMC0,177783067,176467085,178961329,
L2_TRANS_L2_WB,PMC1,176700432,175367355,178112163,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,21271640433,7039760043,7139768683,7090546811
CPU_CLK_UNHALTED_CORE STAT,FIXC1,9123916195,3020251789,3054093601,3.041305e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11878022572,3931914768,3975972280,3.959341e+09
L2_LINES_IN_ALL STAT,PMC0,533211481,176467085,178961329,1.777372e+08
L2_TRANS_L2_WB STAT,PMC1,530179950,175367355,178112163,176726650
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],1.8970,1.8970,1.8970,,
Runtime unhalted [s],1.3812,1.3679,1.3832,,
Clock [MHz],1696.0068,1696.0289,1696.0287,,
CPI,0.4300,0.4290,0.4278,,
L3 load bandwidth [MBytes/s],5998.0702,5953.6715,6037.8226,,
L3 load data volume [GBytes],11.3781,11.2939,11.4535,,
L3 evict bandwidth [MBytes/s],5961.5442,5916.5686,6009.1733,,
L3 evict data volume [GBytes],11.3088,11.2235,11.3992,,
L3 bandwidth [MBytes/s],11959.6144,11870.2401,12046.9960,,
L3 data volume [GBytes],22.6869,22.5174,22.8527,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.6910,1.8970,1.8970,1.8970,
Runtime unhalted [s] STAT,4.1323,1.3679,1.3832,1.3774,
Clock [MHz] STAT,5088.0644,1696.0068,1696.0289,1696.0215,
CPI STAT,1.2868,0.4278,0.4300,0.4289,
L3 load bandwidth [MBytes/s] STAT,17989.5643,5953.6715,6037.8226,5996.5214,
L3 load data volume [GBytes] STAT,34.1255,11.2939,11.4535,11.3752,
L3 evict bandwidth [MBytes/s] STAT,17887.2861,5916.5686,6009.1733,5962.4287,
L3 evict data volume [GBytes] STAT,33.9315,11.2235,11.3992,11.3105,
L3 bandwidth [MBytes/s] STAT,35876.8505,11870.2401,12046.9960,11958.9502,
L3 data volume [GBytes] STAT,68.0570,22.5174,22.8527,22.6857,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207975243 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,7093181465,7111171216,7129999876,
CPU_CLK_UNHALTED_CORE,FIXC1,3050824622,3050536166,3054756877,
CPU_CLK_UNHALTED_REF,FIXC2,3971767604,3971341092,3976836344,
MEM_INST_RETIRED_ALL_LOADS,PMC0,2837271592,2844467193,2851999897,
MEM_INST_RETIRED_ALL_STORES,PMC1,3198,224,245,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,21334352557,7093181465,7129999876,7.111451e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,9156117665,3050536166,3054756877,3.052039e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11919945040,3971341092,3976836344,3.973315e+09
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,8533738682,2837271592,2851999897,2.844580e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,3667,224,3198,1222.3333
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],1.8980,1.8980,1.8980,,
Runtime unhalted [s],1.3817,1.3816,1.3835,,
