STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207986892 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3612893404,3622100319,3542802554,3580525340,3590925522,3599152729
CPU_CLK_UNHALTED_CORE,FIXC1,2557769857,2566033515,2545240990,2567613811,2576704975,2581525112
CPU_CLK_UNHALTED_REF,FIXC2,3329834200,3340590564,3313550384,3342646948,3354485232,3360806276
UOPS_RETIRED_USED_CYCLES,PMC0,745943400,748639881,732892298,740076405,742057096,743295182
UOPS_RETIRED_STALL_CYCLES,PMC1,1811826457,1817393634,1812348692,1827537406,1834647879,1838229930
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2557769857,2566033515,2545240990,2567613811,2576704975,2581525112
UOPS_RETIRED_STALL_CYCLES,PMC3,452695601,453568809,442307244,444728766,449734000,450507913
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,21548399868,3542802554,3622100319,3591399978,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,15394888260,2545240990,2581525112,2565814710,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,20041913604,3313550384,3360806276,3340318934,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4452904262,732892298,748639881,7.421507e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,10941983998,1811826457,1838229930,1.823664e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,15394888260,2545240990,2581525112,2565814710,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2693542333,442307244,453568809,4.489237e+08,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.5968,1.5968,1.5968,1.5968,1.5968,1.5968,
Runtime unhalted [s],1.1584,1.1622,1.1527,1.1629,1.1670,1.1692,
Clock [MHz],1696.0371,1696.0379,1696.0233,1696.0384,1696.0369,1696.0137,
CPI,0.7080,0.7084,0.7184,0.7171,0.7176,0.7173,
Used cycles ratio [%],29.1638,29.1750,28.7946,28.8235,28.7987,28.7929,
Unused cycles ratio [%],70.8362,70.8250,71.2054,71.1765,71.2013,71.2071,
Avg stall duration [cycles],4.0023,4.0069,4.0975,4.1093,4.0794,4.0803,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,9.5808,1.5968,1.5968,1.5968,,,
Runtime unhalted [s] STAT,6.9724,1.1527,1.1692,1.1621,,,
Clock [MHz] STAT,10176.1873,1696.0137,1696.0384,1696.0312,,,
CPI STAT,4.2868,0.7080,0.7184,0.7145,,,
Used cycles ratio [%] STAT,173.5485,28.7929,29.1750,28.9247,,,
Unused cycles ratio [%] STAT,426.4515,70.8250,71.2071,71.0752,,,
Avg stall duration [cycles] STAT,24.3757,4.0023,4.1093,4.0626,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207986892 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3608412447,3613753621,3501495328,3577254160,3577631915,3583068696
CPU_CLK_UNHALTED_CORE,FIXC1,2551835591,2555418021,2515039538,2559135709,2564562135,2567754401
CPU_CLK_UNHALTED_REF,FIXC2,3322186884,3326771152,3274262888,3331612008,3338712660,3342966464
L2_LINES_IN_ALL,PMC0,90464819,90598215,87785317,89679249,89693518,89827388
L2_TRANS_L2_WB,PMC1,89983385,90113083,87331473,89049349,89287253,89398766
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,21461616167,3501495328,3613753621,3.576936e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,15313745395,2515039538,2567754401,2.552291e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,19936512056,3274262888,3342966464,3.322752e+09,,
L2_LINES_IN_ALL STAT,PMC0,538048506,87785317,90598215,89674751,,
L2_TRANS_L2_WB STAT,PMC1,535163309,87331473,90113083,8.919388e+07,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.5952,1.5952,1.5952,1.5952,1.5952,1.5952,
Runtime unhalted [s],1.1557,1.1574,1.1391,1.1590,1.1615,1.1629,
Clock [MHz],1695.9972,1696.0378,1696.0075,1696.0373,1696.0188,1695.9692,
CPI,0.7072,0.7071,0.7183,0.7154,0.7168,0.7166,
L3 load bandwidth [MBytes/s],3629.4504,3634.8023,3521.9488,3597.9334,3598.5058,3603.8767,
L3 load data volume [GBytes],5.7897,5.7983,5.6183,5.7395,5.7404,5.7490,
L3 evict bandwidth [MBytes/s],3610.1353,3615.3388,3503.7405,3572.6618,3582.2065,3586.6804,
L3 evict data volume [GBytes],5.7589,5.7672,5.5892,5.6992,5.7144,5.7215,
L3 bandwidth [MBytes/s],7239.5857,7250.1411,7025.6893,7170.5951,7180.7123,7190.5571,
L3 data volume [GBytes],11.5487,11.5655,11.2075,11.4386,11.4548,11.4705,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,9.5712,1.5952,1.5952,1.5952,,,
Runtime unhalted [s] STAT,6.9356,1.1391,1.1629,1.1559,,,
Clock [MHz] STAT,10176.0678,1695.9692,1696.0378,1696.0113,,,
CPI STAT,4.2814,0.7071,0.7183,0.7136,,,
L3 load bandwidth [MBytes/s] STAT,21586.5174,3521.9488,3634.8023,3597.7529,,,
L3 load data volume [GBytes] STAT,34.4352,5.6183,5.7983,5.7392,,,
L3 evict bandwidth [MBytes/s] STAT,21470.7633,3503.7405,3615.3388,3578.4605,,,
L3 evict data volume [GBytes] STAT,34.2504,5.5892,5.7672,5.7084,,,
L3 bandwidth [MBytes/s] STAT,43057.2806,7025.6893,7250.1411,7176.2134,,,
L3 data volume [GBytes] STAT,68.6856,11.2075,11.5655,11.4476,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207986892 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
