STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20953498 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,642103853,646665211,644394082,639348628,632800949,639237538
CPU_CLK_UNHALTED_CORE,FIXC1,451639254,455883101,453486151,454440581,455332101,456358655
CPU_CLK_UNHALTED_REF,FIXC2,666362532,672622856,669086652,670494896,671810864,673325552
UOPS_RETIRED_USED_CYCLES,PMC0,134216674,135414558,134408142,133361058,132352791,133476981
UOPS_RETIRED_STALL_CYCLES,PMC1,317422580,320468543,319078009,321079523,322979310,322881674
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,451639254,455883101,453486151,454440581,455332101,456358655
UOPS_RETIRED_STALL_CYCLES,PMC3,22913214,23061421,22812247,22697305,23255421,22752727
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,3844550261,632800949,646665211,6.407584e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2727139843,451639254,456358655,4.545233e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,4023703352,666362532,673325552,6.706172e+08,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,803230204,132352791,135414558,1.338717e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1923909639,317422580,322979310,3.206516e+08,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2727139843,451639254,456358655,4.545233e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,137492335,22697305,23255421,2.291539e+07,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.3998,0.3998,0.3998,0.3998,0.3998,0.3998,
Runtime unhalted [s],0.2044,0.2063,0.2052,0.2057,0.2061,0.2065,
Clock [MHz],1497.5523,1497.5549,1497.5542,1497.5541,1497.5527,1497.5526,
CPI,0.7034,0.7050,0.7037,0.7108,0.7196,0.7139,
Used cycles ratio [%],29.7177,29.7038,29.6389,29.3462,29.0673,29.2483,
Unused cycles ratio [%],70.2823,70.2962,70.3611,70.6538,70.9327,70.7517,
Avg stall duration [cycles],13.8533,13.8963,13.9871,14.1462,13.8883,14.1909,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,2.3988,0.3998,0.3998,0.3998,,,
Runtime unhalted [s] STAT,1.2342,0.2044,0.2065,0.2057,,,
Clock [MHz] STAT,8985.3208,1497.5523,1497.5549,1497.5535,,,
CPI STAT,4.2564,0.7034,0.7196,0.7094,,,
Used cycles ratio [%] STAT,176.7222,29.0673,29.7177,29.4537,,,
Unused cycles ratio [%] STAT,423.2778,70.2823,70.9327,70.5463,,,
Avg stall duration [cycles] STAT,83.9621,13.8533,14.1909,13.9937,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20953498 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,642266162,642453378,642515295,638004489,633511467,639341132
CPU_CLK_UNHALTED_CORE,FIXC1,450592925,451459516,451931779,453141294,453286734,454425349
CPU_CLK_UNHALTED_REF,FIXC2,664818404,666125356,666794196,668665660,668792620,670489928
L2_LINES_IN_ALL,PMC0,16100817,16108518,16106405,16019034,15881630,16045178
L2_TRANS_L2_WB,PMC1,15907811,15967336,15982994,15880570,15779654,15914830
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,3838091923,633511467,642515295,6.396820e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2714837597,450592925,454425349,4.524729e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,4005686164,664818404,670489928,6.676144e+08,,
L2_LINES_IN_ALL STAT,PMC0,96261582,15881630,16108518,16043597,,
L2_TRANS_L2_WB STAT,PMC1,95433195,15779654,15982994,1.590553e+07,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.3976,0.3976,0.3976,0.3976,0.3976,0.3976,
Runtime unhalted [s],0.2039,0.2043,0.2045,0.2051,0.2052,0.2057,
Clock [MHz],1497.5531,1497.4893,1497.5521,1497.3575,1497.5537,1497.5150,
CPI,0.7016,0.7027,0.7034,0.7102,0.7155,0.7108,
L3 load bandwidth [MBytes/s],2591.4117,2592.6512,2592.3111,2578.2488,2556.1338,2582.4567,
L3 load data volume [GBytes],1.0305,1.0309,1.0308,1.0252,1.0164,1.0269,
L3 evict bandwidth [MBytes/s],2560.3476,2569.9281,2572.4482,2555.9632,2539.7208,2561.4773,
L3 evict data volume [GBytes],1.0181,1.0219,1.0229,1.0164,1.0099,1.0185,
L3 bandwidth [MBytes/s],5151.7593,5162.5793,5164.7593,5134.2120,5095.8546,5143.9340,
L3 data volume [GBytes],2.0486,2.0529,2.0537,2.0416,2.0263,2.0454,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,2.3856,0.3976,0.3976,0.3976,,,
Runtime unhalted [s] STAT,1.2287,0.2039,0.2057,0.2048,,,
Clock [MHz] STAT,8985.0207,1497.3575,1497.5537,1497.5034,,,
CPI STAT,4.2442,0.7016,0.7155,0.7074,,,
L3 load bandwidth [MBytes/s] STAT,15493.2133,2556.1338,2592.6512,2582.2022,,,
L3 load data volume [GBytes] STAT,6.1607,1.0164,1.0309,1.0268,,,
L3 evict bandwidth [MBytes/s] STAT,15359.8852,2539.7208,2572.4482,2559.9809,,,
L3 evict data volume [GBytes] STAT,6.1077,1.0099,1.0229,1.0179,,,
L3 bandwidth [MBytes/s] STAT,30853.0985,5095.8546,5164.7593,5142.1831,,,
L3 data volume [GBytes] STAT,12.2685,2.0263,2.0537,2.0448,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20953498 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,640894139,642256419,641188717,636858807,633469033,636617403
