STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208080776 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1451486550,1510076334,1529618533,1531248802,1535028406,1567798957,1624882887,1611371526,1645453070,1611775531,1605849260,1579564168
CPU_CLK_UNHALTED_CORE,FIXC1,1832336435,1945602836,1972815412,2018016959,1914692825,1923274519,2095509908,2086951572,2112068117,2004529667,2004573143,1948765305
CPU_CLK_UNHALTED_REF,FIXC2,3379355408,3588479504,3638441024,3721805536,3531243544,3547097720,3864723488,3848943372,3895302724,3696930944,3697089644,3594535404
UOPS_RETIRED_USED_CYCLES,PMC0,309730374,322347095,326095808,326001710,323144044,331752370,345927384,347360461,350647902,342632743,339320959,335791033
UOPS_RETIRED_STALL_CYCLES,PMC1,1522606061,1623255741,1646719604,1692015249,1591548781,1591522149,1749582524,1739591111,1761420215,1661896924,1665252184,1612974728
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1832336435,1945602836,1972815412,2018016959,1914692825,1923274519,2095509908,2086951572,2112068117,2004529667,2004573143,1948765761
UOPS_RETIRED_STALL_CYCLES,PMC3,153052664,156912292,161080281,161187967,160245519,159513292,172106859,168416919,172944287,167984593,168115975,163020590
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,18804154024,1451486550,1645453070,1.567013e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,23859136698,1832336435,2112068117,1.988261e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,44003948312,3379355408,3895302724,3.666996e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,4000751883,309730374,350647902,3.333960e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,19858385271,1522606061,1761420215,1.654865e+09,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,23859137154,1832336435,2112068117,1.988261e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,1964581238,153052664,172944287,1.637151e+08,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,1.5839,
Runtime unhalted [s],0.8298,0.8811,0.8935,0.9139,0.8671,0.8710,0.9490,0.9451,0.9565,0.9078,0.9078,0.8826,
Clock [MHz],1197.2540,1197.1779,1197.2534,1197.2534,1197.2543,1197.2451,1197.2539,1197.2526,1197.2412,1197.2535,1197.2280,1197.1036,
CPI,1.2624,1.2884,1.2897,1.3179,1.2473,1.2267,1.2896,1.2951,1.2836,1.2437,1.2483,1.2337,
Used cycles ratio [%],16.9036,16.5680,16.5295,16.1546,16.8771,17.2494,16.5080,16.6444,16.6021,17.0929,16.9273,17.2310,
Unused cycles ratio [%],83.0964,83.4320,83.4705,83.8454,83.1229,82.7506,83.4920,83.3556,83.3979,82.9071,83.0727,82.7690,
Avg stall duration [cycles],9.9482,10.3450,10.2230,10.4972,9.9319,9.9774,10.1657,10.3291,10.1849,9.8932,9.9054,9.8943,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,19.0068,1.5839,1.5839,1.5839,,,,,,,,,
Runtime unhalted [s] STAT,10.8052,0.8298,0.9565,0.9004,,,,,,,,,
Clock [MHz] STAT,14366.7709,1197.1036,1197.2543,1197.2309,,,,,,,,,
CPI STAT,15.2264,1.2267,1.3179,1.2689,,,,,,,,,
Used cycles ratio [%] STAT,201.2879,16.1546,17.2494,16.7740,,,,,,,,,
Unused cycles ratio [%] STAT,998.7121,82.7506,83.8454,83.2260,,,,,,,,,
Avg stall duration [cycles] STAT,121.2953,9.8932,10.4972,10.1079,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208080776 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1415034157,1511271773,1519565623,1491064375,1485128269,1453988863,1555085081,1550387799,1570364381,1541840652,1516356474,1553219860
CPU_CLK_UNHALTED_CORE,FIXC1,1789080142,1953653398,1964935428,1972530485,1855513666,1792793781,2013943779,2005848024,2024327640,1946991115,1907883302,1906488839
CPU_CLK_UNHALTED_REF,FIXC2,3299579448,3603129584,3623907876,3637916440,3422101736,3306422224,3714294196,3699358916,3733445376,3590812624,3518710752,3516115984
L2_LINES_IN_ALL,PMC0,35370759,37680863,37884383,37159555,37270183,36532151,38721494,38719321,39147616,38617128,38413721,39109901
L2_TRANS_L2_WB,PMC1,35058187,37255431,37555480,36854557,36729402,35857158,38330270,38265537,38758048,38238108,37815041,38155485
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,18163307307,1415034157,1570364381,1.513609e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,23133989599,1789080142,2024327640,1.927832e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,42665795156,3299579448,3733445376,3.555483e+09,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,454627075,35370759,39147616,3.788559e+07,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,448872704,35058187,38758048,3.740606e+07,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,
Runtime unhalted [s],0.8102,0.8848,0.8899,0.8933,0.8403,0.8119,0.9121,0.9084,0.9168,0.8818,0.8640,0.8634,
Clock [MHz],1197.2536,1197.2438,1197.2534,1197.2531,1197.2537,1197.2559,1197.2532,1197.2546,1197.2531,1197.2537,1197.2455,1197.2533,
CPI,1.2643,1.2927,1.2931,1.3229,1.2494,1.2330,1.2951,1.2938,1.2891,1.2628,1.2582,1.2274,
L3 load bandwidth [MBytes/s],1432.2752,1525.8187,1534.0598,1504.7092,1509.1889,1479.3036,1567.9571,1567.8691,1585.2122,1563.7310,1555.4944,1583.6850,
L3 load data volume [GBytes],2.2637,2.4116,2.4246,2.3782,2.3853,2.3381,2.4782,2.4780,2.5054,2.4715,2.4585,2.5030,
L3 evict bandwidth [MBytes/s],1419.6181,1508.5916,1520.7415,1492.3589,1487.2910,1451.9710,1552.1152,1549.4940,1569.4373,1548.3833,1531.2520,1545.0376,
L3 evict data volume [GBytes],2.2437,2.3843,2.4036,2.3587,2.3507,2.2949,2.4531,2.4490,2.4805,2.4472,2.4202,2.4420,
L3 bandwidth [MBytes/s],2851.8933,3034.4102,3054.8013,2997.0681,2996.4799,2931.2746,3120.0724,3117.3631,3154.6495,3112.1143,3086.7464,3128.7226,
L3 data volume [GBytes],4.5075,4.7959,4.8282,4.7369,4.7360,4.6329,4.9313,4.9270,4.9860,4.9187,4.8786,4.9450,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,18.9660,1.5805,1.5805,1.5805,,,,,,,,,
Runtime unhalted [s] STAT,10.4769,0.8102,0.9168,0.8731,,,,,,,,,
Clock [MHz] STAT,14367.0269,1197.2438,1197.2559,1197.2522,,,,,,,,,
CPI STAT,15.2818,1.2274,1.3229,1.2735,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,18409.3042,1432.2752,1585.2122,1534.1087,,,,,,,,,
L3 load data volume [GBytes] STAT,29.0961,2.2637,2.5054,2.4247,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,18176.2915,1419.6181,1569.4373,1514.6910,,,,,,,,,
L3 evict data volume [GBytes] STAT,28.7279,2.2437,2.4805,2.3940,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,36585.5957,2851.8933,3154.6495,3048.7996,,,,,,,,,
L3 data volume [GBytes] STAT,57.8240,4.5075,4.9860,4.8187,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208080776 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1433504019,1500081834,1532206676,1502991544,1498836132,1517457375,1558821855,1558453110,1574163441,1539420670,1520309696,1518823332
CPU_CLK_UNHALTED_CORE,FIXC1,1813165331,1931698270,1979242310,1985449471,1873356389,1862500946,2017953575,2012695715,2028549102,2032394157,1905392600,1870435654
CPU_CLK_UNHALTED_REF,FIXC2,3344415648,3562655748,3650288876,3662353940,3455230292,3435074380,3722060100,3711990240,3741227380,3748320488,3514093916,3451163800
MEM_INST_RETIRED_ALL_LOADS,PMC0,572159098,600491082,613792630,601879525,599431744,606802618,624395366,624080636,630588300,616502823,607941071,603820934
MEM_INST_RETIRED_ALL_STORES,PMC1,1885639,395470,21778,320814,141337,295029,87319,324482,26047,246372,252402,2719664
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,18255069684,1433504019,1574163441,1521255807,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,23312833520,1813165331,2032394157,1.942736e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,42998874808,3344415648,3748320488,3.583240e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,7301885827,572159098,630588300,6.084905e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,6716353,21778,2719664,559696.0833,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,1.5876,
Runtime unhalted [s],0.8211,0.8748,0.8964,0.8992,0.8484,0.8435,0.9139,0.9115,0.9187,0.9204,0.8629,0.8471,
Clock [MHz],1197.1046,1197.2377,1197.2551,1197.0533,1197.1770,1197.2237,1197.1339,1197.2539,1197.2542,1197.2537,1197.2534,1196.7189,
CPI,1.2648,1.2877,1.2918,1.3210,1.2499,1.2274,1.2945,1.2915,1.2887,1.3202,1.2533,1.2315,
Load to store ratio,303.4298,1518.4239,28184.0679,1876.1012,4241.1523,2056.7558,7150.7389,1923.3136,24209.6326,2502.3250,2408.6222,222.0204,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,19.0512,1.5876,1.5876,1.5876,,,,,,,,,
Runtime unhalted [s] STAT,10.5579,0.8211,0.9204,0.8798,,,,,,,,,
Clock [MHz] STAT,14365.9194,1196.7189,1197.2551,1197.1599,,,,,,,,,
CPI STAT,15.3223,1.2274,1.3210,1.2769,,,,,,,,,
Load to store ratio STAT,76596.5836,222.0204,28184.0679,6383.0486,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208080776 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1435893431,1455721878,1523541938,1495979519,1497797159,1464975692,1553773451,1567032940,1569702996,1532120639,1512512305,1561110038
