STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19083859559
CPU_CLK_UNHALTED_CORE,FIXC1,8114456375
CPU_CLK_UNHALTED_REF,FIXC2,8163034328
UOPS_RETIRED_USED_CYCLES,PMC0,6236374254
UOPS_RETIRED_STALL_CYCLES,PMC1,1878082121
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,8114456375
UOPS_RETIRED_STALL_CYCLES,PMC3,1873829016
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],3.8000,
Runtime unhalted [s],3.6750,
Clock [MHz],2194.9023,
CPI,0.4252,
Used cycles ratio [%],76.8551,
Unused cycles ratio [%],23.1449,
Avg stall duration [cycles],1.0023,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19083554233
CPU_CLK_UNHALTED_CORE,FIXC1,8111353178
CPU_CLK_UNHALTED_REF,FIXC2,8159853520
L2_LINES_IN_ALL,PMC0,53367
L2_TRANS_L2_WB,PMC1,5118
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],3.7994,
Runtime unhalted [s],3.6735,
Clock [MHz],2194.9182,
CPI,0.4250,
L3 load bandwidth [MBytes/s],0.8990,
L3 load data volume [GBytes],0.0034,
L3 evict bandwidth [MBytes/s],0.0862,
L3 evict data volume [GBytes],0.0003,
L3 bandwidth [MBytes/s],0.9852,
L3 data volume [GBytes],0.0037,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19084597563
CPU_CLK_UNHALTED_CORE,FIXC1,8111739671
CPU_CLK_UNHALTED_REF,FIXC2,8160239460
MEM_INST_RETIRED_ALL_LOADS,PMC0,8458086749
MEM_INST_RETIRED_ALL_STORES,PMC1,115896545
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],3.7996,
Runtime unhalted [s],3.6737,
Clock [MHz],2194.9190,
CPI,0.4250,
Load to store ratio,72.9796,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19082257179
CPU_CLK_UNHALTED_CORE,FIXC1,8111747263
CPU_CLK_UNHALTED_REF,FIXC2,8160246544
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,8274927430
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],3.7996,
Runtime unhalted [s],3.6737,
Clock [MHz],2194.9191,
CPI,0.4251,
Packed SP MFLOP/s,17422.6486,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19084387587
CPU_CLK_UNHALTED_CORE,FIXC1,8111540974
CPU_CLK_UNHALTED_REF,FIXC2,8160041016
L2_TRANS_ALL_REQUESTS,PMC0,354519
L2_RQSTS_MISS,PMC1,54472
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],3.7995,
Runtime unhalted [s],3.6736,
Clock [MHz],2194.9186,
CPI,0.4250,
L2 request rate,1.857639e-05,
L2 miss rate,2.854270e-06,
L2 miss ratio,0.1537,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19081919318
CPU_CLK_UNHALTED_CORE,FIXC1,8111485697
CPU_CLK_UNHALTED_REF,FIXC2,8159989680
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,323999
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,7943058865
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,627751
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,485333113
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],3.7994,
Runtime unhalted [s],3.6736,
Clock [MHz],2194.9174,
CPI,0.4251,
Cycles without execution [%],5.9833,
Cycles without execution due to L1D [%],0.0077,
Cycles without execution due to L2 [%],0.0040,
Cycles without execution due to memory loads [%],97.9236,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19083025828
CPU_CLK_UNHALTED_CORE,FIXC1,8111453543
CPU_CLK_UNHALTED_REF,FIXC2,8159955364
ITLB_MISSES_CAUSES_A_WALK,PMC0,1827
ITLB_MISSES_WALK_ACTIVE,PMC1,73471
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],3.7995,
Runtime unhalted [s],3.6736,
Clock [MHz],2194.9180,
CPI,0.4251,
L1 ITLB misses,1827,
L1 ITLB miss rate,9.573953e-08,
L1 ITLB miss duration [Cyc],40.2140,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20804231 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,19084504918
CPU_CLK_UNHALTED_CORE,FIXC1,8111668703
CPU_CLK_UNHALTED_REF,FIXC2,8160170276
DRAM_READS,MBOX0C1,554966
DRAM_WRITES,MBOX0C2,89436
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],3.7995,
Runtime unhalted [s],3.6737,
Clock [MHz],2194.9184,
CPI,0.4250,
Memory load bandwidth [MBytes/s],9.3480,
Memory load data volume [GBytes],0.0355,
