STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.206532217 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,9766005691,9800753844,,
CPU_CLK_UNHALTED_CORE,FIXC1,5486964372,5486975587,,
CPU_CLK_UNHALTED_REF,FIXC2,5520455860,5519765400,,
UOPS_RETIRED_USED_CYCLES,PMC0,3297020590,3305829942,,
UOPS_RETIRED_STALL_CYCLES,PMC1,2189943782,2181145645,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,5486964372,5486975587,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1383036718,1390361053,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,19566759535,9766005691,9800753844,9.783380e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,10973939959,5486964372,5486975587,5.486970e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11040221260,5519765400,5520455860,5520110630
UOPS_RETIRED_USED_CYCLES STAT,PMC0,6602850532,3297020590,3305829942,3301425266
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,4371089427,2181145645,2189943782,2.185545e+09
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,10973939959,5486964372,5486975587,5.486970e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2773397771,1383036718,1390361053,1.386699e+09
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.6018,2.6018,,,
Runtime unhalted [s],2.4867,2.4867,,,
Clock [MHz],2193.1456,2193.4245,,,
CPI,0.5618,0.5599,,,
Used cycles ratio [%],60.0882,60.2487,,,
Unused cycles ratio [%],39.9118,39.7513,,,
Avg stall duration [cycles],1.5834,1.5688,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.2036,2.6018,2.6018,2.6018,
Runtime unhalted [s] STAT,4.9734,2.4867,2.4867,2.4867,
Clock [MHz] STAT,4386.5701,2193.1456,2193.4245,2193.2850,
CPI STAT,1.1217,0.5599,0.5618,0.5608,
Used cycles ratio [%] STAT,120.3369,60.0882,60.2487,60.1684,
Unused cycles ratio [%] STAT,79.6631,39.7513,39.9118,39.8316,
Avg stall duration [cycles] STAT,3.1522,1.5688,1.5834,1.5761,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.206532217 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,9762421877,9797279846,,
CPU_CLK_UNHALTED_CORE,FIXC1,5482892177,5485257958,,
CPU_CLK_UNHALTED_REF,FIXC2,5515655576,5518030832,,
L2_LINES_IN_ALL,PMC0,1906,8355,,
L2_TRANS_L2_WB,PMC1,184,786,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,19559701723,9762421877,9797279846,9.779851e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,10968150135,5482892177,5485257958,5.484075e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11033686408,5515655576,5518030832,5516843204
L2_LINES_IN_ALL STAT,PMC0,10261,1906,8355,5130.5000
L2_TRANS_L2_WB STAT,PMC1,970,184,786,485
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.6001,2.6001,,,
Runtime unhalted [s],2.4848,2.4859,,,
Clock [MHz],2193.4253,2193.4271,,,
CPI,0.5616,0.5599,,,
L3 load bandwidth [MBytes/s],0.0469,0.2057,,,
L3 load data volume [GBytes],0.0001,0.0005,,,
L3 evict bandwidth [MBytes/s],0.0045,0.0193,,,
L3 evict data volume [GBytes],1.177600e-05,0.0001,,,
L3 bandwidth [MBytes/s],0.0514,0.2250,,,
L3 data volume [GBytes],0.0001,0.0006,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.2002,2.6001,2.6001,2.6001,
Runtime unhalted [s] STAT,4.9707,2.4848,2.4859,2.4853,
Clock [MHz] STAT,4386.8524,2193.4253,2193.4271,2193.4262,
CPI STAT,1.1215,0.5599,0.5616,0.5607,
L3 load bandwidth [MBytes/s] STAT,0.2526,0.0469,0.2057,0.1263,
L3 load data volume [GBytes] STAT,0.0006,0.0001,0.0005,0.0003,
L3 evict bandwidth [MBytes/s] STAT,0.0238,0.0045,0.0193,0.0119,
L3 evict data volume [GBytes] STAT,0.0001,1.177600e-05,0.0001,0.0001,
L3 bandwidth [MBytes/s] STAT,0.2764,0.0514,0.2250,0.1382,
L3 data volume [GBytes] STAT,0.0007,0.0001,0.0006,0.0003,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.206532217 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,9826357219,9804941550,,
CPU_CLK_UNHALTED_CORE,FIXC1,5484082922,5486375483,,
CPU_CLK_UNHALTED_REF,FIXC2,5516853416,5519154060,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,4343047040,4333582614,,
MEM_INST_RETIRED_ALL_STORES,PMC1,117379720,117123954,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,19631298769,9804941550,9826357219,9.815649e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,10970458405,5484082922,5486375483,5.485229e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,11036007476,5516853416,5519154060,5518003738
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,8676629654,4333582614,4343047040,4338314827
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,234503674,117123954,117379720,117251837
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.6010,2.6010,,,
Runtime unhalted [s],2.4854,2.4864,,,
Clock [MHz],2193.4253,2193.4275,,,
CPI,0.5581,0.5596,,,
Load to store ratio,37.0000,37.0000,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,5.2020,2.6010,2.6010,2.6010,
Runtime unhalted [s] STAT,4.9718,2.4854,2.4864,2.4859,
