STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208200712 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,405870449,406476089,406366562,408413496,406136416,407558354,406821042,407109603,407675218,408128015,408522778,407085091
CPU_CLK_UNHALTED_CORE,FIXC1,223703273,223885942,223809863,226891124,223659315,223624072,224097933,224214325,224515589,224794232,224797424,224702423
CPU_CLK_UNHALTED_REF,FIXC2,225039176,225223820,225146908,229476152,224995476,224960148,225569556,225553180,225856136,226145752,226277956,226086228
UOPS_RETIRED_USED_CYCLES,PMC0,133036795,133064719,133270069,134441904,133252744,133723001,133441069,133464812,134048666,133832621,133715345,134163636
UOPS_RETIRED_STALL_CYCLES,PMC1,90666478,90821223,90539794,92449287,90406571,89901071,90656864,90749513,90466923,90961611,91082079,90538787
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,223703273,223885942,223809863,226891191,223659315,223624072,224097933,224214325,224515589,224794232,224797424,224702423
UOPS_RETIRED_STALL_CYCLES,PMC3,52948201,52676917,52484466,53376856,53071548,52359247,52321054,52355133,51852227,52718290,52453156,51971991
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,4886163113,405870449,408522778,4.071803e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2692695515,223624072,226891124,2.243913e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2710330488,224960148,229476152,225860874,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1603455381,133036795,134441904,1.336213e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1089240201,89901071,92449287,9.077002e+07,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2692695582,223624072,226891191,2.243913e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,630589086,51852227,53376856,5.254909e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,
Runtime unhalted [s],0.1013,0.1014,0.1014,0.1027,0.1013,0.1013,0.1015,0.1015,0.1017,0.1018,0.1018,0.1018,
Clock [MHz],2195.0921,2195.0835,2195.0872,2183.3255,2195.0871,2195.0858,2193.7943,2195.0931,2195.0942,2195.0038,2193.7525,2194.6850,
CPI,0.5512,0.5508,0.5508,0.5555,0.5507,0.5487,0.5509,0.5507,0.5507,0.5508,0.5503,0.5520,
Used cycles ratio [%],59.4702,59.4342,59.5461,59.2539,59.5784,59.7981,59.5459,59.5256,59.7057,59.5356,59.4826,59.7072,
Unused cycles ratio [%],40.5298,40.5658,40.4539,40.7461,40.4216,40.2019,40.4541,40.4744,40.2943,40.4644,40.5174,40.2928,
Avg stall duration [cycles],1.7124,1.7241,1.7251,1.7320,1.7035,1.7170,1.7327,1.7333,1.7447,1.7254,1.7364,1.7421,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,2.4108,0.2009,0.2009,0.2009,,,,,,,,,
Runtime unhalted [s] STAT,1.2195,0.1013,0.1027,0.1016,,,,,,,,,
Clock [MHz] STAT,26326.1841,2183.3255,2195.0942,2193.8487,,,,,,,,,
CPI STAT,6.6131,0.5487,0.5555,0.5511,,,,,,,,,
Used cycles ratio [%] STAT,714.5835,59.2539,59.7981,59.5486,,,,,,,,,
Unused cycles ratio [%] STAT,485.4165,40.2019,40.7461,40.4514,,,,,,,,,
Avg stall duration [cycles] STAT,20.7287,1.7035,1.7447,1.7274,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208200712 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,406236206,404272676,404719992,406193968,404625499,405889069,404754971,402378712,404800085,397627804,404544833,402893061
CPU_CLK_UNHALTED_CORE,FIXC1,225492213,222233972,222911102,222837738,222869892,222837869,222893217,221338023,223294045,221097947,222841793,222755057
CPU_CLK_UNHALTED_REF,FIXC2,230083444,223561564,224243192,224168948,224201792,224169408,224224884,222660424,225117284,222420764,224245308,224795744
L2_LINES_IN_ALL,PMC0,86379,288,192,649,151,346,94,208,22676,84416,305,53056
L2_TRANS_L2_WB,PMC1,8863,40,31,71,9,30,2,26,2389,10059,24,3879
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,4848936876,397627804,406236206,404078073,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2673402868,221097947,225492213,2.227836e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2693892756,222420764,230083444,224491063,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,248760,94,86379,20730,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,25423,2,10059,2118.5833,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978,
Runtime unhalted [s],0.1021,0.1006,0.1009,0.1009,0.1009,0.1009,0.1009,0.1002,0.1011,0.1001,0.1009,0.1009,
Clock [MHz],2164.1369,2195.0876,2195.0832,2195.0875,2195.0826,2195.0843,2195.0863,2195.0860,2190.3164,2195.0677,2194.3799,2188.1548,
CPI,0.5551,0.5497,0.5508,0.5486,0.5508,0.5490,0.5507,0.5501,0.5516,0.5560,0.5508,0.5529,
L3 load bandwidth [MBytes/s],27.9551,0.0932,0.0621,0.2100,0.0489,0.1120,0.0304,0.0673,7.3387,27.3198,0.0987,17.1707,
L3 load data volume [GBytes],0.0055,1.843200e-05,1.228800e-05,4.153600e-05,9.664000e-06,2.214400e-05,6.016000e-06,1.331200e-05,0.0015,0.0054,1.952000e-05,0.0034,
L3 evict bandwidth [MBytes/s],2.8684,0.0129,0.0100,0.0230,0.0029,0.0097,0.0006,0.0084,0.7732,3.2554,0.0078,1.2554,
L3 evict data volume [GBytes],0.0006,2.560000e-06,1.984000e-06,4.544000e-06,5.760000e-07,1.920000e-06,1.280000e-07,1.664000e-06,0.0002,0.0006,1.536000e-06,0.0002,
L3 bandwidth [MBytes/s],30.8235,0.1062,0.0722,0.2330,0.0518,0.1217,0.0311,0.0757,8.1119,30.5752,0.1065,18.4261,
L3 data volume [GBytes],0.0061,2.099200e-05,1.427200e-05,4.608000e-05,1.024000e-05,2.406400e-05,6.144000e-06,1.497600e-05,0.0016,0.0060,2.105600e-05,0.0036,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,2.3736,0.1978,0.1978,0.1978,,,,,,,,,
Runtime unhalted [s] STAT,1.2104,0.1001,0.1021,0.1009,,,,,,,,,
Clock [MHz] STAT,26297.6532,2164.1369,2195.0876,2191.4711,,,,,,,,,
CPI STAT,6.6161,0.5486,0.5560,0.5513,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,80.5069,0.0304,27.9551,6.7089,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0159,6.016000e-06,0.0055,0.0013,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,8.2277,0.0006,3.2554,0.6856,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0016,1.280000e-07,0.0006,0.0001,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,88.7349,0.0311,30.8235,7.3946,,,,,,,,,
L3 data volume [GBytes] STAT,0.0175,6.144000e-06,0.0061,0.0015,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208200712 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,405661800,399444401,412113614,412392304,417947513,419372993,418928795,422517481,419009368,419204747,419372524,418066298
CPU_CLK_UNHALTED_CORE,FIXC1,223462666,220094216,226995408,227137878,230211573,230695914,230512100,230623834,230740957,230852741,230955773,230343029
CPU_CLK_UNHALTED_REF,FIXC2,224841284,221410052,228352004,228495248,231587644,232188312,231889588,232001828,232119864,232232656,232335512,231724356
MEM_INST_RETIRED_ALL_LOADS,PMC0,175325112,172635711,178116701,178237292,180638275,181234282,181062377,182613438,181097208,181181651,181254171,180687939
MEM_INST_RETIRED_ALL_STORES,PMC1,24066445,23698759,24447606,24463974,24793540,24890852,24851759,25064627,24856513,24868114,24878075,24801730
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,4984031838,399444401,422517481,4.153360e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2742626089,220094216,230955773,2.285522e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2759178348,221410052,232335512,229931529,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,2154084157,172635711,182613438,1.795070e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,295681994,23698759,25064627,2.464017e+07,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,0.1976,
Runtime unhalted [s],0.1012,0.0997,0.1028,0.1029,0.1043,0.1045,0.1044,0.1044,0.1045,0.1045,0.1046,0.1043,
Clock [MHz],2194.6611,2195.0774,2195.0822,2195.0830,2195.0798,2194.0074,2195.0834,2195.0849,2195.0829,2195.0797,2195.0872,2195.0375,
CPI,0.5509,0.5510,0.5508,0.5508,0.5508,0.5501,0.5502,0.5458,0.5507,0.5507,0.5507,0.5510,
Load to store ratio,7.2850,7.2846,7.2857,7.2857,7.2857,7.2812,7.2857,7.2857,7.2857,7.2857,7.2857,7.2853,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,2.3712,0.1976,0.1976,0.1976,,,,,,,,,
Runtime unhalted [s] STAT,1.2421,0.0997,0.1046,0.1035,,,,,,,,,
Clock [MHz] STAT,26339.4465,2194.0074,2195.0872,2194.9539,,,,,,,,,
CPI STAT,6.6035,0.5458,0.5510,0.5503,,,,,,,,,
Load to store ratio STAT,87.4217,7.2812,7.2857,7.2851,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208200712 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,404785342,404569228,404587565,404463076,404495579,405743991,404637328,404593774,404500736,404387193,404380935,403403043
CPU_CLK_UNHALTED_CORE,FIXC1,223085737,222834996,222860351,222830934,222810130,222876713,222836778,222806478,222786296,222758371,222716119,222221034
CPU_CLK_UNHALTED_REF,FIXC2,224568780,224166280,224191764,224162140,224141256,224250000,224177320,224136840,224116784,224088540,224046220,223548316
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,137169939,137141880,137148120,137105930,137116944,137529247,137164629,137150213,137118677,137080186,137078075,136742140
