STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207244926 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1686855834,1690938674,,
CPU_CLK_UNHALTED_CORE,FIXC1,935714080,939749091,,
CPU_CLK_UNHALTED_REF,FIXC2,1764487688,1773110756,,
UOPS_RETIRED_USED_CYCLES,PMC0,568399276,569843572,,
UOPS_RETIRED_STALL_CYCLES,PMC1,367315943,369913761,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,935715219,939757333,,
UOPS_RETIRED_STALL_CYCLES,PMC3,236491257,237481291,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3377794508,1686855834,1690938674,1688897254
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1875463171,935714080,939749091,9.377316e+08
CPU_CLK_UNHALTED_REF STAT,FIXC2,3537598444,1764487688,1773110756,1768799222
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1138242848,568399276,569843572,569121424
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,737229704,367315943,369913761,368614852
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,1875472552,935715219,939757333,937736276
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,473972548,236491257,237481291,236986274
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.9004,0.9004,,,
Runtime unhalted [s],0.4239,0.4258,,,
Clock [MHz],1170.5098,1169.8403,,,
CPI,0.5547,0.5558,,,
Used cycles ratio [%],60.7449,60.6373,,,
Unused cycles ratio [%],39.2551,39.3627,,,
Avg stall duration [cycles],1.5532,1.5577,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.8008,0.9004,0.9004,0.9004,
Runtime unhalted [s] STAT,0.8497,0.4239,0.4258,0.4249,
Clock [MHz] STAT,2340.3501,1169.8403,1170.5098,1170.1751,
CPI STAT,1.1105,0.5547,0.5558,0.5553,
Used cycles ratio [%] STAT,121.3822,60.6373,60.7449,60.6911,
Unused cycles ratio [%] STAT,78.6178,39.2551,39.3627,39.3089,
Avg stall duration [cycles] STAT,3.1109,1.5532,1.5577,1.5554,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207244926 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1655297634,1680422308,,
CPU_CLK_UNHALTED_CORE,FIXC1,918235400,930826532,,
CPU_CLK_UNHALTED_REF,FIXC2,1743153348,1766365868,,
L2_LINES_IN_ALL,PMC0,2027,29137,,
L2_TRANS_L2_WB,PMC1,261,1412,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3335719942,1655297634,1680422308,1667859971
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1849061932,918235400,930826532,924530966
CPU_CLK_UNHALTED_REF STAT,FIXC2,3509519216,1743153348,1766365868,1754759608
L2_LINES_IN_ALL STAT,PMC0,31164,2027,29137,15582
L2_TRANS_L2_WB STAT,PMC1,1673,261,1412,836.5000
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.8992,0.8992,,,
Runtime unhalted [s],0.4160,0.4217,,,
Clock [MHz],1162.7035,1163.1577,,,
CPI,0.5547,0.5539,,,
L3 load bandwidth [MBytes/s],0.1443,2.0737,,,
L3 load data volume [GBytes],0.0001,0.0019,,,
L3 evict bandwidth [MBytes/s],0.0186,0.1005,,,
L3 evict data volume [GBytes],1.670400e-05,0.0001,,,
L3 bandwidth [MBytes/s],0.1628,2.1742,,,
L3 data volume [GBytes],0.0001,0.0020,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.7984,0.8992,0.8992,0.8992,
Runtime unhalted [s] STAT,0.8377,0.4160,0.4217,0.4189,
Clock [MHz] STAT,2325.8612,1162.7035,1163.1577,1162.9306,
CPI STAT,1.1086,0.5539,0.5547,0.5543,
L3 load bandwidth [MBytes/s] STAT,2.2180,0.1443,2.0737,1.1090,
L3 load data volume [GBytes] STAT,0.0020,0.0001,0.0019,0.0010,
L3 evict bandwidth [MBytes/s] STAT,0.1191,0.0186,0.1005,0.0596,
L3 evict data volume [GBytes] STAT,0.0001,1.670400e-05,0.0001,0.0001,
L3 bandwidth [MBytes/s] STAT,2.3370,0.1628,2.1742,1.1685,
L3 data volume [GBytes] STAT,0.0021,0.0001,0.0020,0.0010,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207244926 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1657295259,1685922763,,
CPU_CLK_UNHALTED_CORE,FIXC1,919505047,933167393,,
CPU_CLK_UNHALTED_REF,FIXC2,1739471968,1766895788,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,732490608,745143209,,
MEM_INST_RETIRED_ALL_STORES,PMC1,19797029,20139007,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3343218022,1657295259,1685922763,1671609011
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1852672440,919505047,933167393,926336220
CPU_CLK_UNHALTED_REF STAT,FIXC2,3506367756,1739471968,1766895788,1753183878
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1477633817,732490608,745143209,7.388169e+08
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,39936036,19797029,20139007,19968018
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.8995,0.8995,,,
Runtime unhalted [s],0.4166,0.4228,,,
Clock [MHz],1166.7753,1165.7332,,,
CPI,0.5548,0.5535,,,
Load to store ratio,37.0000,37.0000,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.7990,0.8995,0.8995,0.8995,
Runtime unhalted [s] STAT,0.8394,0.4166,0.4228,0.4197,
Clock [MHz] STAT,2332.5085,1165.7332,1166.7753,1166.2542,
CPI STAT,1.1083,0.5535,0.5548,0.5541,
