STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207959645 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3454482373,3486634525,3527207167,3301389016,3447138627,3453193631
CPU_CLK_UNHALTED_CORE,FIXC1,1924024862,1932385024,1909550831,1937084132,1942748189,1947241376
CPU_CLK_UNHALTED_REF,FIXC2,3548454720,3563875944,3521758988,3572538848,3582992164,3591276212
UOPS_RETIRED_USED_CYCLES,PMC0,1149554004,1159582932,1169043761,1099464470,1146125562,1148341581
UOPS_RETIRED_STALL_CYCLES,PMC1,774470858,772802092,740507070,837619662,796622627,798899795
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1924024862,1932385024,1909550831,1937084132,1942748189,1947241376
UOPS_RETIRED_STALL_CYCLES,PMC3,470221248,472017342,463302710,446548736,466665632,467200709
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,20670045339,3301389016,3527207167,3.445008e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,11593034414,1909550831,1947241376,1.932172e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,21380896876,3521758988,3591276212,3.563483e+09,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,6872112310,1099464470,1169043761,1.145352e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,4720922104,740507070,837619662,7.868204e+08,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,11593034414,1909550831,1947241376,1.932172e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2785956377,446548736,472017342,4.643261e+08,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.6896,1.6896,1.6896,1.6896,1.6896,1.6896,
Runtime unhalted [s],0.8714,0.8752,0.8648,0.8773,0.8799,0.8819,
Clock [MHz],1197.1885,1197.1876,1197.1890,1197.1888,1197.1864,1197.1873,
CPI,0.5570,0.5542,0.5414,0.5867,0.5636,0.5639,
Used cycles ratio [%],59.7474,60.0079,61.2209,56.7587,58.9951,58.9727,
Unused cycles ratio [%],40.2526,39.9921,38.7791,43.2413,41.0049,41.0273,
Avg stall duration [cycles],1.6470,1.6372,1.5983,1.8758,1.7071,1.7100,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,10.1376,1.6896,1.6896,1.6896,,,
Runtime unhalted [s] STAT,5.2505,0.8648,0.8819,0.8751,,,
Clock [MHz] STAT,7183.1276,1197.1864,1197.1890,1197.1879,,,
CPI STAT,3.3668,0.5414,0.5867,0.5611,,,
Used cycles ratio [%] STAT,355.7027,56.7587,61.2209,59.2838,,,
Unused cycles ratio [%] STAT,244.2973,38.7791,43.2413,40.7162,,,
Avg stall duration [cycles] STAT,10.1754,1.5983,1.8758,1.6959,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207959645 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3479185924,3486679690,3517470823,3291726709,3292948752,3298516716
CPU_CLK_UNHALTED_CORE,FIXC1,1923555852,1927335885,1907957898,1933482222,1936792977,1939729610
CPU_CLK_UNHALTED_REF,FIXC2,3547588448,3554567752,3518821612,3565896448,3572007824,3577420368
L2_LINES_IN_ALL,PMC0,991,658,1368,1124,5497,1117
L2_TRANS_L2_WB,PMC1,52,82,180,113,403,177
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,20366528614,3291726709,3517470823,3.394421e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,11568854444,1907957898,1939729610,1.928142e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,21336302452,3518821612,3577420368,3.556050e+09,,
L2_LINES_IN_ALL STAT,PMC0,10755,658,5497,1792.5000,,
L2_TRANS_L2_WB STAT,PMC1,1007,52,403,167.8333,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.6918,1.6918,1.6918,1.6918,1.6918,1.6918,
Runtime unhalted [s],0.8712,0.8729,0.8641,0.8757,0.8772,0.8785,
Clock [MHz],1197.1890,1197.1863,1197.1889,1197.1886,1197.1868,1197.1880,
CPI,0.5529,0.5528,0.5424,0.5874,0.5882,0.5881,
L3 load bandwidth [MBytes/s],0.0375,0.0249,0.0517,0.0425,0.2079,0.0423,
L3 load data volume [GBytes],0.0001,4.211200e-05,0.0001,0.0001,0.0004,0.0001,
L3 evict bandwidth [MBytes/s],0.0020,0.0031,0.0068,0.0043,0.0152,0.0067,
L3 evict data volume [GBytes],3.328000e-06,5.248000e-06,1.152000e-05,7.232000e-06,2.579200e-05,1.132800e-05,
L3 bandwidth [MBytes/s],0.0395,0.0280,0.0586,0.0468,0.2232,0.0490,
L3 data volume [GBytes],0.0001,4.736000e-05,0.0001,0.0001,0.0004,0.0001,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,10.1508,1.6918,1.6918,1.6918,,,
Runtime unhalted [s] STAT,5.2396,0.8641,0.8785,0.8733,,,
Clock [MHz] STAT,7183.1276,1197.1863,1197.1890,1197.1879,,,
CPI STAT,3.4118,0.5424,0.5882,0.5686,,,
L3 load bandwidth [MBytes/s] STAT,0.4068,0.0249,0.2079,0.0678,,,
L3 load data volume [GBytes] STAT,0.0008,4.211200e-05,0.0004,0.0001,,,
L3 evict bandwidth [MBytes/s] STAT,0.0381,0.0020,0.0152,0.0063,,,
L3 evict data volume [GBytes] STAT,0.0001,3.328000e-06,2.579200e-05,1.074133e-05,,,
L3 bandwidth [MBytes/s] STAT,0.4451,0.0280,0.2232,0.0742,,,
L3 data volume [GBytes] STAT,0.0008,4.736000e-05,0.0004,0.0001,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207959645 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
