STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207107816 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,3322937125,3305380275,3362627453,3383501053,3390519729,3329465476
CPU_CLK_UNHALTED_CORE,FIXC1,1088350612,1068824119,1089493109,1092452763,1094957762,1097624035
CPU_CLK_UNHALTED_REF,FIXC2,2007269800,1971218956,2009339984,2014799540,2019418676,2024336996
UOPS_RETIRED_USED_CYCLES,PMC0,975938954,967573844,985066032,990158069,992260460,978732975
UOPS_RETIRED_STALL_CYCLES,PMC1,112411658,101250275,104427077,102294694,102697302,118891060
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1088350612,1068824119,1089493109,1092452763,1094957762,1097624035
UOPS_RETIRED_STALL_CYCLES,PMC3,108530957,99977628,103121421,101736256,101922375,110488018
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,20094431111,3305380275,3390519729,3.349072e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,6531702400,1068824119,1097624035,1.088617e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,12046383952,1971218956,2024336996,2.007731e+09,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,5889730334,967573844,992260460,9.816217e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,641972066,101250275,118891060,1.069953e+08,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,6531702400,1068824119,1097624035,1.088617e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,625776655,99977628,110488018,1.042961e+08,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.9970,0.9970,0.9970,0.9970,0.9970,0.9970,
Runtime unhalted [s],0.4931,0.4843,0.4936,0.4950,0.4961,0.4973,
Clock [MHz],1196.7037,1196.7266,1196.7257,1196.7250,1196.7255,1196.7249,
CPI,0.3275,0.3234,0.3240,0.3229,0.3229,0.3297,
Used cycles ratio [%],89.6714,90.5269,90.4151,90.6362,90.6209,89.1683,
Unused cycles ratio [%],10.3286,9.4731,9.5849,9.3638,9.3791,10.8317,
Avg stall duration [cycles],1.0358,1.0127,1.0127,1.0055,1.0076,1.0761,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,5.9820,0.9970,0.9970,0.9970,,,
Runtime unhalted [s] STAT,2.9594,0.4843,0.4973,0.4932,,,
Clock [MHz] STAT,7180.3314,1196.7037,1196.7266,1196.7219,,,
CPI STAT,1.9504,0.3229,0.3297,0.3251,,,
Used cycles ratio [%] STAT,541.0388,89.1683,90.6362,90.1731,,,
Unused cycles ratio [%] STAT,58.9612,9.3638,10.8317,9.8269,,,
Avg stall duration [cycles] STAT,6.1504,1.0055,1.0761,1.0251,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207107816 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,3311209429,3346192948,3353294246,3368295885,3373269293,3383950468
CPU_CLK_UNHALTED_CORE,FIXC1,1081741302,1081619581,1086723157,1087889568,1089599721,1091511768
CPU_CLK_UNHALTED_REF,FIXC2,1995040332,1994817232,2004585424,2006383380,2009536772,2013062304
L2_LINES_IN_ALL,PMC0,2855,5942,34232,734,838,1583
L2_TRANS_L2_WB,PMC1,218,453,3653,119,92,84
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,20136212269,3311209429,3383950468,3.356035e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,6519085097,1081619581,1091511768,1.086514e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,12023425444,1994817232,2013062304,2.003904e+09,,
L2_LINES_IN_ALL STAT,PMC0,46184,734,34232,7697.3333,,
L2_TRANS_L2_WB STAT,PMC1,4619,84,3653,769.8333,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,
Runtime unhalted [s],0.4901,0.4901,0.4924,0.4929,0.4937,0.4945,
Clock [MHz],1196.7275,1196.7267,1196.5143,1196.7252,1196.7256,1196.7261,
CPI,0.3267,0.3232,0.3241,0.3230,0.3230,0.3226,
L3 load bandwidth [MBytes/s],0.1835,0.3820,2.2007,0.0472,0.0539,0.1018,
L3 load data volume [GBytes],0.0002,0.0004,0.0022,4.697600e-05,0.0001,0.0001,
L3 evict bandwidth [MBytes/s],0.0140,0.0291,0.2348,0.0077,0.0059,0.0054,
L3 evict data volume [GBytes],1.395200e-05,2.899200e-05,0.0002,7.616000e-06,5.888000e-06,5.376000e-06,
L3 bandwidth [MBytes/s],0.1976,0.4111,2.4356,0.0548,0.0598,0.1072,
L3 data volume [GBytes],0.0002,0.0004,0.0024,0.0001,0.0001,0.0001,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,5.9730,0.9955,0.9955,0.9955,,,
Runtime unhalted [s] STAT,2.9537,0.4901,0.4945,0.4923,,,
Clock [MHz] STAT,7180.1454,1196.5143,1196.7275,1196.6909,,,
CPI STAT,1.9426,0.3226,0.3267,0.3238,,,
L3 load bandwidth [MBytes/s] STAT,2.9691,0.0472,2.2007,0.4949,,,
L3 load data volume [GBytes] STAT,0.0030,4.697600e-05,0.0022,0.0005,,,
L3 evict bandwidth [MBytes/s] STAT,0.2969,0.0054,0.2348,0.0495,,,
L3 evict data volume [GBytes] STAT,0.0003,5.376000e-06,0.0002,4.363733e-05,,,
L3 bandwidth [MBytes/s] STAT,3.2661,0.0548,2.4356,0.5444,,,
L3 data volume [GBytes] STAT,0.0033,0.0001,0.0024,0.0005,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207107816 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
