STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208011881 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1896847160,1901530210,1915508244,1910529944,1914897550,1906803525,1921862231,1905823994,1935102045,1938797669,1944066962,1899663681
CPU_CLK_UNHALTED_CORE,FIXC1,1044562397,1045611090,1057363742,1052193863,1058680149,1047110062,1058942905,1057199549,1067833272,1067513453,1069896687,1047599841
CPU_CLK_UNHALTED_REF,FIXC2,1359863408,1361286648,1377623180,1369797752,1379043660,1363188104,1378582556,1376316228,1392955624,1389856972,1392844212,1364493124
UOPS_RETIRED_USED_CYCLES,PMC0,624043369,624313898,628316091,627274726,629909672,626287627,630697112,626298093,635061976,637898086,638998226,622849864
UOPS_RETIRED_STALL_CYCLES,PMC1,420519028,421297192,429047651,424919137,428770477,420822435,428245793,430901456,432771755,429615367,430898461,424750894
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1044562397,1045611090,1057363742,1052193863,1058680149,1047110062,1058942905,1057199549,1067833731,1067513453,1069896687,1047600758
UOPS_RETIRED_STALL_CYCLES,PMC3,245600295,244544927,247295762,247481714,245449154,244810203,248111402,246169468,248479694,249733008,249701835,245117742
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,22991433215,1896847160,1944066962,1.915953e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12674507010,1044562397,1069896687,1.056209e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,16505851468,1359863408,1392955624,1.375488e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7551948740,622849864,638998226,6.293291e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,5122559646,420519028,432771755,4.268800e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,12674508386,1044562397,1069896687,1.056209e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2962495204,244544927,249733008,2.468746e+08,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,0.6997,
Runtime unhalted [s],0.4731,0.4736,0.4789,0.4765,0.4795,0.4742,0.4796,0.4788,0.4836,0.4835,0.4846,0.4745,
Clock [MHz],1696.0572,1695.9850,1694.7099,1696.0581,1695.0720,1696.0473,1696.0598,1696.0558,1692.6516,1695.9172,1696.0580,1695.2177,
CPI,0.5507,0.5499,0.5520,0.5507,0.5529,0.5491,0.5510,0.5547,0.5518,0.5506,0.5503,0.5515,
Used cycles ratio [%],59.7421,59.7080,59.4229,59.6159,59.4995,59.8111,59.5591,59.2412,59.4720,59.7555,59.7252,59.4549,
Unused cycles ratio [%],40.2579,40.2920,40.5771,40.3841,40.5005,40.1889,40.4409,40.7588,40.5280,40.2445,40.2748,40.5451,
Avg stall duration [cycles],1.7122,1.7228,1.7350,1.7170,1.7469,1.7190,1.7260,1.7504,1.7417,1.7203,1.7257,1.7328,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,8.3964,0.6997,0.6997,0.6997,,,,,,,,,
Runtime unhalted [s] STAT,5.7404,0.4731,0.4846,0.4784,,,,,,,,,
Clock [MHz] STAT,20345.8896,1692.6516,1696.0598,1695.4908,,,,,,,,,
CPI STAT,6.6152,0.5491,0.5547,0.5513,,,,,,,,,
Used cycles ratio [%] STAT,715.0074,59.2412,59.8111,59.5839,,,,,,,,,
Unused cycles ratio [%] STAT,484.9926,40.1889,40.7588,40.4160,,,,,,,,,
Avg stall duration [cycles] STAT,20.7498,1.7122,1.7504,1.7291,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208011881 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1885291527,1887802263,1890981527,1896175038,1890660324,1804920942,1906467914,1899383023,1912214281,1916405009,1921147836,1907523561
CPU_CLK_UNHALTED_CORE,FIXC1,1038917847,1039106823,1041987873,1044369973,1044683047,996040456,1050178030,1045911567,1052769692,1055667635,1057168061,1043871059
CPU_CLK_UNHALTED_REF,FIXC2,1353088068,1352760364,1356510468,1359611972,1360050996,1296698876,1367701164,1361619964,1370547828,1374503736,1376274644,1358993548
L2_LINES_IN_ALL,PMC0,32680,32701,25601,1003,111525,105088,29544,10969,983,8882,23977,35011
L2_TRANS_L2_WB,PMC1,4003,7510,6061,99,23595,35383,3664,1688,182,854,4364,5935
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,22718973245,1804920942,1921147836,1.893248e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12510672063,996040456,1057168061,1.042556e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,16288361628,1296698876,1376274644,1357363469,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,417964,983,111525,34830.3333,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,93338,99,35383,7778.1667,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,0.6968,
Runtime unhalted [s],0.4705,0.4706,0.4719,0.4730,0.4731,0.4511,0.4756,0.4737,0.4768,0.4781,0.4788,0.4728,
Clock [MHz],1695.3390,1696.0581,1696.0589,1696.0584,1696.0192,1696.0523,1695.4037,1696.0571,1696.0575,1695.8315,1696.0566,1696.0196,
CPI,0.5511,0.5504,0.5510,0.5508,0.5525,0.5518,0.5509,0.5507,0.5506,0.5509,0.5503,0.5472,
L3 load bandwidth [MBytes/s],3.0017,3.0037,2.3515,0.0921,10.2438,9.6526,2.7137,1.0075,0.0903,0.8158,2.2023,3.2158,
L3 load data volume [GBytes],0.0021,0.0021,0.0016,0.0001,0.0071,0.0067,0.0019,0.0007,0.0001,0.0006,0.0015,0.0022,
L3 evict bandwidth [MBytes/s],0.3677,0.6898,0.5567,0.0091,2.1673,3.2500,0.3365,0.1550,0.0167,0.0784,0.4008,0.5451,
L3 evict data volume [GBytes],0.0003,0.0005,0.0004,6.336000e-06,0.0015,0.0023,0.0002,0.0001,1.164800e-05,0.0001,0.0003,0.0004,
L3 bandwidth [MBytes/s],3.3694,3.6935,2.9082,0.1012,12.4111,12.9026,3.0502,1.1626,0.1070,0.8943,2.6032,3.7610,
L3 data volume [GBytes],0.0023,0.0026,0.0020,0.0001,0.0086,0.0090,0.0021,0.0008,0.0001,0.0006,0.0018,0.0026,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,8.3616,0.6968,0.6968,0.6968,,,,,,,,,
Runtime unhalted [s] STAT,5.6660,0.4511,0.4788,0.4722,,,,,,,,,
Clock [MHz] STAT,20351.0119,1695.3390,1696.0589,1695.9177,,,,,,,,,
CPI STAT,6.6082,0.5472,0.5525,0.5507,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,38.3908,0.0903,10.2438,3.1992,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0267,0.0001,0.0071,0.0022,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,8.5731,0.0091,3.2500,0.7144,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0061,6.336000e-06,0.0023,0.0005,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,46.9643,0.1012,12.9026,3.9137,,,,,,,,,
L3 data volume [GBytes] STAT,0.0326,0.0001,0.0090,0.0027,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208011881 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1885390777,1887150489,1889553202,1894953209,1896106207,1843983589,1903530285,1905974894,1909407357,1912235129,1912078601,1895225218
CPU_CLK_UNHALTED_CORE,FIXC1,1038534916,1039354473,1041639395,1043657460,1044676983,1015306910,1048123882,1049259071,1051199854,1053268587,1053757160,1040889304
CPU_CLK_UNHALTED_REF,FIXC2,1352067696,1353083560,1356056816,1358684428,1360013644,1321772372,1364497816,1365977728,1368503128,1371378128,1371850088,1355520732
MEM_INST_RETIRED_ALL_LOADS,PMC0,814870531,815631609,816611572,819004760,819460844,795697359,822711873,823768473,825251696,826450398,826323429,819025138
MEM_INST_RETIRED_ALL_STORES,PMC1,111847614,111950541,112148025,112412705,112520501,109789883,112921486,113066503,113270394,113454980,113500130,112513532
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,22735588957,1843983589,1912235129,1.894632e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12519667995,1015306910,1053757160,1.043306e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,16299406136,1321772372,1371850088,1.358284e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,9824807682,795697359,826450398,8.187340e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,1349396294,109789883,113500130,1.124497e+08,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,0.6969,
Runtime unhalted [s],0.4703,0.4707,0.4718,0.4727,0.4731,0.4598,0.4747,0.4752,0.4761,0.4770,0.4772,0.4714,
Clock [MHz],1695.9931,1696.0571,1696.0588,1696.0584,1696.0559,1696.0634,1696.0599,1696.0573,1696.0588,1695.8339,1696.0369,1695.5078,
CPI,0.5508,0.5508,0.5513,0.5508,0.5510,0.5506,0.5506,0.5505,0.5505,0.5508,0.5511,0.5492,
Load to store ratio,7.2855,7.2856,7.2816,7.2857,7.2828,7.2475,7.2857,7.2857,7.2857,7.2844,7.2804,7.2793,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,8.3628,0.6969,0.6969,0.6969,,,,,,,,,
Runtime unhalted [s] STAT,5.6700,0.4598,0.4772,0.4725,,,,,,,,,
Clock [MHz] STAT,20351.8413,1695.5078,1696.0634,1695.9868,,,,,,,,,
CPI STAT,6.6080,0.5492,0.5513,0.5507,,,,,,,,,
Load to store ratio STAT,87.3699,7.2475,7.2857,7.2808,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208011881 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1885543088,1883295677,1884633607,1886739346,1873931039,1861482372,1889932215,1885810486,1889641241,1889649566,1889940703,1887037541
CPU_CLK_UNHALTED_CORE,FIXC1,1038623943,1037463846,1038487381,1039176119,1037168068,1024205451,1042098279,1038443500,1040443568,1040953833,1039544454,1037896090
