STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18431877030
CPU_CLK_UNHALTED_CORE,FIXC1,6799210911
CPU_CLK_UNHALTED_REF,FIXC2,6840861204
UOPS_RETIRED_USED_CYCLES,PMC0,6699668454
UOPS_RETIRED_STALL_CYCLES,PMC1,99542457
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,6799210911
UOPS_RETIRED_STALL_CYCLES,PMC3,61261522
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],3.2002,
Runtime unhalted [s],3.0792,
Clock [MHz],2194.6328,
CPI,0.3689,
Used cycles ratio [%],98.5360,
Unused cycles ratio [%],1.4640,
Avg stall duration [cycles],1.6249,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18430804120
CPU_CLK_UNHALTED_CORE,FIXC1,6796365111
CPU_CLK_UNHALTED_REF,FIXC2,6837064364
L2_LINES_IN_ALL,PMC0,45218
L2_TRANS_L2_WB,PMC1,4734
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],3.1996,
Runtime unhalted [s],3.0780,
Clock [MHz],2194.9325,
CPI,0.3688,
L3 load bandwidth [MBytes/s],0.9045,
L3 load data volume [GBytes],0.0029,
L3 evict bandwidth [MBytes/s],0.0947,
L3 evict data volume [GBytes],0.0003,
L3 bandwidth [MBytes/s],0.9992,
L3 data volume [GBytes],0.0032,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18430379138
CPU_CLK_UNHALTED_CORE,FIXC1,6796751225
CPU_CLK_UNHALTED_REF,FIXC2,6837502652
MEM_INST_RETIRED_ALL_LOADS,PMC0,6714611055
MEM_INST_RETIRED_ALL_STORES,PMC1,6688008496
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],3.1997,
Runtime unhalted [s],3.0781,
Clock [MHz],2194.9164,
CPI,0.3688,
Load to store ratio,1.0040,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18431077793
CPU_CLK_UNHALTED_CORE,FIXC1,6796516631
CPU_CLK_UNHALTED_REF,FIXC2,6837208068
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],3.1997,
Runtime unhalted [s],3.0780,
Clock [MHz],2194.9353,
CPI,0.3688,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18431455247
CPU_CLK_UNHALTED_CORE,FIXC1,6796574118
CPU_CLK_UNHALTED_REF,FIXC2,6837274216
L2_TRANS_ALL_REQUESTS,PMC0,323871
L2_RQSTS_MISS,PMC1,46439
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],3.1997,
Runtime unhalted [s],3.0781,
Clock [MHz],2194.9326,
CPI,0.3687,
L2 request rate,1.757165e-05,
L2 miss rate,2.519551e-06,
L2 miss ratio,0.1434,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18425952539
CPU_CLK_UNHALTED_CORE,FIXC1,6796411002
CPU_CLK_UNHALTED_REF,FIXC2,6837111376
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,226453
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,6785204463
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,453652
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,20591189
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],3.1996,
Runtime unhalted [s],3.0780,
Clock [MHz],2194.9322,
CPI,0.3688,
Cycles without execution [%],0.3030,
Cycles without execution due to L1D [%],0.0067,
Cycles without execution due to L2 [%],0.0033,
Cycles without execution due to memory loads [%],99.8351,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18429616790
CPU_CLK_UNHALTED_CORE,FIXC1,6796170180
CPU_CLK_UNHALTED_REF,FIXC2,6836862424
ITLB_MISSES_CAUSES_A_WALK,PMC0,1696
ITLB_MISSES_WALK_ACTIVE,PMC1,68583
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],3.1996,
Runtime unhalted [s],3.0779,
Clock [MHz],2194.9343,
CPI,0.3688,
L1 ITLB misses,1696,
L1 ITLB miss rate,9.202579e-08,
L1 ITLB miss duration [Cyc],40.4381,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208076552 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,18431398158
CPU_CLK_UNHALTED_CORE,FIXC1,6796626590
CPU_CLK_UNHALTED_REF,FIXC2,6837326288
DRAM_READS,MBOX0C1,611949
DRAM_WRITES,MBOX0C2,130244
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],3.1998,
Runtime unhalted [s],3.0781,
Clock [MHz],2194.9328,
CPI,0.3688,
Memory load bandwidth [MBytes/s],12.2399,
Memory load data volume [GBytes],0.0392,
Memory evict bandwidth [MBytes/s],2.6051,
