STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207990042 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,9269537750,9300621761,,
CPU_CLK_UNHALTED_CORE,FIXC1,6778852725,6787296887,,
CPU_CLK_UNHALTED_REF,FIXC2,8825032564,8836070356,,
UOPS_RETIRED_USED_CYCLES,PMC0,3921278309,3939032409,,
UOPS_RETIRED_STALL_CYCLES,PMC1,2857574416,2848264478,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,6778852725,6787296887,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1937604645,1944754209,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18570159511,9269537750,9300621761,9.285080e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13566149612,6778852725,6787296887,6783074806
CPU_CLK_UNHALTED_REF STAT,FIXC2,17661102920,8825032564,8836070356,8830551460
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7860310718,3921278309,3939032409,3930155359
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,5705838894,2848264478,2857574416,2852919447
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,13566149612,6778852725,6787296887,6783074806
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,3882358854,1937604645,1944754209,1941179427
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],4.0989,4.0989,,,
Runtime unhalted [s],3.0701,3.0740,,,
Clock [MHz],1696.0435,1696.0349,,,
CPI,0.7313,0.7298,,,
Used cycles ratio [%],57.8458,58.0354,,,
Unused cycles ratio [%],42.1542,41.9646,,,
Avg stall duration [cycles],1.4748,1.4646,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.1978,4.0989,4.0989,4.0989,
Runtime unhalted [s] STAT,6.1441,3.0701,3.0740,3.0720,
Clock [MHz] STAT,3392.0784,1696.0349,1696.0435,1696.0392,
CPI STAT,1.4611,0.7298,0.7313,0.7306,
Used cycles ratio [%] STAT,115.8812,57.8458,58.0354,57.9406,
Unused cycles ratio [%] STAT,84.1188,41.9646,42.1542,42.0594,
Avg stall duration [cycles] STAT,2.9394,1.4646,1.4748,1.4697,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207990042 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,9260968023,9291355010,,
CPU_CLK_UNHALTED_CORE,FIXC1,6772956673,6781321879,,
CPU_CLK_UNHALTED_REF,FIXC2,8817358936,8828257808,,
L2_LINES_IN_ALL,PMC0,4834,23662,,
L2_TRANS_L2_WB,PMC1,768,5041,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18552323033,9260968023,9291355010,9.276162e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13554278552,6772956673,6781321879,6777139276
CPU_CLK_UNHALTED_REF STAT,FIXC2,17645616744,8817358936,8828257808,8822808372
L2_LINES_IN_ALL STAT,PMC0,28496,4834,23662,14248
L2_TRANS_L2_WB STAT,PMC1,5809,768,5041,2904.5000
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],4.0975,4.0975,,,
Runtime unhalted [s],3.0675,3.0713,,,
Clock [MHz],1696.0431,1696.0415,,,
CPI,0.7313,0.7299,,,
L3 load bandwidth [MBytes/s],0.0755,0.3696,,,
L3 load data volume [GBytes],0.0003,0.0015,,,
L3 evict bandwidth [MBytes/s],0.0120,0.0787,,,
L3 evict data volume [GBytes],4.915200e-05,0.0003,,,
L3 bandwidth [MBytes/s],0.0875,0.4483,,,
L3 data volume [GBytes],0.0004,0.0018,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.1950,4.0975,4.0975,4.0975,
Runtime unhalted [s] STAT,6.1388,3.0675,3.0713,3.0694,
Clock [MHz] STAT,3392.0846,1696.0415,1696.0431,1696.0423,
CPI STAT,1.4612,0.7299,0.7313,0.7306,
L3 load bandwidth [MBytes/s] STAT,0.4451,0.0755,0.3696,0.2225,
L3 load data volume [GBytes] STAT,0.0018,0.0003,0.0015,0.0009,
L3 evict bandwidth [MBytes/s] STAT,0.0907,0.0120,0.0787,0.0454,
L3 evict data volume [GBytes] STAT,0.0003,4.915200e-05,0.0003,0.0002,
L3 bandwidth [MBytes/s] STAT,0.5358,0.0875,0.4483,0.2679,
L3 data volume [GBytes] STAT,0.0022,0.0004,0.0018,0.0011,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207990042 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,9269574621,9296603887,,
CPU_CLK_UNHALTED_CORE,FIXC1,6779321323,6783363290,,
CPU_CLK_UNHALTED_REF,FIXC2,8825645100,8830914124,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,3383393267,3393259588,,
MEM_INST_RETIRED_ALL_STORES,PMC1,3356909828,3366698260,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,18566178508,9269574621,9296603887,9283089254
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13562684613,6779321323,6783363290,6.781342e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,17656559224,8825645100,8830914124,8828279612
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,6776652855,3383393267,3393259588,3.388326e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,6723608088,3356909828,3366698260,3361804044
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],4.0988,4.0988,,,
Runtime unhalted [s],3.0704,3.0722,,,
Clock [MHz],1696.0430,1696.0417,,,
CPI,0.7314,0.7297,,,
Load to store ratio,1.0079,1.0079,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.1976,4.0988,4.0988,4.0988,
Runtime unhalted [s] STAT,6.1426,3.0704,3.0722,3.0713,
