STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207803331 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,293277418,309826244,312423704,319990982,325466952,322810116,330313438,322563564,338231845,329481545,339847674,334294390
CPU_CLK_UNHALTED_CORE,FIXC1,208223967,216410717,222160211,229384198,230862884,232333394,233974193,227044855,236377592,237805907,242337061,240454133
CPU_CLK_UNHALTED_REF,FIXC2,460829288,478948320,491672380,507638520,510933408,514186988,517817768,502480908,523137300,526285356,536331572,532148516
UOPS_RETIRED_USED_CYCLES,PMC0,119200456,126465334,125702271,133784190,135040318,133946471,134948578,131211280,135668263,137977541,140693031,138884489
UOPS_RETIRED_STALL_CYCLES,PMC1,89023511,89945383,96457940,95600008,95822566,98386923,99025615,95833575,100709329,99828366,101644030,101569644
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,208223967,216410717,222160211,229384198,230862884,232333394,233974193,227044855,236377592,237805907,242337061,240454133
UOPS_RETIRED_STALL_CYCLES,PMC3,39426750,41758389,35422854,58883622,48777087,55842094,46578820,42123983,38406465,60754848,50815519,58044421
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3878527872,293277418,339847674,323210656,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2757369112,208223967,242337061,2.297808e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,6102410324,460829288,536331572,5.085342e+08,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1593522222,119200456,140693031,1.327935e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1163846890,89023511,101644030,9.698724e+07,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2757369112,208223967,242337061,2.297808e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,576834852,35422854,60754848,48069571,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,0.2984,
Runtime unhalted [s],0.0943,0.0980,0.1006,0.1039,0.1046,0.1052,0.1060,0.1028,0.1071,0.1077,0.1098,0.1089,
Clock [MHz],997.5876,997.5863,997.5872,997.6296,997.5857,997.5874,997.5884,997.5909,997.5875,997.6122,997.5780,997.6077,
CPI,0.7100,0.6985,0.7111,0.7168,0.7093,0.7197,0.7083,0.7039,0.6989,0.7218,0.7131,0.7193,
Used cycles ratio [%],57.2463,58.4376,56.5818,58.3232,58.4937,57.6527,57.6767,57.7909,57.3947,58.0211,58.0568,57.7592,
Unused cycles ratio [%],42.7537,41.5624,43.4182,41.6768,41.5063,42.3473,42.3233,42.2091,42.6053,41.9789,41.9432,42.2408,
Avg stall duration [cycles],2.2579,2.1539,2.7230,1.6235,1.9645,1.7619,2.1260,2.2750,2.6222,1.6431,2.0003,1.7499,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,3.5808,0.2984,0.2984,0.2984,,,,,,,,,
Runtime unhalted [s] STAT,1.2489,0.0943,0.1098,0.1041,,,,,,,,,
Clock [MHz] STAT,11971.1285,997.5780,997.6296,997.5940,,,,,,,,,
CPI STAT,8.5307,0.6985,0.7218,0.7109,,,,,,,,,
Used cycles ratio [%] STAT,693.4347,56.5818,58.4937,57.7862,,,,,,,,,
Unused cycles ratio [%] STAT,506.5653,41.5063,43.4182,42.2138,,,,,,,,,
Avg stall duration [cycles] STAT,24.9012,1.6235,2.7230,2.0751,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207803331 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,289637449,319139672,309310957,319426831,319172238,312378139,322528891,314351185,334905621,319760625,327627620,329831062
CPU_CLK_UNHALTED_CORE,FIXC1,205831951,223875067,219941953,225390322,226457620,227467826,228622532,223490203,233585370,231268665,232220015,241641829
CPU_CLK_UNHALTED_REF,FIXC2,455528432,495467104,486762432,498810292,501182604,503418848,505973780,494614632,516717080,511830316,513936748,533950888
L2_LINES_IN_ALL,PMC0,7411,689,2435,645,711,1627,257,2772,50797,100,1233,109219
L2_TRANS_L2_WB,PMC1,273,24,146,26,2,34,18,186,10934,9,5,26771
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3818070290,289637449,334905621,3.181725e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2719793353,205831951,241641829,2.266494e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,6018193156,455528432,533950888,5.015161e+08,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,177896,100,109219,14824.6667,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,38428,2,26771,3202.3333,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,0.2951,
Runtime unhalted [s],0.0932,0.1014,0.0996,0.1021,0.1026,0.1030,0.1036,0.1012,0.1058,0.1048,0.1052,0.1094,
Clock [MHz],997.6029,997.5882,997.5884,997.6087,997.5883,997.5872,997.5884,997.5896,998.0521,997.5879,997.5860,999.1511,
CPI,0.7107,0.7015,0.7111,0.7056,0.7095,0.7282,0.7088,0.7110,0.6975,0.7233,0.7088,0.7326,
L3 load bandwidth [MBytes/s],1.6075,0.1495,0.5282,0.1399,0.1542,0.3529,0.0557,0.6013,11.0184,0.0217,0.2674,23.6907,
L3 load data volume [GBytes],0.0005,4.409600e-05,0.0002,4.128000e-05,4.550400e-05,0.0001,1.644800e-05,0.0002,0.0033,6.400000e-06,0.0001,0.0070,
L3 evict bandwidth [MBytes/s],0.0592,0.0052,0.0317,0.0056,0.0004,0.0074,0.0039,0.0403,2.3717,0.0020,0.0011,5.8069,
L3 evict data volume [GBytes],1.747200e-05,1.536000e-06,9.344000e-06,1.664000e-06,1.280000e-07,2.176000e-06,1.152000e-06,1.190400e-05,0.0007,5.760000e-07,3.200000e-07,0.0017,
L3 bandwidth [MBytes/s],1.6667,0.1547,0.5598,0.1455,0.1547,0.3603,0.0597,0.6416,13.3901,0.0236,0.2685,29.4976,
L3 data volume [GBytes],0.0005,4.563200e-05,0.0002,4.294400e-05,4.563200e-05,0.0001,1.760000e-05,0.0002,0.0040,6.976000e-06,0.0001,0.0087,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,3.5412,0.2951,0.2951,0.2951,,,,,,,,,
Runtime unhalted [s] STAT,1.2319,0.0932,0.1094,0.1027,,,,,,,,,
Clock [MHz] STAT,11973.1188,997.5860,999.1511,997.7599,,,,,,,,,
CPI STAT,8.5486,0.6975,0.7326,0.7124,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,38.5874,0.0217,23.6907,3.2156,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0116,6.400000e-06,0.0070,0.0010,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,8.3354,0.0004,5.8069,0.6946,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0024,1.280000e-07,0.0017,0.0002,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,46.9228,0.0236,29.4976,3.9102,,,,,,,,,
L3 data volume [GBytes] STAT,0.0140,6.976000e-06,0.0087,0.0012,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207803331 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,289564907,307734300,299643337,306190617,306088517,298755313,309213264,301571579,312029735,306653028,314200466,306636968
CPU_CLK_UNHALTED_CORE,FIXC1,205756958,218032027,211406140,216042941,217177359,218172872,219208226,214366675,221176025,221784747,223225050,224001741
CPU_CLK_UNHALTED_REF,FIXC2,455391168,483085928,467872164,478133844,480644984,482848016,485139644,474423944,489459504,490842264,494104032,495858012
MEM_INST_RETIRED_ALL_LOADS,PMC0,107539901,114184199,111285215,113727895,113689984,110966217,114850594,112001227,115904944,113898347,116693832,113583580
MEM_INST_RETIRED_ALL_STORES,PMC1,102787021,108896693,106371066,108728605,108692347,106088310,109801955,107054033,110707453,108878990,111551246,108332754
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3658282031,289564907,314200466,3.048568e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2610350761,205756958,224001741,2.175292e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,5777803504,455391168,495858012,4.814836e+08,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1358325935,107539901,116693832,1.131938e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,1297890473,102787021,111551246,1.081575e+08,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,0.2964,
Runtime unhalted [s],0.0932,0.0988,0.0958,0.0979,0.0984,0.0988,0.0993,0.0971,0.1002,0.1005,0.1011,0.1015,
Clock [MHz],997.5400,996.4518,997.5870,997.5875,997.5864,997.5868,997.5863,997.5876,997.6579,997.5855,997.4357,997.3657,
CPI,0.7106,0.7085,0.7055,0.7056,0.7095,0.7303,0.7089,0.7108,0.7088,0.7232,0.7105,0.7305,
Load to store ratio,1.0462,1.0486,1.0462,1.0460,1.0460,1.0460,1.0460,1.0462,1.0469,1.0461,1.0461,1.0485,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,3.5568,0.2964,0.2964,0.2964,,,,,,,,,
Runtime unhalted [s] STAT,1.1826,0.0932,0.1015,0.0985,,,,,,,,,
Clock [MHz] STAT,11969.5582,996.4518,997.6579,997.4632,,,,,,,,,
CPI STAT,8.5627,0.7055,0.7305,0.7136,,,,,,,,,
Load to store ratio STAT,12.5588,1.0460,1.0486,1.0466,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.207803331 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,191153407,188365607,443415536,198396462,221227026,317068361,227801594,444935378,188690306,337283606,313523947,332877182
CPU_CLK_UNHALTED_CORE,FIXC1,206864561,232010200,233121819,234203924,235159424,233889125,236996885,235807076,239079881,235890938,240610026,235436233
CPU_CLK_UNHALTED_REF,FIXC2,457827144,513471780,515932320,518327080,520441424,517628984,524508284,521878372,529117852,522062372,532504924,521059572
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0,0,0,0,0,0,0,0,0,0,0,0
