STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207695845 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1703295527,1446387865,,
CPU_CLK_UNHALTED_CORE,FIXC1,1157687538,1161023472,,
CPU_CLK_UNHALTED_REF,FIXC2,1708090676,1713012124,,
UOPS_RETIRED_USED_CYCLES,PMC0,704566123,614501329,,
UOPS_RETIRED_STALL_CYCLES,PMC1,453121415,546523289,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1157687538,1161024618,,
UOPS_RETIRED_STALL_CYCLES,PMC3,305489455,302870873,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3149683392,1446387865,1703295527,1574841696
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2318711010,1157687538,1161023472,1159355505
CPU_CLK_UNHALTED_REF STAT,FIXC2,3421102800,1708090676,1713012124,1710551400
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1319067452,614501329,704566123,659533726
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,999644704,453121415,546523289,499822352
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2318712156,1157687538,1161024618,1159356078
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,608360328,302870873,305489455,304180164
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.8752,0.8752,,,
Runtime unhalted [s],0.5244,0.5259,,,
Clock [MHz],1496.3034,1496.3039,,,
CPI,0.6797,0.8027,,,
Used cycles ratio [%],60.8598,52.9275,,,
Unused cycles ratio [%],39.1402,47.0725,,,
Avg stall duration [cycles],1.4833,1.8045,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.7504,0.8752,0.8752,0.8752,
Runtime unhalted [s] STAT,1.0503,0.5244,0.5259,0.5252,
Clock [MHz] STAT,2992.6073,1496.3034,1496.3039,1496.3037,
CPI STAT,1.4824,0.6797,0.8027,0.7412,
Used cycles ratio [%] STAT,113.7873,52.9275,60.8598,56.8937,
Unused cycles ratio [%] STAT,86.2127,39.1402,47.0725,43.1063,
Avg stall duration [cycles] STAT,3.2878,1.4833,1.8045,1.6439,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207695845 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1415087028,1438591797,,
CPU_CLK_UNHALTED_CORE,FIXC1,1035007345,1047506695,,
CPU_CLK_UNHALTED_REF,FIXC2,1527081964,1545524928,,
L2_LINES_IN_ALL,PMC0,1386,3295,,
L2_TRANS_L2_WB,PMC1,120,442,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,2853678825,1415087028,1438591797,1.426839e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2082514040,1035007345,1047506695,1041257020
CPU_CLK_UNHALTED_REF STAT,FIXC2,3072606892,1527081964,1545524928,1536303446
L2_LINES_IN_ALL STAT,PMC0,4681,1386,3295,2340.5000
L2_TRANS_L2_WB STAT,PMC1,562,120,442,281
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.7998,0.7998,,,
Runtime unhalted [s],0.4688,0.4745,,,
Clock [MHz],1496.3057,1496.3047,,,
CPI,0.7314,0.7281,,,
L3 load bandwidth [MBytes/s],0.1109,0.2637,,,
L3 load data volume [GBytes],0.0001,0.0002,,,
L3 evict bandwidth [MBytes/s],0.0096,0.0354,,,
L3 evict data volume [GBytes],7.680000e-06,2.828800e-05,,,
L3 bandwidth [MBytes/s],0.1205,0.2990,,,
L3 data volume [GBytes],0.0001,0.0002,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.5996,0.7998,0.7998,0.7998,
Runtime unhalted [s] STAT,0.9433,0.4688,0.4745,0.4717,
Clock [MHz] STAT,2992.6104,1496.3047,1496.3057,1496.3052,
CPI STAT,1.4595,0.7281,0.7314,0.7298,
L3 load bandwidth [MBytes/s] STAT,0.3746,0.1109,0.2637,0.1873,
L3 load data volume [GBytes] STAT,0.0003,0.0001,0.0002,0.0002,
L3 evict bandwidth [MBytes/s] STAT,0.0450,0.0096,0.0354,0.0225,
L3 evict data volume [GBytes] STAT,3.596800e-05,7.680000e-06,2.828800e-05,1.798400e-05,
L3 bandwidth [MBytes/s] STAT,0.4195,0.1205,0.2990,0.2097,
L3 data volume [GBytes] STAT,0.0003,0.0001,0.0002,0.0002,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207695845 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1415415440,1439040369,,
CPU_CLK_UNHALTED_CORE,FIXC1,1035259001,1047790801,,
CPU_CLK_UNHALTED_REF,FIXC2,1527453828,1545944540,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,516626715,525248571,,
MEM_INST_RETIRED_ALL_STORES,PMC1,512582523,521135199,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,2854455809,1415415440,1439040369,1.427228e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2083049802,1035259001,1047790801,1041524901
CPU_CLK_UNHALTED_REF STAT,FIXC2,3073398368,1527453828,1545944540,1536699184
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1041875286,516626715,525248571,520937643
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,1033717722,512582523,521135199,516858861
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.8002,0.8002,,,
Runtime unhalted [s],0.4689,0.4746,,,
Clock [MHz],1496.3051,1496.3043,,,
CPI,0.7314,0.7281,,,
Load to store ratio,1.0079,1.0079,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.6004,0.8002,0.8002,0.8002,
Runtime unhalted [s] STAT,0.9435,0.4689,0.4746,0.4718,
Clock [MHz] STAT,2992.6094,1496.3043,1496.3051,1496.3047,
