STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207988478 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3124223547,3017330029,2951835207,3196388844,3051721946,3057344109
CPU_CLK_UNHALTED_CORE,FIXC1,2386459690,2390952852,2381100511,2396877519,2402604752,2409347796
CPU_CLK_UNHALTED_REF,FIXC2,3106811756,3112658908,3099836592,3120375408,3127827960,3136610556
UOPS_RETIRED_USED_CYCLES,PMC0,1259283397,1220256803,1192843557,1283850428,1280869182,1283142961
UOPS_RETIRED_STALL_CYCLES,PMC1,1127176293,1170696049,1188256954,1113027091,1121735570,1126204835
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2386459690,2390952852,2381100511,2396877519,2402604752,2409347796
UOPS_RETIRED_STALL_CYCLES,PMC3,501675985,510818659,487333488,483086444,615982175,616195441
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,18398843682,2951835207,3196388844,3066473947,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14367343120,2381100511,2409347796,2.394557e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,18704121180,3099836592,3136610556,3117353530,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7520246328,1192843557,1283850428,1253374388,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,6847096792,1113027091,1188256954,1.141183e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14367343120,2381100511,2409347796,2.394557e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,3215092192,483086444,616195441,5.358487e+08,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.4971,1.4971,1.4971,1.4971,1.4971,1.4971,
Runtime unhalted [s],1.0808,1.0829,1.0784,1.0855,1.0881,1.0912,
Clock [MHz],1696.0395,1696.0407,1696.0386,1696.0389,1696.0407,1696.0385,
CPI,0.7639,0.7924,0.8067,0.7499,0.7873,0.7881,
Used cycles ratio [%],52.7678,51.0364,50.0963,53.5635,53.3117,53.2569,
Unused cycles ratio [%],47.2322,48.9636,49.9037,46.4365,46.6883,46.7431,
Avg stall duration [cycles],2.2468,2.2918,2.4383,2.3040,1.8211,1.8277,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,8.9826,1.4971,1.4971,1.4971,,,
Runtime unhalted [s] STAT,6.5069,1.0784,1.0912,1.0845,,,
Clock [MHz] STAT,10176.2369,1696.0385,1696.0407,1696.0395,,,
CPI STAT,4.6883,0.7499,0.8067,0.7814,,,
Used cycles ratio [%] STAT,314.0326,50.0963,53.5635,52.3388,,,
Unused cycles ratio [%] STAT,285.9674,46.4365,49.9037,47.6612,,,
Avg stall duration [cycles] STAT,12.9297,1.8211,2.4383,2.1549,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207988478 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3116921040,3024562721,2951816259,3189345029,3039158481,3041120829
CPU_CLK_UNHALTED_CORE,FIXC1,2381432236,2384812668,2373468976,2388574517,2392868328,2395567026
CPU_CLK_UNHALTED_REF,FIXC2,3100266416,3104698240,3089916600,3109582152,3115152108,3118670740
L2_LINES_IN_ALL,PMC0,10900569,7987224,8359685,10538807,1084,1154
L2_TRANS_L2_WB,PMC1,69,88,448,329,25,49
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,18362924359,2951816259,3189345029,3.060487e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14316723751,2373468976,2395567026,2.386121e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,18638286256,3089916600,3118670740,3.106381e+09,,
L2_LINES_IN_ALL STAT,PMC0,37788523,1084,10900569,6.298087e+06,,
L2_TRANS_L2_WB STAT,PMC1,1008,25,448,168,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.4952,1.4952,1.4952,1.4952,1.4952,1.4952,
Runtime unhalted [s],1.0786,1.0801,1.0749,1.0818,1.0837,1.0850,
Clock [MHz],1696.0397,1696.0228,1696.0303,1696.0301,1696.0410,1696.0381,
CPI,0.7640,0.7885,0.8041,0.7489,0.7873,0.7877,
L3 load bandwidth [MBytes/s],466.5851,341.8831,357.8258,451.1004,0.0464,0.0494,
L3 load data volume [GBytes],0.6976,0.5112,0.5350,0.6745,0.0001,0.0001,
L3 evict bandwidth [MBytes/s],0.0030,0.0038,0.0192,0.0141,0.0011,0.0021,
L3 evict data volume [GBytes],4.416000e-06,5.632000e-06,2.867200e-05,2.105600e-05,1.600000e-06,3.136000e-06,
L3 bandwidth [MBytes/s],466.5881,341.8868,357.8450,451.1144,0.0475,0.0515,
L3 data volume [GBytes],0.6976,0.5112,0.5350,0.6745,0.0001,0.0001,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,8.9712,1.4952,1.4952,1.4952,,,
Runtime unhalted [s] STAT,6.4841,1.0749,1.0850,1.0807,,,
Clock [MHz] STAT,10176.2020,1696.0228,1696.0410,1696.0337,,,
CPI STAT,4.6805,0.7489,0.8041,0.7801,,,
L3 load bandwidth [MBytes/s] STAT,1617.4902,0.0464,466.5851,269.5817,,,
L3 load data volume [GBytes] STAT,2.4185,0.0001,0.6976,0.4031,,,
L3 evict bandwidth [MBytes/s] STAT,0.0433,0.0011,0.0192,0.0072,,,
L3 evict data volume [GBytes] STAT,0.0001,1.600000e-06,2.867200e-05,1.075200e-05,,,
L3 bandwidth [MBytes/s] STAT,1617.5333,0.0475,466.5881,269.5889,,,
L3 data volume [GBytes] STAT,2.4185,0.0001,0.6976,0.4031,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207988478 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
