STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208586028 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,472622066,593415380,629340661,481070743,502059315,504363552
CPU_CLK_UNHALTED_CORE,FIXC1,405120454,395545775,404640717,405403361,406523561,407577198
CPU_CLK_UNHALTED_REF,FIXC2,896591980,875396468,895527908,897214728,899693944,902024212
UOPS_RETIRED_USED_CYCLES,PMC0,172762361,213023673,227309893,174946687,184262306,183477547
UOPS_RETIRED_STALL_CYCLES,PMC1,232358093,182522102,177330824,230456674,222261255,224099651
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,405120454,395545775,404640717,405403361,406523561,407577198
UOPS_RETIRED_STALL_CYCLES,PMC3,14916454,16452262,19613324,11871419,12557256,15074070
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,3182871717,472622066,629340661,5.304786e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2424811066,395545775,407577198,4.041352e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,5366449240,875396468,902024212,8.944082e+08,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1155782467,172762361,227309893,1.926304e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1269028599,177330824,232358093,2.115048e+08,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2424811066,395545775,407577198,4.041352e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,90484785,11871419,19613324,1.508080e+07,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.4991,0.4991,0.4991,0.4991,0.4991,0.4991,
Runtime unhalted [s],0.1834,0.1791,0.1832,0.1836,0.1841,0.1845,
Clock [MHz],997.9382,997.9443,997.9408,997.9419,997.9419,997.9436,
CPI,0.8572,0.6666,0.6430,0.8427,0.8097,0.8081,
Used cycles ratio [%],42.6447,53.8556,56.1757,43.1537,45.3264,45.0166,
Unused cycles ratio [%],57.3553,46.1444,43.8243,56.8463,54.6736,54.9834,
Avg stall duration [cycles],15.5773,11.0940,9.0413,19.4127,17.6998,14.8666,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,2.9946,0.4991,0.4991,0.4991,,,
Runtime unhalted [s] STAT,1.0979,0.1791,0.1845,0.1830,,,
Clock [MHz] STAT,5987.6507,997.9382,997.9443,997.9418,,,
CPI STAT,4.6273,0.6430,0.8572,0.7712,,,
Used cycles ratio [%] STAT,286.1727,42.6447,56.1757,47.6955,,,
Unused cycles ratio [%] STAT,313.8273,43.8243,57.3553,52.3046,,,
Avg stall duration [cycles] STAT,87.6917,9.0413,19.4127,14.6153,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208586028 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,484562237,569787720,624793417,479902010,501751083,500156253
CPU_CLK_UNHALTED_CORE,FIXC1,401038293,390157412,402924437,403411161,404179658,404934383
CPU_CLK_UNHALTED_REF,FIXC2,887555648,863471980,891728952,892805812,894506064,896175956
L2_LINES_IN_ALL,PMC0,4760862,9257203,8293897,2700502,2182944,2151703
L2_TRANS_L2_WB,PMC1,201,4177,153,26,51,57
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,3160952720,479902010,624793417,5.268255e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2406645344,390157412,404934383,4.011076e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,5326244412,863471980,896175956,887707402,,
L2_LINES_IN_ALL STAT,PMC0,29347111,2151703,9257203,4.891185e+06,,
L2_TRANS_L2_WB STAT,PMC1,4665,26,4177,777.5000,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.4970,0.4970,0.4970,0.4970,0.4970,0.4970,
Runtime unhalted [s],0.1816,0.1767,0.1824,0.1827,0.1830,0.1833,
Clock [MHz],997.9403,997.9435,997.9414,997.9418,997.9424,997.9429,
CPI,0.8276,0.6847,0.6449,0.8406,0.8055,0.8096,
L3 load bandwidth [MBytes/s],613.0710,1192.0788,1068.0309,347.7520,281.1045,277.0815,
L3 load data volume [GBytes],0.3047,0.5925,0.5308,0.1728,0.1397,0.1377,
L3 evict bandwidth [MBytes/s],0.0259,0.5379,0.0197,0.0033,0.0066,0.0073,
L3 evict data volume [GBytes],1.286400e-05,0.0003,9.792000e-06,1.664000e-06,3.264000e-06,3.648000e-06,
L3 bandwidth [MBytes/s],613.0969,1192.6167,1068.0506,347.7554,281.1111,277.0888,
L3 data volume [GBytes],0.3047,0.5927,0.5308,0.1728,0.1397,0.1377,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,2.9820,0.4970,0.4970,0.4970,,,
Runtime unhalted [s] STAT,1.0897,0.1767,0.1833,0.1816,,,
Clock [MHz] STAT,5987.6523,997.9403,997.9435,997.9421,,,
CPI STAT,4.6129,0.6449,0.8406,0.7688,,,
L3 load bandwidth [MBytes/s] STAT,3779.1187,277.0815,1192.0788,629.8531,,,
L3 load data volume [GBytes] STAT,1.8782,0.1377,0.5925,0.3130,,,
L3 evict bandwidth [MBytes/s] STAT,0.6007,0.0033,0.5379,0.1001,,,
L3 evict data volume [GBytes] STAT,0.0003,1.664000e-06,0.0003,0.0001,,,
L3 bandwidth [MBytes/s] STAT,3779.7195,277.0888,1192.6167,629.9533,,,
L3 data volume [GBytes] STAT,1.8784,0.1377,0.5927,0.3131,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208586028 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,455115838,558716803,618095548,470682768,487549075,498444219
CPU_CLK_UNHALTED_CORE,FIXC1,401489980,394340838,403317716,403713053,404562076,405339431
