STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208039946 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1482982835,1488408798,1492764171,1500010846,1501961474,1536159198,1511619021,1517453768,1520321792,1525126871,1528754336,1893188143
CPU_CLK_UNHALTED_CORE,FIXC1,1217643360,1221439496,1225083300,1232062784,1227228017,1235124336,1239528411,1243251458,1246838530,1250280526,1253735614,1218045148
CPU_CLK_UNHALTED_REF,FIXC2,1585208116,1590131404,1594872992,1603960476,1597667952,1607947388,1613679080,1618526376,1623198228,1627677248,1632175680,1585713748
UOPS_RETIRED_USED_CYCLES,PMC0,603684453,618495003,598375210,622968373,620217448,629395456,617992660,632175236,611815575,633291227,632550860,754311316
UOPS_RETIRED_STALL_CYCLES,PMC1,613959591,602944493,626708090,609094411,607010569,605728880,621535751,611076222,635022955,616989299,621184754,463733832
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1217644044,1221439496,1225083300,1232062784,1227228017,1235124336,1239528411,1243251458,1246838530,1250280526,1253735614,1218045148
UOPS_RETIRED_STALL_CYCLES,PMC3,196013266,228126510,156044880,226420433,213911542,205636771,207974887,234025956,161797442,231461520,223355790,211938076
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,18498751253,1482982835,1893188143,1.541563e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14810260980,1217643360,1253735614,1234188415,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,19280758688,1585208116,1632175680,1.606730e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7575272817,598375210,754311316,6.312727e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,7234988847,463733832,635022955,6.029157e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14810261664,1217644044,1253735614,1234188472,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2496707073,156044880,234025956,2.080589e+08,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,0.7991,
Runtime unhalted [s],0.5515,0.5532,0.5548,0.5580,0.5558,0.5594,0.5614,0.5631,0.5647,0.5662,0.5678,0.5516,
Clock [MHz],1696.0582,1696.0782,1696.0804,1696.0791,1696.0774,1696.0778,1696.0796,1696.0792,1696.0771,1696.0791,1696.0786,1696.0768,
CPI,0.8211,0.8206,0.8207,0.8214,0.8171,0.8040,0.8200,0.8193,0.8201,0.8198,0.8201,0.6434,
Used cycles ratio [%],49.5781,50.6366,48.8436,50.5630,50.5381,50.9581,49.8571,50.8485,49.0694,50.6519,50.4533,61.9280,
Unused cycles ratio [%],50.4219,49.3634,51.1564,49.4370,49.4619,49.0419,50.1429,49.1515,50.9306,49.3481,49.5467,38.0720,
Avg stall duration [cycles],3.1322,2.6430,4.0162,2.6901,2.8377,2.9456,2.9885,2.6111,3.9248,2.6656,2.7811,2.1881,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,9.5892,0.7991,0.7991,0.7991,,,,,,,,,
Runtime unhalted [s] STAT,6.7075,0.5515,0.5678,0.5590,,,,,,,,,
Clock [MHz] STAT,20352.9215,1696.0582,1696.0804,1696.0768,,,,,,,,,
CPI STAT,9.6476,0.6434,0.8214,0.8040,,,,,,,,,
Used cycles ratio [%] STAT,613.9257,48.8436,61.9280,51.1605,,,,,,,,,
Unused cycles ratio [%] STAT,586.0743,38.0720,51.1564,48.8395,,,,,,,,,
Avg stall duration [cycles] STAT,35.4240,2.1881,4.0162,2.9520,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208039946 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1461917093,1415632882,1469283472,1473249091,1479206954,1499003485,1482238329,1496295530,1491537425,1513159272,1495343724,1481192060
CPU_CLK_UNHALTED_CORE,FIXC1,1047644591,1013916363,1052695423,1055417667,1056598731,1060018749,1062057874,1064643818,1068452453,1084812632,1072945440,1047582291
CPU_CLK_UNHALTED_REF,FIXC2,1363876448,1319967424,1370450952,1373995068,1375532388,1379985188,1382639020,1386006496,1390967320,1412263940,1396814932,1363814256
L2_LINES_IN_ALL,PMC0,21729,10822,9962,6631,91961,19340,10403,13169,34606,364917,68899,171113
L2_TRANS_L2_WB,PMC1,2255,483,272,510,19813,2200,857,405,8703,45704,11373,15822
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,17758059317,1415632882,1513159272,1.479838e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12686786032,1013916363,1084812632,1.057232e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,16516313432,1319967424,1412263940,1.376359e+09,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,823552,6631,364917,68629.3333,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,108397,272,45704,9033.0833,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,0.7022,
Runtime unhalted [s],0.4745,0.4592,0.4768,0.4780,0.4785,0.4801,0.4810,0.4822,0.4839,0.4913,0.4859,0.4744,
Clock [MHz],1696.0782,1696.0781,1696.0793,1696.0791,1696.0794,1696.0789,1696.0799,1696.0787,1696.0756,1696.0779,1696.0775,1696.0547,
CPI,0.7166,0.7162,0.7165,0.7164,0.7143,0.7071,0.7165,0.7115,0.7163,0.7169,0.7175,0.7073,
L3 load bandwidth [MBytes/s],1.9805,0.9864,0.9080,0.6044,8.3819,1.7628,0.9482,1.2003,3.1542,33.2607,6.2799,15.5963,
L3 load data volume [GBytes],0.0014,0.0007,0.0006,0.0004,0.0059,0.0012,0.0007,0.0008,0.0022,0.0234,0.0044,0.0110,
L3 evict bandwidth [MBytes/s],0.2055,0.0440,0.0248,0.0465,1.8059,0.2005,0.0781,0.0369,0.7932,4.1657,1.0366,1.4421,
L3 evict data volume [GBytes],0.0001,3.091200e-05,1.740800e-05,3.264000e-05,0.0013,0.0001,0.0001,2.592000e-05,0.0006,0.0029,0.0007,0.0010,
L3 bandwidth [MBytes/s],2.1860,1.0304,0.9328,0.6509,10.1878,1.9633,1.0263,1.2372,3.9474,37.4265,7.3165,17.0384,
L3 data volume [GBytes],0.0015,0.0007,0.0007,0.0005,0.0072,0.0014,0.0007,0.0009,0.0028,0.0263,0.0051,0.0120,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,8.4264,0.7022,0.7022,0.7022,,,,,,,,,
Runtime unhalted [s] STAT,5.7458,0.4592,0.4913,0.4788,,,,,,,,,
Clock [MHz] STAT,20352.9173,1696.0547,1696.0799,1696.0764,,,,,,,,,
CPI STAT,8.5731,0.7071,0.7175,0.7144,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,75.0636,0.6044,33.2607,6.2553,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0527,0.0004,0.0234,0.0044,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,9.8798,0.0248,4.1657,0.8233,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0069,1.740800e-05,0.0029,0.0006,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,84.9435,0.6509,37.4265,7.0786,,,,,,,,,
L3 data volume [GBytes] STAT,0.0598,0.0005,0.0263,0.0050,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208039946 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1461326677,1419824625,1464539467,1467015600,1469653909,1481345248,1473686181,1482300641,1477634574,1480250787,1480893887,1473877565
CPU_CLK_UNHALTED_CORE,FIXC1,1038308700,994650730,1040089780,1041390575,1042883288,1044461514,1045966113,1047253450,1048630903,1050091324,1050889537,1047869142
CPU_CLK_UNHALTED_REF,FIXC2,1351723892,1294889604,1354042200,1355733344,1357678132,1359732216,1361692368,1363365296,1365163712,1367060844,1368099340,1364165420
MEM_INST_RETIRED_ALL_LOADS,PMC0,542772123,526592871,543965224,544891368,545871350,550213428,547369046,545953892,548835587,549807333,550029530,547377778
MEM_INST_RETIRED_ALL_STORES,PMC1,518900493,502597478,520040939,520939346,521876168,526026987,523308043,518239518,524710120,525639140,525834494,523209112
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,17632349161,1419824625,1482300641,1.469362e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,12492485056,994650730,1050889537,1.041040e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,16263346368,1294889604,1368099340,1355278864,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,6543679530,526592871,550213428,5.453066e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,6251321838,502597478,526026987,5.209435e+08,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,0.6976,
Runtime unhalted [s],0.4702,0.4505,0.4710,0.4716,0.4723,0.4730,0.4737,0.4743,0.4749,0.4756,0.4759,0.4746,
Clock [MHz],1696.0765,1696.0740,1696.0770,1696.0798,1696.0780,1696.0786,1696.0769,1696.0806,1696.0742,1696.0793,1696.0801,1696.0824,
CPI,0.7105,0.7005,0.7102,0.7099,0.7096,0.7051,0.7098,0.7065,0.7097,0.7094,0.7096,0.7110,
Load to store ratio,1.0460,1.0477,1.0460,1.0460,1.0460,1.0460,1.0460,1.0535,1.0460,1.0460,1.0460,1.0462,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,8.3712,0.6976,0.6976,0.6976,,,,,,,,,
Runtime unhalted [s] STAT,5.6576,0.4505,0.4759,0.4715,,,,,,,,,
Clock [MHz] STAT,20352.9374,1696.0740,1696.0824,1696.0781,,,,,,,,,
CPI STAT,8.5018,0.7005,0.7110,0.7085,,,,,,,,,
Load to store ratio STAT,12.5614,1.0460,1.0535,1.0468,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208039946 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1460209217,1464568349,1464146417,1477685176,1468663058,1478380874,1468033190,1461475596,1470077971,1462463910,1471719477,1465229508
CPU_CLK_UNHALTED_CORE,FIXC1,1038386045,1038347642,1039667061,1039912905,1040989465,1041665818,1042586360,1037809786,1043375582,1043689775,1044459253,1041628500
