STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207637826 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,0,0,,
CPU_CLK_UNHALTED_CORE,FIXC1,0,0,,
CPU_CLK_UNHALTED_REF,FIXC2,0,0,,
UOPS_RETIRED_USED_CYCLES,PMC0,0,0,,
UOPS_RETIRED_STALL_CYCLES,PMC1,0,0,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,0,0,,
UOPS_RETIRED_STALL_CYCLES,PMC3,0,0,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,0,0,0,0
CPU_CLK_UNHALTED_CORE STAT,FIXC1,0,0,0,0
CPU_CLK_UNHALTED_REF STAT,FIXC2,0,0,0,0
UOPS_RETIRED_USED_CYCLES STAT,PMC0,0,0,0,0
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,0,0,0,0
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,0,0,0,0
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,0,0,0,0
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],2.278544e-05,2.278544e-05,,,
Runtime unhalted [s],0,0,,,
Clock [MHz],-,-,,,
CPI,-,-,,,
Used cycles ratio [%],-,-,,,
Unused cycles ratio [%],-,-,,,
Avg stall duration [cycles],-,-,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,4.557088e-05,2.278544e-05,2.278544e-05,2.278544e-05,
Runtime unhalted [s] STAT,0,0,0,0,
Clock [MHz] STAT,0,inf,0,0,
CPI STAT,0,inf,0,0,
Used cycles ratio [%] STAT,0,inf,0,0,
Unused cycles ratio [%] STAT,0,inf,0,0,
Avg stall duration [cycles] STAT,0,inf,0,0,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207637826 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,0,0,,
CPU_CLK_UNHALTED_CORE,FIXC1,0,0,,
CPU_CLK_UNHALTED_REF,FIXC2,0,0,,
L2_LINES_IN_ALL,PMC0,0,0,,
L2_TRANS_L2_WB,PMC1,0,0,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,0,0,0,0
CPU_CLK_UNHALTED_CORE STAT,FIXC1,0,0,0,0
CPU_CLK_UNHALTED_REF STAT,FIXC2,0,0,0,0
L2_LINES_IN_ALL STAT,PMC0,0,0,0,0
L2_TRANS_L2_WB STAT,PMC1,0,0,0,0
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0,0,,,
Runtime unhalted [s],0,0,,,
Clock [MHz],-,-,,,
CPI,-,-,,,
L3 load bandwidth [MBytes/s],-,-,,,
L3 load data volume [GBytes],0,0,,,
L3 evict bandwidth [MBytes/s],-,-,,,
L3 evict data volume [GBytes],0,0,,,
L3 bandwidth [MBytes/s],-,-,,,
L3 data volume [GBytes],0,0,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,0,0,0,0,
Runtime unhalted [s] STAT,0,0,0,0,
Clock [MHz] STAT,0,inf,0,0,
CPI STAT,0,inf,0,0,
L3 load bandwidth [MBytes/s] STAT,0,inf,0,0,
L3 load data volume [GBytes] STAT,0,0,0,0,
L3 evict bandwidth [MBytes/s] STAT,0,inf,0,0,
L3 evict data volume [GBytes] STAT,0,0,0,0,
L3 bandwidth [MBytes/s] STAT,0,inf,0,0,
L3 data volume [GBytes] STAT,0,0,0,0,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207637826 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,0,0,,
CPU_CLK_UNHALTED_CORE,FIXC1,0,0,,
CPU_CLK_UNHALTED_REF,FIXC2,0,0,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,0,0,,
MEM_INST_RETIRED_ALL_STORES,PMC1,0,0,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,0,0,0,0
CPU_CLK_UNHALTED_CORE STAT,FIXC1,0,0,0,0
CPU_CLK_UNHALTED_REF STAT,FIXC2,0,0,0,0
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,0,0,0,0
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,0,0,0,0
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0,0,,,
Runtime unhalted [s],0,0,,,
Clock [MHz],-,-,,,
CPI,-,-,,,
Load to store ratio,-,-,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,0,0,0,0,
Runtime unhalted [s] STAT,0,0,0,0,
Clock [MHz] STAT,0,inf,0,0,
CPI STAT,0,inf,0,0,
Load to store ratio STAT,0,inf,0,0,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207637826 GHz,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,0,0,,
CPU_CLK_UNHALTED_CORE,FIXC1,0,0,,
CPU_CLK_UNHALTED_REF,FIXC2,0,0,,
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0,0,,
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0,0,,
TABLE,Group 4 Raw STAT,FLOPS_AVX,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,0,0,0,0
CPU_CLK_UNHALTED_CORE STAT,FIXC1,0,0,0,0
CPU_CLK_UNHALTED_REF STAT,FIXC2,0,0,0,0
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE STAT,PMC0,0,0,0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE STAT,PMC1,0,0,0,0
TABLE,Group 4 Metric,FLOPS_AVX,6,,
