STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1660943199
CPU_CLK_UNHALTED_CORE,FIXC1,1347388830
CPU_CLK_UNHALTED_REF,FIXC2,1987978780
UOPS_RETIRED_USED_CYCLES,PMC0,529208172
UOPS_RETIRED_STALL_CYCLES,PMC1,818180658
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1347388830
UOPS_RETIRED_STALL_CYCLES,PMC3,93497153
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0010,
Runtime unhalted [s],0.6103,
Clock [MHz],1496.2494,
CPI,0.8112,
Used cycles ratio [%],39.2766,
Unused cycles ratio [%],60.7234,
Avg stall duration [cycles],8.7509,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1644815929
CPU_CLK_UNHALTED_CORE,FIXC1,1331517406
CPU_CLK_UNHALTED_REF,FIXC2,1964562388
L2_LINES_IN_ALL,PMC0,149946122
L2_TRANS_L2_WB,PMC1,149119469
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],1.0007,
Runtime unhalted [s],0.6031,
Clock [MHz],1496.2488,
CPI,0.8095,
L3 load bandwidth [MBytes/s],9589.9265,
L3 load data volume [GBytes],9.5966,
L3 evict bandwidth [MBytes/s],9537.0572,
L3 evict data volume [GBytes],9.5436,
L3 bandwidth [MBytes/s],19126.9837,
L3 data volume [GBytes],19.1402,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1653120906
CPU_CLK_UNHALTED_CORE,FIXC1,1340625679
CPU_CLK_UNHALTED_REF,FIXC2,1977999080
MEM_INST_RETIRED_ALL_LOADS,PMC0,601121316
MEM_INST_RETIRED_ALL_STORES,PMC1,601116997
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6073,
Clock [MHz],1496.2503,
CPI,0.8110,
Load to store ratio,1.0000,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1650448279
CPU_CLK_UNHALTED_CORE,FIXC1,1334850881
CPU_CLK_UNHALTED_REF,FIXC2,1969480156
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.2493,
CPI,0.8088,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1647369709
CPU_CLK_UNHALTED_CORE,FIXC1,1334837260
CPU_CLK_UNHALTED_REF,FIXC2,1969458444
L2_TRANS_ALL_REQUESTS,PMC0,773815382
L2_RQSTS_MISS,PMC1,248404644
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0002,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.2505,
CPI,0.8103,
L2 request rate,0.4697,
L2 miss rate,0.1508,
L2 miss ratio,0.3210,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1649468130
CPU_CLK_UNHALTED_CORE,FIXC1,1334897970
CPU_CLK_UNHALTED_REF,FIXC2,1969548604
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,653765378
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,1310570808
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,1111614209
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,425918877
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.2500,
CPI,0.8093,
Cycles without execution [%],31.9065,
Cycles without execution due to L1D [%],83.2733,
Cycles without execution due to L2 [%],48.9749,
Cycles without execution due to memory loads [%],98.1776,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1649851390
CPU_CLK_UNHALTED_CORE,FIXC1,1334874031
CPU_CLK_UNHALTED_REF,FIXC2,1969513368
ITLB_MISSES_CAUSES_A_WALK,PMC0,469
ITLB_MISSES_WALK_ACTIVE,PMC1,51218
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0006,
Runtime unhalted [s],0.6047,
Clock [MHz],1496.2500,
CPI,0.8091,
L1 ITLB misses,469,
L1 ITLB miss rate,2.842680e-07,
L1 ITLB miss duration [Cyc],109.2068,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207612292 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1638449953
CPU_CLK_UNHALTED_CORE,FIXC1,1325853004
CPU_CLK_UNHALTED_REF,FIXC2,1956203636
DRAM_READS,MBOX0C1,157494945
DRAM_WRITES,MBOX0C2,74705585
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],1.0013,
Runtime unhalted [s],0.6006,
Clock [MHz],1496.2498,
CPI,0.8092,
Memory load bandwidth [MBytes/s],10066.3833,
Memory load data volume [GBytes],10.0797,
Memory evict bandwidth [MBytes/s],4774.8520,
