STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208017438 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,4783661594,4796570873,,
CPU_CLK_UNHALTED_CORE,FIXC1,7451708428,7460041415,,
CPU_CLK_UNHALTED_REF,FIXC2,7496241788,7505151344,,
UOPS_RETIRED_USED_CYCLES,PMC0,1743081725,1743266789,,
UOPS_RETIRED_STALL_CYCLES,PMC1,5708626703,5716774626,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,7451708428,7460041415,,
UOPS_RETIRED_STALL_CYCLES,PMC3,545299511,543913412,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,9580232467,4783661594,4796570873,4.790116e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14911749843,7451708428,7460041415,7.455875e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,15001393132,7496241788,7505151344,7500696566
UOPS_RETIRED_USED_CYCLES STAT,PMC0,3486348514,1743081725,1743266789,1743174257
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,11425401329,5708626703,5716774626,5.712701e+09
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14911749843,7451708428,7460041415,7.455875e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,1089212923,543913412,545299511,5.446065e+08
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.4997,3.4997,,,
Runtime unhalted [s],3.3748,3.3786,,,
Clock [MHz],2194.9001,2194.7461,,,
CPI,1.5577,1.5553,,,
Used cycles ratio [%],23.3917,23.3681,,,
Unused cycles ratio [%],76.6083,76.6319,,,
Avg stall duration [cycles],10.4688,10.5104,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.9994,3.4997,3.4997,3.4997,
Runtime unhalted [s] STAT,6.7534,3.3748,3.3786,3.3767,
Clock [MHz] STAT,4389.6462,2194.7461,2194.9001,2194.8231,
CPI STAT,3.1130,1.5553,1.5577,1.5565,
Used cycles ratio [%] STAT,46.7598,23.3681,23.3917,23.3799,
Unused cycles ratio [%] STAT,153.2402,76.6083,76.6319,76.6201,
Avg stall duration [cycles] STAT,20.9792,10.4688,10.5104,10.4896,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208017438 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,4781989623,4791277013,,
CPU_CLK_UNHALTED_CORE,FIXC1,7450230357,7454233540,,
CPU_CLK_UNHALTED_REF,FIXC2,7494743292,7498811440,,
L2_LINES_IN_ALL,PMC0,436156695,437031036,,
L2_TRANS_L2_WB,PMC1,427142017,428006204,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,9573266636,4781989623,4791277013,4786633318
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14904463897,7450230357,7454233540,7.452232e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,14993554732,7494743292,7498811440,7496777366
L2_LINES_IN_ALL STAT,PMC0,873187731,436156695,437031036,4.365939e+08
L2_TRANS_L2_WB STAT,PMC1,855148221,427142017,428006204,4.275741e+08
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.4989,3.4989,,,
Runtime unhalted [s],3.3742,3.3760,,,
Clock [MHz],2194.9035,2194.8915,,,
CPI,1.5580,1.5558,,,
L3 load bandwidth [MBytes/s],7977.9064,7993.8993,,,
L3 load data volume [GBytes],27.9140,27.9700,,,
L3 evict bandwidth [MBytes/s],7813.0155,7828.8227,,,
L3 evict data volume [GBytes],27.3371,27.3924,,,
L3 bandwidth [MBytes/s],15790.9219,15822.7220,,,
L3 data volume [GBytes],55.2511,55.3624,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.9978,3.4989,3.4989,3.4989,
Runtime unhalted [s] STAT,6.7502,3.3742,3.3760,3.3751,
Clock [MHz] STAT,4389.7950,2194.8915,2194.9035,2194.8975,
CPI STAT,3.1138,1.5558,1.5580,1.5569,
L3 load bandwidth [MBytes/s] STAT,15971.8057,7977.9064,7993.8993,7985.9029,
L3 load data volume [GBytes] STAT,55.8840,27.9140,27.9700,27.9420,
L3 evict bandwidth [MBytes/s] STAT,15641.8382,7813.0155,7828.8227,7820.9191,
L3 evict data volume [GBytes] STAT,54.7295,27.3371,27.3924,27.3648,
L3 bandwidth [MBytes/s] STAT,31613.6439,15790.9219,15822.7220,15806.8219,
L3 data volume [GBytes] STAT,110.6135,55.2511,55.3624,55.3068,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208017438 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,4782755783,4792417687,,
CPU_CLK_UNHALTED_CORE,FIXC1,7451823499,7455586252,,
CPU_CLK_UNHALTED_REF,FIXC2,7496344920,7500209748,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,1739160263,1742667434,,
MEM_INST_RETIRED_ALL_STORES,PMC1,1739183433,1742693928,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,9575173470,4782755783,4792417687,4787586735
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14907409751,7451823499,7455586252,7.453705e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,14996554668,7496344920,7500209748,7498277334
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,3481827697,1739160263,1742667434,1.740914e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,3481877361,1739183433,1742693928,1.740939e+09
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.4996,3.4996,,,
Runtime unhalted [s],3.3749,3.3766,,,
Clock [MHz],2194.9038,2194.8805,,,
CPI,1.5581,1.5557,,,
Load to store ratio,1.0000,1.0000,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.9992,3.4996,3.4996,3.4996,
