STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208223413 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,128434989,134701206,137977272,139736517,141620974,141294050,142749905,142723098,146071412,145577076,144188110,141734627
CPU_CLK_UNHALTED_CORE,FIXC1,1121559810,1173554125,1197832681,1212269471,1217123799,1221025194,1226636956,1230630529,1243178458,1253933957,1246725304,1234624557
CPU_CLK_UNHALTED_REF,FIXC2,1128259112,1180637840,1204999440,1219510048,1224398376,1228318772,1233964076,1238151088,1251314724,1261425800,1254169300,1241998344
UOPS_RETIRED_USED_CYCLES,PMC0,44910557,47199397,48357602,49207306,49921006,49701879,50053411,50144966,51678910,51201030,50882539,50317929
UOPS_RETIRED_STALL_CYCLES,PMC1,1076649253,1126354728,1149475079,1163062165,1167202793,1171323315,1176583545,1180485563,1191499548,1202732927,1195842765,1184306628
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1121559810,1173554125,1197832681,1212269471,1217123799,1221025194,1226636956,1230630529,1243178458,1253933957,1246725304,1234624557
UOPS_RETIRED_STALL_CYCLES,PMC3,10902392,11485483,11755465,12018704,12222401,12086775,12166166,12207723,12571440,12463198,12405822,12363441
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,1686809236,128434989,146071412,1.405674e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14579094841,1121559810,1253933957,1.214925e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,14667146920,1128259112,1261425800,1.222262e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,593576532,44910557,51678910,49464711,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,13985518309,1076649253,1202732927,1.165460e+09,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14579094841,1121559810,1253933957,1.214925e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,144649010,10902392,12571440,1.205408e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,0.5990,
Runtime unhalted [s],0.5079,0.5314,0.5424,0.5490,0.5512,0.5529,0.5555,0.5573,0.5630,0.5678,0.5646,0.5591,
Clock [MHz],2195.1116,2194.9743,2195.0900,2195.1126,2195.1036,2195.1113,2195.1113,2194.8106,2193.8652,2195.1084,2195.1167,2195.1131,
CPI,8.7325,8.7123,8.6814,8.6754,8.5942,8.6417,8.5929,8.6225,8.5108,8.6135,8.6465,8.7108,
Used cycles ratio [%],4.0043,4.0219,4.0371,4.0591,4.1016,4.0705,4.0805,4.0747,4.1570,4.0832,4.0813,4.0756,
Unused cycles ratio [%],95.9957,95.9781,95.9629,95.9409,95.8984,95.9295,95.9195,95.9253,95.8430,95.9168,95.9187,95.9244,
Avg stall duration [cycles],98.7535,98.0677,97.7822,96.7710,95.4970,96.9095,96.7095,96.6999,94.7783,96.5028,96.3937,95.7910,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,7.1880,0.5990,0.5990,0.5990,,,,,,,,,
Runtime unhalted [s] STAT,6.6021,0.5079,0.5678,0.5502,,,,,,,,,
Clock [MHz] STAT,26339.6287,2193.8652,2195.1167,2194.9691,,,,,,,,,
CPI STAT,103.7345,8.5108,8.7325,8.6445,,,,,,,,,
Used cycles ratio [%] STAT,48.8468,4.0043,4.1570,4.0706,,,,,,,,,
Unused cycles ratio [%] STAT,1151.1532,95.8430,95.9957,95.9294,,,,,,,,,
Avg stall duration [cycles] STAT,1160.6561,94.7783,98.7535,96.7213,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208223413 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,128461231,127493414,129866406,130234648,122734087,131619944,132662563,133251475,132204227,133214489,138782357,131412795
CPU_CLK_UNHALTED_CORE,FIXC1,1115421212,1108288850,1127010930,1130636836,979931950,1137749398,1141102018,1144493397,1140808042,1150285119,1146400198,1138928164
CPU_CLK_UNHALTED_REF,FIXC2,1122179844,1114910464,1133744612,1137392412,985792604,1144547988,1147919604,1151374112,1147634588,1157158428,1153274648,1145730280
L2_LINES_IN_ALL,PMC0,11699006,11626189,11844217,11876078,10260999,12003210,12098929,12150030,12048529,12147929,12650991,11973964
L2_TRANS_L2_WB,PMC1,11592868,11530890,11731142,11781190,10048590,11861295,11973433,12017475,11934781,12041539,12129797,11849697
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,1571937636,122734087,138782357,130994803,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13461056114,979931950,1150285119,1.121755e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,13541659584,985792604,1157158428,1128471632,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,142380071,10260999,12650991,1.186501e+07,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,140492697,10048590,12129797,1.170772e+07,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,
Runtime unhalted [s],0.5051,0.5019,0.5104,0.5120,0.4438,0.5152,0.5168,0.5183,0.5166,0.5209,0.5192,0.5158,
Clock [MHz],2194.9238,2195.1085,2195.1080,2195.1076,2195.0953,2195.1066,2195.1086,2195.0269,2195.0881,2195.1070,2195.0606,2195.1134,
CPI,8.6829,8.6929,8.6782,8.6815,7.9842,8.6442,8.6015,8.5890,8.6291,8.6348,8.2604,8.6668,
L3 load bandwidth [MBytes/s],1257.7507,1249.9222,1273.3622,1276.7876,1103.1517,1290.4554,1300.7461,1306.2399,1295.3276,1306.0140,1360.0978,1287.3112,
L3 load data volume [GBytes],0.7487,0.7441,0.7580,0.7601,0.6567,0.7682,0.7743,0.7776,0.7711,0.7775,0.8097,0.7663,
L3 evict bandwidth [MBytes/s],1246.3399,1239.6767,1261.2056,1266.5862,1080.3158,1275.1983,1287.2541,1291.9890,1283.0987,1294.5761,1304.0647,1273.9514,
L3 evict data volume [GBytes],0.7419,0.7380,0.7508,0.7540,0.6431,0.7591,0.7663,0.7691,0.7638,0.7707,0.7763,0.7584,
L3 bandwidth [MBytes/s],2504.0906,2489.5989,2534.5678,2543.3738,2183.4675,2565.6537,2588.0002,2598.2290,2578.4263,2600.5902,2664.1625,2561.2626,
L3 data volume [GBytes],1.4907,1.4821,1.5088,1.5141,1.2998,1.5273,1.5406,1.5467,1.5349,1.5481,1.5860,1.5247,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,7.1436,0.5953,0.5953,0.5953,,,,,,,,,
Runtime unhalted [s] STAT,6.0960,0.4438,0.5209,0.5080,,,,,,,,,
Clock [MHz] STAT,26340.9544,2194.9238,2195.1134,2195.0795,,,,,,,,,
CPI STAT,102.7455,7.9842,8.6929,8.5621,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,15307.1664,1103.1517,1360.0978,1275.5972,,,,,,,,,
L3 load data volume [GBytes] STAT,9.1123,0.6567,0.8097,0.7594,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,15104.2565,1080.3158,1304.0647,1258.6880,,,,,,,,,
L3 evict data volume [GBytes] STAT,8.9915,0.6431,0.7763,0.7493,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,30411.4231,2183.4675,2664.1625,2534.2853,,,,,,,,,
L3 data volume [GBytes] STAT,18.1038,1.2998,1.5860,1.5087,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208223413 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,129655819,132281007,135742543,133025242,134974228,139151570,133741099,131724048,133683341,141207717,146644116,138274965
CPU_CLK_UNHALTED_CORE,FIXC1,1117004561,1127529434,1132797900,1132711904,938303942,1126442133,1140583208,1123967375,1144720257,1147082727,1145552385,1135772065
CPU_CLK_UNHALTED_REF,FIXC2,1123720200,1134419064,1142377248,1139481364,946553316,1133182124,1147399344,1130687360,1151565012,1158200880,1152457044,1142556188
MEM_INST_RETIRED_ALL_LOADS,PMC0,47130527,48082749,49011226,48366101,43769001,49770205,48598750,47705425,48602305,50280274,52744812,49759441
MEM_INST_RETIRED_ALL_STORES,PMC1,47101483,48073166,48316253,48371997,41570973,48378560,48586658,47250265,48589594,48750965,51887294,48647956
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,1630105695,129655819,146644116,1.358421e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13412467891,938303942,1147082727,1.117706e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,13502599144,946553316,1158200880,1.125217e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,583820816,43769001,52744812,4.865173e+07,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,575525164,41570973,51887294,4.796043e+07,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,0.5976,
Runtime unhalted [s],0.5058,0.5106,0.5130,0.5130,0.4249,0.5101,0.5165,0.5090,0.5184,0.5195,0.5188,0.5143,
Clock [MHz],2195.0265,2194.8123,2189.7065,2195.1047,2188.9784,2195.0892,2195.1054,2195.0993,2195.0980,2187.0256,2194.9934,2195.1117,
CPI,8.6152,8.5237,8.3452,8.5150,6.9517,8.0951,8.5283,8.5327,8.5629,8.1234,7.8118,8.2139,
Load to store ratio,1.0006,1.0002,1.0144,0.9999,1.0529,1.0288,1.0002,1.0096,1.0003,1.0314,1.0165,1.0228,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,7.1712,0.5976,0.5976,0.5976,,,,,,,,,
Runtime unhalted [s] STAT,6.0739,0.4249,0.5195,0.5062,,,,,,,,,
Clock [MHz] STAT,26321.1510,2187.0256,2195.1117,2193.4292,,,,,,,,,
CPI STAT,98.8189,6.9517,8.6152,8.2349,,,,,,,,,
Load to store ratio STAT,12.1776,0.9999,1.0529,1.0148,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208223413 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,130980960,129784230,130515011,134398980,127897907,131283534,131688048,131901665,137041261,150161079,133997723,132520829
CPU_CLK_UNHALTED_CORE,FIXC1,1129908653,1130717245,1133960378,1136651394,1116193839,1136710163,1142000825,1142428446,1147829462,1150138737,1156038559,1146404172
