STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.20667305 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,814241423,832565134,,
CPU_CLK_UNHALTED_CORE,FIXC1,1181894091,1197111037,,
CPU_CLK_UNHALTED_REF,FIXC2,1743800660,1766255376,,
UOPS_RETIRED_USED_CYCLES,PMC0,296617955,301832718,,
UOPS_RETIRED_STALL_CYCLES,PMC1,885276136,895278319,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1181894091,1197111037,,
UOPS_RETIRED_STALL_CYCLES,PMC3,93811347,95501506,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,1646806557,814241423,832565134,8.234033e+08
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2379005128,1181894091,1197111037,1189502564
CPU_CLK_UNHALTED_REF STAT,FIXC2,3510056036,1743800660,1766255376,1755028018
UOPS_RETIRED_USED_CYCLES STAT,PMC0,598450673,296617955,301832718,2.992253e+08
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1780554455,885276136,895278319,8.902772e+08
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2379005128,1181894091,1197111037,1189502564
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,189312853,93811347,95501506,9.465643e+07
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.9010,0.9010,,,
Runtime unhalted [s],0.5356,0.5425,,,
Clock [MHz],1495.6147,1495.6120,,,
CPI,1.4515,1.4379,,,
Used cycles ratio [%],25.0968,25.2134,,,
Unused cycles ratio [%],74.9032,74.7866,,,
Avg stall duration [cycles],9.4368,9.3745,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.8020,0.9010,0.9010,0.9010,
Runtime unhalted [s] STAT,1.0781,0.5356,0.5425,0.5391,
Clock [MHz] STAT,2991.2267,1495.6120,1495.6147,1495.6134,
CPI STAT,2.8894,1.4379,1.4515,1.4447,
Used cycles ratio [%] STAT,50.3102,25.0968,25.2134,25.1551,
Unused cycles ratio [%] STAT,149.6898,74.7866,74.9032,74.8449,
Avg stall duration [cycles] STAT,18.8113,9.3745,9.4368,9.4056,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.20667305 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,810798980,832660400,,
CPU_CLK_UNHALTED_CORE,FIXC1,1177905255,1198408302,,
CPU_CLK_UNHALTED_REF,FIXC2,1737915880,1768167044,,
L2_LINES_IN_ALL,PMC0,73941397,75915073,,
L2_TRANS_L2_WB,PMC1,72495812,74275389,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,1643459380,810798980,832660400,821729690
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2376313557,1177905255,1198408302,1.188157e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,3506082924,1737915880,1768167044,1753041462
L2_LINES_IN_ALL STAT,PMC0,149856470,73941397,75915073,74928235
L2_TRANS_L2_WB STAT,PMC1,146771201,72495812,74275389,7.338560e+07
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.8993,0.8993,,,
Runtime unhalted [s],0.5338,0.5431,,,
Clock [MHz],1495.6143,1495.6140,,,
CPI,1.4528,1.4393,,,
L3 load bandwidth [MBytes/s],5262.1761,5402.6364,,,
L3 load data volume [GBytes],4.7322,4.8586,,,
L3 evict bandwidth [MBytes/s],5159.2984,5285.9453,,,
L3 evict data volume [GBytes],4.6397,4.7536,,,
L3 bandwidth [MBytes/s],10421.4745,10688.5817,,,
L3 data volume [GBytes],9.3720,9.6122,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.7986,0.8993,0.8993,0.8993,
Runtime unhalted [s] STAT,1.0769,0.5338,0.5431,0.5385,
Clock [MHz] STAT,2991.2283,1495.6140,1495.6143,1495.6141,
CPI STAT,2.8921,1.4393,1.4528,1.4461,
L3 load bandwidth [MBytes/s] STAT,10664.8125,5262.1761,5402.6364,5332.4062,
L3 load data volume [GBytes] STAT,9.5908,4.7322,4.8586,4.7954,
L3 evict bandwidth [MBytes/s] STAT,10445.2437,5159.2984,5285.9453,5222.6218,
L3 evict data volume [GBytes] STAT,9.3933,4.6397,4.7536,4.6966,
L3 bandwidth [MBytes/s] STAT,21110.0562,10421.4745,10688.5817,10555.0281,
L3 data volume [GBytes] STAT,18.9842,9.3720,9.6122,9.4921,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.20667305 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,811259468,832495520,,
CPU_CLK_UNHALTED_CORE,FIXC1,1178316500,1197396437,,
CPU_CLK_UNHALTED_REF,FIXC2,1738525564,1766676552,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,295001716,302628100,,
MEM_INST_RETIRED_ALL_STORES,PMC1,295003298,302725532,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,1643754988,811259468,832495520,821877494
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2375712937,1178316500,1197396437,1.187856e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,3505202116,1738525564,1766676552,1752601058
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,597629816,295001716,302628100,298814908
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,597728830,295003298,302725532,298864415
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.8998,0.8998,,,
Runtime unhalted [s],0.5340,0.5426,,,
Clock [MHz],1495.6118,1495.6119,,,
CPI,1.4525,1.4383,,,
Load to store ratio,1.0000,0.9997,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.7996,0.8998,0.8998,0.8998,
Runtime unhalted [s] STAT,1.0766,0.5340,0.5426,0.5383,
Clock [MHz] STAT,2991.2237,1495.6118,1495.6119,1495.6119,
