STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207986768 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,1594270276,1606856079,1557349618,1584054109,1574771325,1585428919
CPU_CLK_UNHALTED_CORE,FIXC1,6395172036,6405404682,6367365118,6422043406,6431269387,6439637377
CPU_CLK_UNHALTED_REF,FIXC2,6433453556,6443681748,6407357296,6460440008,6469698980,6478116428
UOPS_RETIRED_USED_CYCLES,PMC0,571752820,575144025,554691960,562521124,561102768,563774407
UOPS_RETIRED_STALL_CYCLES,PMC1,5823419216,5830260657,5812673158,5859522282,5870166619,5875862970
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,6395172036,6405404682,6367365118,6422043406,6431269387,6439637377
UOPS_RETIRED_STALL_CYCLES,PMC3,149137132,149072750,144899938,146165602,146755416,146583496
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,9502730326,1557349618,1606856079,1.583788e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,38460892006,6367365118,6439637377,6.410149e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,38692748016,6407357296,6478116428,6448791336,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,3388987104,554691960,575144025,564831184,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,35071904902,5812673158,5875862970,5.845317e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,38460892006,6367365118,6439637377,6.410149e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,882614334,144899938,149137132,147102389,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],2.9954,2.9954,2.9954,2.9954,2.9954,2.9954,
Runtime unhalted [s],2.8964,2.9010,2.8838,2.9086,2.9127,2.9165,
Clock [MHz],2194.8484,2194.8708,2194.2054,2194.8639,2194.8715,2194.8717,
CPI,4.0113,3.9863,4.0886,4.0542,4.0839,4.0618,
Used cycles ratio [%],8.9404,8.9790,8.7115,8.7592,8.7246,8.7548,
Unused cycles ratio [%],91.0596,91.0210,91.2885,91.2408,91.2754,91.2452,
Avg stall duration [cycles],39.0474,39.1102,40.1151,40.0882,39.9997,40.0854,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,17.9724,2.9954,2.9954,2.9954,,,
Runtime unhalted [s] STAT,17.4190,2.8838,2.9165,2.9032,,,
Clock [MHz] STAT,13168.5317,2194.2054,2194.8717,2194.7553,,,
CPI STAT,24.2861,3.9863,4.0886,4.0477,,,
Used cycles ratio [%] STAT,52.8695,8.7115,8.9790,8.8116,,,
Unused cycles ratio [%] STAT,547.1305,91.0210,91.2885,91.1884,,,
Avg stall duration [cycles] STAT,238.4460,39.0474,40.1151,39.7410,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207986768 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,1591383572,1603892266,1546759468,1581085983,1569469207,1579251406
CPU_CLK_UNHALTED_CORE,FIXC1,6384239320,6391594490,6332970876,6401651660,6409572753,6415290915
CPU_CLK_UNHALTED_REF,FIXC2,6422548152,6429787080,6370810572,6439902480,6447874556,6453625476
L2_LINES_IN_ALL,PMC0,145118926,146258472,141058760,144187205,143159197,144048365
L2_TRANS_L2_WB,PMC1,144109958,145250825,140088365,143016800,142159023,143033265
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,9471841902,1546759468,1603892266,1578640317,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,38335320014,6332970876,6415290915,6.389220e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,38564548316,6370810572,6453625476,6.427425e+09,,
L2_LINES_IN_ALL STAT,PMC0,863830925,141058760,146258472,1.439718e+08,,
L2_TRANS_L2_WB STAT,PMC1,857658236,140088365,145250825,1.429430e+08,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],2.9932,2.9932,2.9932,2.9932,2.9932,2.9932,
Runtime unhalted [s],2.8914,2.8948,2.8682,2.8993,2.9029,2.9055,
Clock [MHz],2194.8167,2194.8714,2194.8723,2194.8721,2194.8708,2194.8713,
CPI,4.0118,3.9851,4.0943,4.0489,4.0839,4.0622,
L3 load bandwidth [MBytes/s],3102.8533,3127.2185,3016.0411,3082.9318,3060.9515,3079.9632,
L3 load data volume [GBytes],9.2876,9.3605,9.0278,9.2280,9.1622,9.2191,
L3 evict bandwidth [MBytes/s],3081.2801,3105.6735,2995.2926,3057.9068,3039.5663,3058.2589,
L3 evict data volume [GBytes],9.2230,9.2961,8.9657,9.1531,9.0982,9.1541,
L3 bandwidth [MBytes/s],6184.1335,6232.8920,6011.3338,6140.8386,6100.5178,6138.2221,
L3 data volume [GBytes],18.5106,18.6566,17.9934,18.3811,18.2604,18.3732,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,17.9592,2.9932,2.9932,2.9932,,,
Runtime unhalted [s] STAT,17.3621,2.8682,2.9055,2.8937,,,
Clock [MHz] STAT,13169.1746,2194.8167,2194.8723,2194.8624,,,
CPI STAT,24.2862,3.9851,4.0943,4.0477,,,
L3 load bandwidth [MBytes/s] STAT,18469.9594,3016.0411,3127.2185,3078.3266,,,
L3 load data volume [GBytes] STAT,55.2852,9.0278,9.3605,9.2142,,,
L3 evict bandwidth [MBytes/s] STAT,18337.9782,2995.2926,3105.6735,3056.3297,,,
L3 evict data volume [GBytes] STAT,54.8902,8.9657,9.2961,9.1484,,,
L3 bandwidth [MBytes/s] STAT,36807.9378,6011.3338,6232.8920,6134.6563,,,
L3 data volume [GBytes] STAT,110.1753,17.9934,18.6566,18.3626,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207986768 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
