STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207997508 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,284841110,286351000,299159398,296123140,291690852,288233556
CPU_CLK_UNHALTED_CORE,FIXC1,888143410,901810072,906275133,906389447,909019307,910539333
CPU_CLK_UNHALTED_REF,FIXC2,1310643316,1330558556,1337148056,1337374652,1341637564,1343836456
UOPS_RETIRED_USED_CYCLES,PMC0,90426655,91262289,95557749,94098388,93201315,92682162
UOPS_RETIRED_STALL_CYCLES,PMC1,797716822,810547783,810717384,812291059,815817992,817857171
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,888143477,901810072,906275133,906389447,909019307,910539333
UOPS_RETIRED_STALL_CYCLES,PMC3,14626655,15156438,15545251,14878484,15181965,15880806
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,1746399056,284841110,299159398,2.910665e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,5422176702,888143410,910539333,903696117,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,8001198600,1310643316,1343836456,1333533100,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,557228558,90426655,95557749,9.287143e+07,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,4864948211,797716822,817857171,8.108247e+08,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,5422176769,888143477,910539333,9.036961e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,91269599,14626655,15880806,1.521160e+07,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.6876,0.6876,0.6876,0.6876,0.6876,0.6876,
Runtime unhalted [s],0.4022,0.4084,0.4105,0.4105,0.4117,0.4124,
Clock [MHz],1496.2259,1496.5102,1496.5084,1496.4435,1496.0168,1496.0664,
CPI,3.1180,3.1493,3.0294,3.0609,3.1164,3.1590,
Used cycles ratio [%],10.1815,10.1199,10.5440,10.3817,10.2530,10.1788,
Unused cycles ratio [%],89.8185,89.8801,89.4560,89.6183,89.7470,89.8212,
Avg stall duration [cycles],54.5386,53.4788,52.1521,54.5950,53.7360,51.4997,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,4.1256,0.6876,0.6876,0.6876,,,
Runtime unhalted [s] STAT,2.4557,0.4022,0.4124,0.4093,,,
Clock [MHz] STAT,8977.7712,1496.0168,1496.5102,1496.2952,,,
CPI STAT,18.6330,3.0294,3.1590,3.1055,,,
Used cycles ratio [%] STAT,61.6589,10.1199,10.5440,10.2765,,,
Unused cycles ratio [%] STAT,538.3411,89.4560,89.8801,89.7235,,,
Avg stall duration [cycles] STAT,320.0002,51.4997,54.5950,53.3334,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207997508 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,293230635,281300380,297096276,295448392,277845578,291164017
CPU_CLK_UNHALTED_CORE,FIXC1,902893474,884506770,905299996,906801084,909115418,912596797
CPU_CLK_UNHALTED_REF,FIXC2,1332896368,1305029292,1335707244,1338051220,1342403556,1349297852
L2_LINES_IN_ALL,PMC0,26763679,25647096,27086642,26942369,25387230,26619956
L2_TRANS_L2_WB,PMC1,24999297,23749792,25796834,25387699,22343271,24004858
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,1736085278,277845578,297096276,2.893475e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,5421213539,884506770,912596797,9.035356e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,8003385532,1305029292,1349297852,1.333898e+09,,
L2_LINES_IN_ALL STAT,PMC0,158446972,25387230,27086642,2.640783e+07,,
L2_TRANS_L2_WB STAT,PMC1,146281751,22343271,25796834,2.438029e+07,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.6970,0.6970,0.6970,0.6970,0.6970,0.6970,
Runtime unhalted [s],0.4089,0.4006,0.4100,0.4107,0.4117,0.4133,
Clock [MHz],1495.6801,1496.5095,1496.5107,1496.3661,1495.3213,1493.3778,
CPI,3.0791,3.1443,3.0472,3.0692,3.2720,3.1343,
L3 load bandwidth [MBytes/s],2457.4163,2354.8927,2487.0705,2473.8234,2331.0320,2444.2198,
L3 load data volume [GBytes],1.7129,1.6414,1.7335,1.7243,1.6248,1.7037,
L3 evict bandwidth [MBytes/s],2295.4124,2180.6840,2368.6415,2331.0751,2051.5385,2204.1039,
L3 evict data volume [GBytes],1.6000,1.5200,1.6510,1.6248,1.4300,1.5363,
L3 bandwidth [MBytes/s],4752.8287,4535.5766,4855.7119,4804.8985,4382.5705,4648.3237,
L3 data volume [GBytes],3.3128,3.1614,3.3845,3.3491,3.0548,3.2400,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,4.1820,0.6970,0.6970,0.6970,,,
Runtime unhalted [s] STAT,2.4552,0.4006,0.4133,0.4092,,,
Clock [MHz] STAT,8973.7655,1493.3778,1496.5107,1495.6276,,,
CPI STAT,18.7461,3.0472,3.2720,3.1244,,,
L3 load bandwidth [MBytes/s] STAT,14548.4547,2331.0320,2487.0705,2424.7424,,,
L3 load data volume [GBytes] STAT,10.1406,1.6248,1.7335,1.6901,,,
L3 evict bandwidth [MBytes/s] STAT,13431.4554,2051.5385,2368.6415,2238.5759,,,
L3 evict data volume [GBytes] STAT,9.3621,1.4300,1.6510,1.5603,,,
L3 bandwidth [MBytes/s] STAT,27979.9099,4382.5705,4855.7119,4663.3183,,,
L3 data volume [GBytes] STAT,19.5026,3.0548,3.3845,3.2504,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207997508 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,284546313,286319092,289292829,291312813,299054897,291746679
