STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208035826 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,669795528,772258995,690881451,690744996,699715735,743718289,739737527,723224193,781631573,761130983,764012594,797748771
CPU_CLK_UNHALTED_CORE,FIXC1,3841059127,4030865775,4156706977,4214457056,4127707202,4177435232,4443126720,4510413812,4595301802,4507622341,4458677644,4400618944
CPU_CLK_UNHALTED_REF,FIXC2,7084057408,7434077020,7666196608,7772670600,7612719584,7704397860,8194404028,8318499516,8475058676,8313351196,8223083740,8116021776
UOPS_RETIRED_USED_CYCLES,PMC0,233925002,267573987,243396748,243850415,244777512,260493128,262465151,254556160,273570765,265077996,266972826,277882826
UOPS_RETIRED_STALL_CYCLES,PMC1,3607134125,3763291788,3913310229,3970606641,3882929690,3916942104,4180661569,4255858108,4321731037,4242544345,4191704818,4122736118
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3841059127,4030865775,4156706977,4214457056,4127707202,4177435232,4443126720,4510414268,4595301802,4507622341,4458677644,4400618944
UOPS_RETIRED_STALL_CYCLES,PMC3,60034171,67596556,63501327,63678132,62801039,67288240,69607683,65926684,70955105,68047064,68630746,71853159
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,8834600635,669795528,797748771,7.362167e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,51463992632,3841059127,4595301802,4.288666e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,94914538012,7084057408,8475058676,7.909545e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,3094542516,233925002,277882826,257878543,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,48369450572,3607134125,4321731037,4.030788e+09,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,51463993088,3841059127,4595301802,4.288666e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,799919906,60034171,71853159,6.665999e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,3.1622,
Runtime unhalted [s],1.7396,1.8255,1.8825,1.9087,1.8694,1.8919,2.0123,2.0427,2.0812,2.0415,2.0193,1.9930,
Clock [MHz],1197.2230,1197.2295,1197.2244,1197.2297,1197.2233,1197.2288,1197.2296,1197.2298,1197.2296,1197.2298,1197.2297,1197.2275,
CPI,5.7347,5.2196,6.0165,6.1013,5.8991,5.6170,6.0064,6.2365,5.8791,5.9223,5.8359,5.5163,
Used cycles ratio [%],6.0901,6.6381,5.8555,5.7860,5.9301,6.2357,5.9072,5.6437,5.9533,5.8807,5.9877,6.3146,
Unused cycles ratio [%],93.9099,93.3619,94.1445,94.2140,94.0699,93.7643,94.0928,94.3563,94.0467,94.1193,94.0123,93.6854,
Avg stall duration [cycles],60.0847,55.6728,61.6256,62.3543,61.8291,58.2114,60.0603,64.5544,60.9080,62.3472,61.0762,57.3772,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,37.9464,3.1622,3.1622,3.1622,,,,,,,,,
Runtime unhalted [s] STAT,23.3076,1.7396,2.0812,1.9423,,,,,,,,,
Clock [MHz] STAT,14366.7347,1197.2230,1197.2298,1197.2279,,,,,,,,,
CPI STAT,69.9847,5.2196,6.2365,5.8321,,,,,,,,,
Used cycles ratio [%] STAT,72.2227,5.6437,6.6381,6.0186,,,,,,,,,
Unused cycles ratio [%] STAT,1127.7773,93.3619,94.3563,93.9814,,,,,,,,,
Avg stall duration [cycles] STAT,726.1012,55.6728,64.5544,60.5084,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208035826 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,647043477,754587323,669183141,663520351,666046180,699840366,684605495,666697299,704422562,700143877,695205711,731523764
CPU_CLK_UNHALTED_CORE,FIXC1,3774305272,3901364713,4035359715,4055828301,3939405219,3945625797,4132092947,4170538097,4210241344,4177965105,4085002564,4057947966
CPU_CLK_UNHALTED_REF,FIXC2,6960921848,7195264432,7442369072,7480118788,7265397688,7276873676,7620769124,7691676468,7764898532,7705372140,7533922504,7484026304
L2_LINES_IN_ALL,PMC0,57703216,67733287,59215078,58620889,59866534,63111331,59813748,59061235,62485327,62256615,62341271,64786531
L2_TRANS_L2_WB,PMC1,56979723,66293234,58518850,57864507,58953143,61251613,58971225,57717934,61651606,61254465,61391836,63041403
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,8282819546,647043477,754587323,6.902350e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,48485677040,3774305272,4210241344,4.040473e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,89421610576,6960921848,7764898532,7.451801e+09,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,736995062,57703216,67733287,6.141626e+07,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,723889539,56979723,66293234,6.032413e+07,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,3.1602,
Runtime unhalted [s],1.7093,1.7669,1.8276,1.8368,1.7841,1.7869,1.8714,1.8888,1.9068,1.8922,1.8501,1.8378,
Clock [MHz],1197.2267,1197.2254,1197.2288,1197.2289,1197.2294,1197.2289,1197.2295,1197.2289,1197.2293,1197.2292,1197.2292,1197.2292,
CPI,5.8332,5.1702,6.0303,6.1126,5.9146,5.6379,6.0357,6.2555,5.9769,5.9673,5.8760,5.5473,
L3 load bandwidth [MBytes/s],1168.5952,1371.7224,1199.2132,1187.1798,1212.4064,1278.1194,1211.3374,1196.0976,1265.4417,1260.8099,1262.5243,1312.0453,
L3 load data volume [GBytes],3.6930,4.3349,3.7898,3.7517,3.8315,4.0391,3.8281,3.7799,3.9991,3.9844,3.9898,4.1463,
L3 evict bandwidth [MBytes/s],1153.9432,1342.5588,1185.1133,1171.8617,1193.9085,1240.4567,1194.2747,1168.8933,1248.5573,1240.5145,1243.2965,1276.7033,
L3 evict data volume [GBytes],3.6467,4.2428,3.7452,3.7033,3.7730,3.9201,3.7742,3.6939,3.9457,3.9203,3.9291,4.0346,
L3 bandwidth [MBytes/s],2322.5384,2714.2812,2384.3265,2359.0415,2406.3149,2518.5762,2405.6121,2364.9909,2513.9990,2501.3244,2505.8208,2588.7485,
L3 data volume [GBytes],7.3397,8.5777,7.5350,7.4551,7.6045,7.9592,7.6022,7.4739,7.9448,7.9047,7.9189,8.1810,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,37.9224,3.1602,3.1602,3.1602,,,,,,,,,
Runtime unhalted [s] STAT,21.9587,1.7093,1.9068,1.8299,,,,,,,,,
Clock [MHz] STAT,14366.7434,1197.2254,1197.2295,1197.2286,,,,,,,,,
CPI STAT,70.3575,5.1702,6.2555,5.8631,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,14925.4926,1168.5952,1371.7224,1243.7911,,,,,,,,,
L3 load data volume [GBytes] STAT,47.1676,3.6930,4.3349,3.9306,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,14660.0818,1153.9432,1342.5588,1221.6735,,,,,,,,,
L3 evict data volume [GBytes] STAT,46.3289,3.6467,4.2428,3.8607,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,29585.5744,2322.5384,2714.2812,2465.4645,,,,,,,,,
L3 data volume [GBytes] STAT,93.4967,7.3397,8.5777,7.7914,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208035826 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,662586192,771905582,692048412,698748909,690940942,737938559,711157119,702837099,723990708,724489636,716522489,743382362
CPU_CLK_UNHALTED_CORE,FIXC1,3792761508,4018470052,4159048181,4185478334,4078604292,4099065929,4272998532,4279437714,4313875694,4353763688,4190557035,4027502678
CPU_CLK_UNHALTED_REF,FIXC2,6994950716,7411277028,7670486660,7719234424,7522137396,7559864480,7880642628,7892519736,7956030648,8029598724,7728593124,7427875576
MEM_INST_RETIRED_ALL_LOADS,PMC0,241591240,280845825,254096071,253611745,252534407,268158827,262634118,253225269,265904163,266079976,261534869,264579148
MEM_INST_RETIRED_ALL_STORES,PMC1,232818647,274463175,244171474,240829086,247306530,260844053,247620647,238381147,256017725,256173829,255847903,256857458
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,8576548009,662586192,771905582,7.147123e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,49771563637,3792761508,4353763688,4.147630e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,91793211140,6994950716,8029598724,7.649434e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,3124795658,241591240,280845825,2.603996e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,3011331674,232818647,274463175,2.509443e+08,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,3.1714,
Runtime unhalted [s],1.7177,1.8199,1.8836,1.8956,1.8472,1.8564,1.9352,1.9381,1.9537,1.9718,1.8979,1.8240,
Clock [MHz],1197.2283,1197.2196,1197.2288,1197.2283,1197.2268,1197.2284,1197.2290,1197.2288,1197.2292,1197.2287,1197.2295,1197.2293,
CPI,5.7242,5.2059,6.0098,5.9900,5.9030,5.5548,6.0085,6.0888,5.9585,6.0094,5.8485,5.4178,
Load to store ratio,1.0377,1.0233,1.0406,1.0531,1.0211,1.0280,1.0606,1.0623,1.0386,1.0387,1.0222,1.0301,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,38.0568,3.1714,3.1714,3.1714,,,,,,,,,
Runtime unhalted [s] STAT,22.5411,1.7177,1.9718,1.8784,,,,,,,,,
Clock [MHz] STAT,14366.7347,1197.2196,1197.2295,1197.2279,,,,,,,,,
CPI STAT,69.7192,5.2059,6.0888,5.8099,,,,,,,,,
Load to store ratio STAT,12.4563,1.0211,1.0623,1.0380,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208035826 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,646140056,772946899,690916743,694636200,691557499,722802057,707332524,693586085,719931701,719114577,714142021,747208635
CPU_CLK_UNHALTED_CORE,FIXC1,3770023798,4035822786,4173991762,4191509252,4137347707,4099197122,4268117596,4285804560,4310368418,4344821592,4193952719,4186058822
