STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3853855393
CPU_CLK_UNHALTED_CORE,FIXC1,1100487623
CPU_CLK_UNHALTED_REF,FIXC2,1107065072
UOPS_RETIRED_USED_CYCLES,PMC0,1029184942
UOPS_RETIRED_STALL_CYCLES,PMC1,71302681
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1100487623
UOPS_RETIRED_STALL_CYCLES,PMC3,14857247
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],0.6014,
Runtime unhalted [s],0.4988,
Clock [MHz],2193.0777,
CPI,0.2856,
Used cycles ratio [%],93.5208,
Unused cycles ratio [%],6.4792,
Avg stall duration [cycles],4.7992,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3811439196
CPU_CLK_UNHALTED_CORE,FIXC1,1086296086
CPU_CLK_UNHALTED_REF,FIXC2,1092789892
L2_LINES_IN_ALL,PMC0,46741
L2_TRANS_L2_WB,PMC1,4049
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],0.6009,
Runtime unhalted [s],0.4924,
Clock [MHz],2193.0753,
CPI,0.2850,
L3 load bandwidth [MBytes/s],4.9786,
L3 load data volume [GBytes],0.0030,
L3 evict bandwidth [MBytes/s],0.4313,
L3 evict data volume [GBytes],0.0003,
L3 bandwidth [MBytes/s],5.4098,
L3 data volume [GBytes],0.0033,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3851597065
CPU_CLK_UNHALTED_CORE,FIXC1,1096810062
CPU_CLK_UNHALTED_REF,FIXC2,1103367960
MEM_INST_RETIRED_ALL_LOADS,PMC0,2051607468
MEM_INST_RETIRED_ALL_STORES,PMC1,3592823
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],0.6008,
Runtime unhalted [s],0.4972,
Clock [MHz],2193.0728,
CPI,0.2848,
Load to store ratio,571.0294,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3811984995
CPU_CLK_UNHALTED_CORE,FIXC1,1085757384
CPU_CLK_UNHALTED_REF,FIXC2,1092248380
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],0.6005,
Runtime unhalted [s],0.4921,
Clock [MHz],2193.0745,
CPI,0.2848,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3850394059
CPU_CLK_UNHALTED_CORE,FIXC1,1097011145
CPU_CLK_UNHALTED_REF,FIXC2,1103569256
L2_TRANS_ALL_REQUESTS,PMC0,122982
L2_RQSTS_MISS,PMC1,26837
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],0.6008,
Runtime unhalted [s],0.4972,
Clock [MHz],2193.0748,
CPI,0.2849,
L2 request rate,3.194011e-05,
L2 miss rate,6.969936e-06,
L2 miss ratio,0.2182,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3849968736
CPU_CLK_UNHALTED_CORE,FIXC1,1096111286
CPU_CLK_UNHALTED_REF,FIXC2,1102665172
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,107786
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,1091414475
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,127661
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,28435853
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],0.6008,
Runtime unhalted [s],0.4968,
Clock [MHz],2193.0725,
CPI,0.2847,
Cycles without execution [%],2.5942,
Cycles without execution due to L1D [%],0.0116,
Cycles without execution due to L2 [%],0.0098,
Cycles without execution due to memory loads [%],99.5715,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3776886101
CPU_CLK_UNHALTED_CORE,FIXC1,1075482008
CPU_CLK_UNHALTED_REF,FIXC2,1081913008
ITLB_MISSES_CAUSES_A_WALK,PMC0,832
ITLB_MISSES_WALK_ACTIVE,PMC1,52028
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],0.6008,
Runtime unhalted [s],0.4875,
Clock [MHz],2193.0716,
CPI,0.2848,
L1 ITLB misses,832,
L1 ITLB miss rate,2.202873e-07,
L1 ITLB miss duration [Cyc],62.5337,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.20618537 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,3848801690
CPU_CLK_UNHALTED_CORE,FIXC1,1096954790
CPU_CLK_UNHALTED_REF,FIXC2,1103513504
DRAM_READS,MBOX0C1,5055278
DRAM_WRITES,MBOX0C2,335456
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],0.6009,
Runtime unhalted [s],0.4972,
Clock [MHz],2193.0729,
CPI,0.2850,
Memory load bandwidth [MBytes/s],538.4611,
Memory load data volume [GBytes],0.3235,
Memory evict bandwidth [MBytes/s],35.7310,
