STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208028918 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,12359398408,12368564459,,
CPU_CLK_UNHALTED_CORE,FIXC1,7019348681,7026453407,,
CPU_CLK_UNHALTED_REF,FIXC2,7061290812,7069214956,,
UOPS_RETIRED_USED_CYCLES,PMC0,3805874293,3810123463,,
UOPS_RETIRED_STALL_CYCLES,PMC1,3213474388,3216329944,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,7019348681,7026453407,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1568890691,1572522931,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,24727962867,12359398408,12368564459,1.236398e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14045802088,7019348681,7026453407,7022901044
CPU_CLK_UNHALTED_REF STAT,FIXC2,14130505768,7061290812,7069214956,7065252884
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7615997756,3805874293,3810123463,3807998878
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,6429804332,3213474388,3216329944,3214902166
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14045802088,7019348681,7026453407,7022901044
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,3141413622,1568890691,1572522931,1570706811
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.2998,3.2998,,,
Runtime unhalted [s],3.1790,3.1822,,,
Clock [MHz],2194.9138,2194.6726,,,
CPI,0.5679,0.5681,,,
Used cycles ratio [%],54.2198,54.2254,,,
Unused cycles ratio [%],45.7802,45.7746,,,
Avg stall duration [cycles],2.0482,2.0453,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.5996,3.2998,3.2998,3.2998,
Runtime unhalted [s] STAT,6.3612,3.1790,3.1822,3.1806,
Clock [MHz] STAT,4389.5864,2194.6726,2194.9138,2194.7932,
CPI STAT,1.1360,0.5679,0.5681,0.5680,
Used cycles ratio [%] STAT,108.4452,54.2198,54.2254,54.2226,
Unused cycles ratio [%] STAT,91.5548,45.7746,45.7802,45.7774,
Avg stall duration [cycles] STAT,4.0935,2.0453,2.0482,2.0468,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208028918 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,12357479504,12362727991,,
CPU_CLK_UNHALTED_CORE,FIXC1,7018403865,7021523118,,
CPU_CLK_UNHALTED_REF,FIXC2,7060336588,7063556588,,
L2_LINES_IN_ALL,PMC0,7701,9891,,
L2_TRANS_L2_WB,PMC1,814,624,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,24720207495,12357479504,12362727991,1.236010e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14039926983,7018403865,7021523118,7.019963e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,14123893176,7060336588,7063556588,7061946588
L2_LINES_IN_ALL STAT,PMC0,17592,7701,9891,8796
L2_TRANS_L2_WB STAT,PMC1,1438,624,814,719
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.2981,3.2981,,,
Runtime unhalted [s],3.1786,3.1800,,,
Clock [MHz],2194.9150,2194.8895,,,
CPI,0.5679,0.5680,,,
L3 load bandwidth [MBytes/s],0.1494,0.1919,,,
L3 load data volume [GBytes],0.0005,0.0006,,,
L3 evict bandwidth [MBytes/s],0.0158,0.0121,,,
L3 evict data volume [GBytes],0.0001,3.993600e-05,,,
L3 bandwidth [MBytes/s],0.1652,0.2040,,,
L3 data volume [GBytes],0.0005,0.0007,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.5962,3.2981,3.2981,3.2981,
Runtime unhalted [s] STAT,6.3586,3.1786,3.1800,3.1793,
Clock [MHz] STAT,4389.8045,2194.8895,2194.9150,2194.9023,
CPI STAT,1.1359,0.5679,0.5680,0.5679,
L3 load bandwidth [MBytes/s] STAT,0.3413,0.1494,0.1919,0.1706,
L3 load data volume [GBytes] STAT,0.0011,0.0005,0.0006,0.0005,
L3 evict bandwidth [MBytes/s] STAT,0.0279,0.0121,0.0158,0.0140,
L3 evict data volume [GBytes] STAT,0.0001,3.993600e-05,0.0001,0.0001,
L3 bandwidth [MBytes/s] STAT,0.3692,0.1652,0.2040,0.1846,
L3 data volume [GBytes] STAT,0.0012,0.0005,0.0007,0.0006,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.208028918 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,12359949246,12365210446,,
CPU_CLK_UNHALTED_CORE,FIXC1,7019824795,7022989285,,
CPU_CLK_UNHALTED_REF,FIXC2,7061764428,7065028312,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,6575623270,6578419647,,
MEM_INST_RETIRED_ALL_STORES,PMC1,22888789,22901479,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,24725159692,12359949246,12365210446,12362579846
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14042814080,7019824795,7022989285,7021407040
CPU_CLK_UNHALTED_REF STAT,FIXC2,14126792740,7061764428,7065028312,7063396370
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,13154042917,6575623270,6578419647,6.577021e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,45790268,22888789,22901479,22895134
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],3.2994,3.2994,,,
Runtime unhalted [s],3.1792,3.1807,,,
Clock [MHz],2194.9155,2194.8905,,,
CPI,0.5679,0.5680,,,
Load to store ratio,287.2858,287.2487,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.5988,3.2994,3.2994,3.2994,
Runtime unhalted [s] STAT,6.3599,3.1792,3.1807,3.1799,
Clock [MHz] STAT,4389.8060,2194.8905,2194.9155,2194.9030,
