STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208419912 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,372260657,404407635,406672859,409774054,398348246,413843725,398365976,418528265,423221047,424202427,421029736,428855683
CPU_CLK_UNHALTED_CORE,FIXC1,208389563,223191653,224652280,226186929,220584208,228502489,222128449,230962732,235478722,233927525,235476668,236749887
CPU_CLK_UNHALTED_REF,FIXC2,461195632,493955728,497187688,500584604,488184568,505708084,491600620,511152092,521143844,517713992,521143384,523960884
UOPS_RETIRED_USED_CYCLES,PMC0,113008987,122160772,122852532,123780770,120686674,125037396,120890781,126428856,128182381,128138578,127814002,129555396
UOPS_RETIRED_STALL_CYCLES,PMC1,95380576,101030881,101799748,102406159,99897534,103465093,101237668,104533876,107296341,105788947,107662666,107194491
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,208389563,223191653,224652280,226186929,220584208,228502489,222128449,230962732,235478722,233927525,235476668,236749887
UOPS_RETIRED_STALL_CYCLES,PMC3,44642724,47291883,47588958,47933869,47167554,48417292,47631427,48891278,49375900,49543222,50267986,50103662
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,4919510310,372260657,428855683,4.099592e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2726231105,208389563,236749887,2.271859e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,6033531120,461195632,523960884,502794260,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1488537125,113008987,129555396,1.240448e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,1237693980,95380576,107662666,103141165,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2726231105,208389563,236749887,2.271859e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,578855755,44642724,50267986,4.823798e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,0.2986,
Runtime unhalted [s],0.0944,0.1011,0.1017,0.1024,0.0999,0.1035,0.1006,0.1046,0.1066,0.1059,0.1066,0.1072,
Clock [MHz],997.8665,997.8645,997.8658,997.8647,997.8655,997.8671,997.8687,997.8687,997.8740,997.8680,997.8662,997.8668,
CPI,0.5598,0.5519,0.5524,0.5520,0.5537,0.5521,0.5576,0.5518,0.5564,0.5515,0.5593,0.5521,
Used cycles ratio [%],54.2297,54.7336,54.6856,54.7250,54.7123,54.7204,54.4238,54.7399,54.4348,54.7770,54.2788,54.7225,
Unused cycles ratio [%],45.7703,45.2664,45.3144,45.2750,45.2877,45.2796,45.5762,45.2601,45.5652,45.2230,45.7212,45.2775,
Avg stall duration [cycles],2.1365,2.1363,2.1391,2.1364,2.1179,2.1369,2.1254,2.1381,2.1731,2.1353,2.1418,2.1395,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,3.5832,0.2986,0.2986,0.2986,,,,,,,,,
Runtime unhalted [s] STAT,1.2345,0.0944,0.1072,0.1029,,,,,,,,,
Clock [MHz] STAT,11974.4065,997.8645,997.8740,997.8672,,,,,,,,,
CPI STAT,6.6506,0.5515,0.5598,0.5542,,,,,,,,,
Used cycles ratio [%] STAT,655.1834,54.2297,54.7770,54.5986,,,,,,,,,
Unused cycles ratio [%] STAT,544.8166,45.2230,45.7703,45.4014,,,,,,,,,
Avg stall duration [cycles] STAT,25.6563,2.1179,2.1731,2.1380,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208419912 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,365206357,399706784,401041211,403511773,394716862,406109591,398764302,409790727,411408962,413742431,408727607,417065794
CPU_CLK_UNHALTED_CORE,FIXC1,205603245,220673422,221599711,222786675,218481882,224301280,220946430,226390532,227156829,228270000,229360259,232009853
CPU_CLK_UNHALTED_REF,FIXC2,455028136,488381356,490430748,493057808,483531852,496410932,488983956,501034852,502729952,505193252,507606872,513470952
L2_LINES_IN_ALL,PMC0,21050,269,255,252,2433,7345,24186,5556,123,598,1863,91117
L2_TRANS_L2_WB,PMC1,1987,27,27,41,157,1835,3096,410,17,97,199,11290
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,4829792401,365206357,417065794,4.024827e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2677580118,205603245,232009853,2.231317e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,5925860668,455028136,513470952,4.938217e+08,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,155047,123,91117,12920.5833,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,19183,17,11290,1598.5833,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,0.2953,
Runtime unhalted [s],0.0931,0.0999,0.1003,0.1009,0.0989,0.1016,0.1000,0.1025,0.1029,0.1034,0.1039,0.1051,
Clock [MHz],997.8686,997.8669,997.8681,997.8678,997.8655,997.8656,997.8702,997.8654,997.8671,997.8677,997.8662,997.8659,
CPI,0.5630,0.5521,0.5526,0.5521,0.5535,0.5523,0.5541,0.5525,0.5521,0.5517,0.5612,0.5563,
L3 load bandwidth [MBytes/s],4.5619,0.0583,0.0553,0.0546,0.5273,1.5918,5.2416,1.2041,0.0267,0.1296,0.4037,19.7468,
L3 load data volume [GBytes],0.0013,1.721600e-05,1.632000e-05,1.612800e-05,0.0002,0.0005,0.0015,0.0004,7.872000e-06,3.827200e-05,0.0001,0.0058,
L3 evict bandwidth [MBytes/s],0.4306,0.0059,0.0059,0.0089,0.0340,0.3977,0.6710,0.0889,0.0037,0.0210,0.0431,2.4468,
L3 evict data volume [GBytes],0.0001,1.728000e-06,1.728000e-06,2.624000e-06,1.004800e-05,0.0001,0.0002,2.624000e-05,1.088000e-06,6.208000e-06,1.273600e-05,0.0007,
L3 bandwidth [MBytes/s],4.9926,0.0641,0.0611,0.0635,0.5613,1.9895,5.9125,1.2929,0.0303,0.1506,0.4469,22.1936,
L3 data volume [GBytes],0.0015,1.894400e-05,1.804800e-05,1.875200e-05,0.0002,0.0006,0.0017,0.0004,8.960000e-06,4.448000e-05,0.0001,0.0066,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,3.5436,0.2953,0.2953,0.2953,,,,,,,,,
Runtime unhalted [s] STAT,1.2125,0.0931,0.1051,0.1010,,,,,,,,,
Clock [MHz] STAT,11974.4050,997.8654,997.8702,997.8671,,,,,,,,,
CPI STAT,6.6535,0.5517,0.5630,0.5545,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,33.6017,0.0267,19.7468,2.8001,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0099,7.872000e-06,0.0058,0.0008,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,4.1575,0.0037,2.4468,0.3465,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0012,1.088000e-06,0.0007,0.0001,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,37.7589,0.0303,22.1936,3.1466,,,,,,,,,
L3 data volume [GBytes] STAT,0.0112,8.960000e-06,0.0066,0.0009,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208419912 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,374645799,377364503,397282861,399656594,391219067,403258494,394650432,405885824,407497375,409692737,404836263,408692249
CPU_CLK_UNHALTED_CORE,FIXC1,206518380,207372209,219527158,220642840,216475048,222110612,218257378,222191256,225031034,226030370,227018495,226552066
CPU_CLK_UNHALTED_REF,FIXC2,457054712,458944760,485846112,488315300,479091932,491563268,483033764,491740460,498026084,500237856,502424696,501391720
MEM_INST_RETIRED_ALL_LOADS,PMC0,196895134,198335535,208804261,210051828,205579534,211945043,207386717,213175454,214172200,215326786,212771875,214635024
MEM_INST_RETIRED_ALL_STORES,PMC1,4072269,4095564,4311716,4337491,4267767,4376519,4303524,4509120,4422917,4446336,4395521,4536083
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,4774682198,374645799,409692737,3.978902e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2637726846,206518380,227018495,2.198106e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,5837670664,457054712,502424696,4.864726e+08,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,2509079391,196895134,215326786,2.090899e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,52074827,4072269,4536083,4.339569e+06,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,0.2970,
Runtime unhalted [s],0.0935,0.0939,0.0994,0.0999,0.0980,0.1006,0.0988,0.1006,0.1019,0.1023,0.1028,0.1026,
Clock [MHz],997.8659,997.8650,997.8636,997.8636,997.8624,997.8644,997.8680,997.8670,997.8654,997.8652,997.8653,997.8667,
CPI,0.5512,0.5495,0.5526,0.5521,0.5533,0.5508,0.5530,0.5474,0.5522,0.5517,0.5608,0.5543,
Load to store ratio,48.3502,48.4269,48.4272,48.4270,48.1703,48.4278,48.1900,47.2765,48.4233,48.4279,48.4065,47.3173,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,3.5640,0.2970,0.2970,0.2970,,,,,,,,,
Runtime unhalted [s] STAT,1.1943,0.0935,0.1028,0.0995,,,,,,,,,
Clock [MHz] STAT,11974.3825,997.8624,997.8680,997.8652,,,,,,,,,
CPI STAT,6.6289,0.5474,0.5608,0.5524,,,,,,,,,
Load to store ratio STAT,578.2709,47.2765,48.4279,48.1892,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208419912 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,374597541,404925196,406274282,408676386,399851681,402306932,413781651,415531296,417210371,419322444,414837041,398334700
CPU_CLK_UNHALTED_CORE,FIXC1,206837836,223721474,224480518,225614836,221284898,227076970,228205408,229274995,230375236,231370404,232466919,225264097
CPU_CLK_UNHALTED_REF,FIXC2,457762652,495127992,496807636,499317856,489735504,502555428,505051296,507417536,509853144,512055624,514482216,498540732
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0,0,0,0,0,0,0,0,0,0,0,0
