STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.20798457 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,8295871704,8222038158,8253608468,
CPU_CLK_UNHALTED_CORE,FIXC1,2398083692,2378823616,2402101170,
CPU_CLK_UNHALTED_REF,FIXC2,4422894848,4387429584,4430331024,
UOPS_RETIRED_USED_CYCLES,PMC0,2220368119,2200996113,2212193411,
UOPS_RETIRED_STALL_CYCLES,PMC1,177715573,177827503,189907826,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2398083692,2378823616,2402101237,
UOPS_RETIRED_STALL_CYCLES,PMC3,47510357,48910022,56759756,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,24771518330,8222038158,8295871704,8.257173e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,7179008478,2378823616,2402101170,2393002826
CPU_CLK_UNHALTED_REF STAT,FIXC2,13240655456,4387429584,4430331024,4.413552e+09
UOPS_RETIRED_USED_CYCLES STAT,PMC0,6633557643,2200996113,2220368119,2211185881
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,545450902,177715573,189907826,1.818170e+08
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,7179008545,2378823616,2402101237,2.393003e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,153180135,47510357,56759756,51060045
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.0979,2.0979,2.0979,,
Runtime unhalted [s],1.0861,1.0774,1.0879,,
Clock [MHz],1197.1643,1197.1487,1197.1571,,
CPI,0.2891,0.2893,0.2910,,
Used cycles ratio [%],92.5893,92.5246,92.0941,,
Unused cycles ratio [%],7.4107,7.4754,7.9059,,
Avg stall duration [cycles],3.7406,3.6358,3.3458,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.2937,2.0979,2.0979,2.0979,
Runtime unhalted [s] STAT,3.2514,1.0774,1.0879,1.0838,
Clock [MHz] STAT,3591.4701,1197.1487,1197.1643,1197.1567,
CPI STAT,0.8694,0.2891,0.2910,0.2898,
Used cycles ratio [%] STAT,277.2080,92.0941,92.5893,92.4027,
Unused cycles ratio [%] STAT,22.7920,7.4107,7.9059,7.5973,
Avg stall duration [cycles] STAT,10.7222,3.3458,3.7406,3.5741,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.20798457 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,8310911525,8259605976,8327339385,
CPU_CLK_UNHALTED_CORE,FIXC1,2393399044,2379044487,2397783411,
CPU_CLK_UNHALTED_REF,FIXC2,4414120348,4387646244,4422210000,
L2_LINES_IN_ALL,PMC0,2544,19427,11312,
L2_TRANS_L2_WB,PMC1,179,922,382,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,24897856886,8259605976,8327339385,8.299286e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,7170226942,2379044487,2397783411,2.390076e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,13223976592,4387646244,4422210000,4.407992e+09
L2_LINES_IN_ALL STAT,PMC0,33283,2544,19427,11094.3333
L2_TRANS_L2_WB STAT,PMC1,1483,179,922,494.3333
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.0965,2.0965,2.0965,,
Runtime unhalted [s],1.0840,1.0775,1.0860,,
Clock [MHz],1197.2007,1197.2008,1197.1998,,
CPI,0.2880,0.2880,0.2879,,
L3 load bandwidth [MBytes/s],0.0777,0.5930,0.3453,,
L3 load data volume [GBytes],0.0002,0.0012,0.0007,,
L3 evict bandwidth [MBytes/s],0.0055,0.0281,0.0117,,
L3 evict data volume [GBytes],1.145600e-05,0.0001,2.444800e-05,,
L3 bandwidth [MBytes/s],0.0831,0.6212,0.3570,,
L3 data volume [GBytes],0.0002,0.0013,0.0007,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,6.2895,2.0965,2.0965,2.0965,
Runtime unhalted [s] STAT,3.2475,1.0775,1.0860,1.0825,
Clock [MHz] STAT,3591.6013,1197.1998,1197.2008,1197.2004,
CPI STAT,0.8639,0.2879,0.2880,0.2880,
L3 load bandwidth [MBytes/s] STAT,1.0160,0.0777,0.5930,0.3387,
L3 load data volume [GBytes] STAT,0.0021,0.0002,0.0012,0.0007,
L3 evict bandwidth [MBytes/s] STAT,0.0453,0.0055,0.0281,0.0151,
L3 evict data volume [GBytes] STAT,0.0001,1.145600e-05,0.0001,4.530133e-05,
L3 bandwidth [MBytes/s] STAT,1.0613,0.0831,0.6212,0.3538,
L3 data volume [GBytes] STAT,0.0022,0.0002,0.0013,0.0007,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.20798457 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,8313523220,8250563675,8331625534,
CPU_CLK_UNHALTED_CORE,FIXC1,2394529601,2377575377,2398736179,
CPU_CLK_UNHALTED_REF,FIXC2,4416202860,4384936292,4423963336,
MEM_INST_RETIRED_ALL_LOADS,PMC0,4417383823,4383927394,4427002593,
MEM_INST_RETIRED_ALL_STORES,PMC1,23093126,22921363,23143379,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,24895712429,8250563675,8331625534,8.298571e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,7170841157,2377575377,2398736179,2.390280e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,13225102488,4384936292,4423963336,4408367496
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,13228313810,4383927394,4427002593,4.409438e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,69157868,22921363,23143379,2.305262e+07
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.0977,2.0977,2.0977,,
Runtime unhalted [s],1.0845,1.0768,1.0864,,
Clock [MHz],1197.2014,1197.2009,1197.2008,,
