STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.206523777 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,4215738348,4224093056,4171742215,4241667789,4230548956,4236005933
CPU_CLK_UNHALTED_CORE,FIXC1,2423235447,2426790142,2403291602,2432211235,2435680066,2438408919
CPU_CLK_UNHALTED_REF,FIXC2,2437715076,2441302156,2418352388,2446741656,2450233056,2452974012
UOPS_RETIRED_USED_CYCLES,PMC0,1297151264,1299354841,1284776602,1305076187,1302520684,1304123159
UOPS_RETIRED_STALL_CYCLES,PMC1,1126084183,1127435301,1118515000,1127135048,1133159382,1134285760
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2423235447,2426790142,2403291602,2432211235,2435680066,2438408919
UOPS_RETIRED_STALL_CYCLES,PMC3,538008182,538778367,533061293,538937646,540828185,541318584
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,25319796297,4171742215,4241667789,4.219966e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14559617411,2403291602,2438408919,2.426603e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,14647318344,2418352388,2452974012,2441219724,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7793002737,1284776602,1305076187,1.298834e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,6766614674,1118515000,1134285760,1.127769e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14559617411,2403291602,2438408919,2.426603e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,3230932257,533061293,541318584,5.384887e+08,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.1994,1.1994,1.1994,1.1994,1.1994,1.1994,
Runtime unhalted [s],1.0982,1.0998,1.0892,1.1023,1.1039,1.1051,
Clock [MHz],2193.4174,2193.4074,2192.7822,2193.4199,2193.4183,2193.4220,
CPI,0.5748,0.5745,0.5761,0.5734,0.5757,0.5756,
Used cycles ratio [%],53.5297,53.5421,53.4590,53.6580,53.4767,53.4825,
Unused cycles ratio [%],46.4703,46.4579,46.5410,46.3420,46.5233,46.5175,
Avg stall duration [cycles],2.0931,2.0926,2.0983,2.0914,2.0952,2.0954,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,7.1964,1.1994,1.1994,1.1994,,,
Runtime unhalted [s] STAT,6.5985,1.0892,1.1051,1.0998,,,
Clock [MHz] STAT,13159.8672,2192.7822,2193.4220,2193.3112,,,
CPI STAT,3.4501,0.5734,0.5761,0.5750,,,
Used cycles ratio [%] STAT,321.1480,53.4590,53.6580,53.5247,,,
Unused cycles ratio [%] STAT,278.8520,46.3420,46.5410,46.4753,,,
Avg stall duration [cycles] STAT,12.5660,2.0914,2.0983,2.0943,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.206523777 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,4209688278,4216091049,4209343662,4215128044,4218064601,4221861970
CPU_CLK_UNHALTED_CORE,FIXC1,2419973882,2422352793,2423072746,2425901128,2428540800,2430586997
CPU_CLK_UNHALTED_REF,FIXC2,2434526816,2436823136,2437550212,2440461276,2443051352,2445105804
L2_LINES_IN_ALL,PMC0,4599,905,935,4538,552,1357
L2_TRANS_L2_WB,PMC1,211,55,155,638,187,145
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,25290177604,4209343662,4221861970,4.215030e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14550428346,2419973882,2430586997,2425071391,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,14637518596,2434526816,2445105804,2.439586e+09,,
L2_LINES_IN_ALL STAT,PMC0,12886,552,4599,2147.6667,,
L2_TRANS_L2_WB STAT,PMC1,1391,55,638,231.8333,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.1972,1.1972,1.1972,1.1972,1.1972,1.1972,
Runtime unhalted [s],1.0967,1.0978,1.0981,1.0994,1.1006,1.1015,
Clock [MHz],2193.3338,2193.4210,2193.4185,2193.3593,2193.4181,2193.4216,
CPI,0.5749,0.5745,0.5756,0.5755,0.5757,0.5757,
L3 load bandwidth [MBytes/s],0.2459,0.0484,0.0500,0.2426,0.0295,0.0725,
L3 load data volume [GBytes],0.0003,0.0001,0.0001,0.0003,3.532800e-05,0.0001,
L3 evict bandwidth [MBytes/s],0.0113,0.0029,0.0083,0.0341,0.0100,0.0078,
L3 evict data volume [GBytes],1.350400e-05,3.520000e-06,9.920000e-06,4.083200e-05,1.196800e-05,9.280000e-06,
L3 bandwidth [MBytes/s],0.2571,0.0513,0.0583,0.2767,0.0395,0.0803,
L3 data volume [GBytes],0.0003,0.0001,0.0001,0.0003,4.729600e-05,0.0001,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,7.1832,1.1972,1.1972,1.1972,,,
Runtime unhalted [s] STAT,6.5941,1.0967,1.1015,1.0990,,,
Clock [MHz] STAT,13160.3723,2193.3338,2193.4216,2193.3954,,,
CPI STAT,3.4519,0.5745,0.5757,0.5753,,,
L3 load bandwidth [MBytes/s] STAT,0.6889,0.0295,0.2459,0.1148,,,
L3 load data volume [GBytes] STAT,0.0009,3.532800e-05,0.0003,0.0002,,,
L3 evict bandwidth [MBytes/s] STAT,0.0744,0.0029,0.0341,0.0124,,,
L3 evict data volume [GBytes] STAT,0.0001,3.520000e-06,4.083200e-05,1.483733e-05,,,
L3 bandwidth [MBytes/s] STAT,0.7632,0.0395,0.2767,0.1272,,,
L3 data volume [GBytes] STAT,0.0009,4.729600e-05,0.0003,0.0002,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.206523777 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
