STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208056525 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,749039483,752226519,753013815,756568796,754699633,754255791
CPU_CLK_UNHALTED_CORE,FIXC1,220346376,221040684,220805803,224302572,221300605,221601860
CPU_CLK_UNHALTED_REF,FIXC2,221674828,222590228,222126824,226364252,222624636,222966416
UOPS_RETIRED_USED_CYCLES,PMC0,200926231,201671601,201870670,203200034,202312293,202253058
UOPS_RETIRED_STALL_CYCLES,PMC1,19420145,19369083,18935133,21102538,18988312,19348802
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,220346376,221040684,220805803,224302572,221300605,221601860
UOPS_RETIRED_STALL_CYCLES,PMC3,6296227,5979903,5990950,6288887,5977932,6184693
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,4519804037,749039483,756568796,7.533007e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1329397900,220346376,224302572,2.215663e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,1338347184,221674828,226364252,223057864,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1212233887,200926231,203200034,2.020390e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,117164013,18935133,21102538,1.952734e+07,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,1329397900,220346376,224302572,2.215663e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,36718592,5977932,6296227,6.119765e+06,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.2007,0.2007,0.2007,0.2007,0.2007,0.2007,
Runtime unhalted [s],0.0998,0.1001,0.1000,0.1016,0.1002,0.1004,
Clock [MHz],2194.8241,2192.6853,2194.9249,2187.9460,2194.9244,2194.5432,
CPI,0.2942,0.2938,0.2932,0.2965,0.2932,0.2938,
Used cycles ratio [%],91.1865,91.2373,91.4245,90.5919,91.4197,91.2687,
Unused cycles ratio [%],8.8135,8.7627,8.5755,9.4081,8.5803,8.7313,
Avg stall duration [cycles],3.0844,3.2390,3.1606,3.3555,3.1764,3.1285,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,1.2042,0.2007,0.2007,0.2007,,,
Runtime unhalted [s] STAT,0.6021,0.0998,0.1016,0.1003,,,
Clock [MHz] STAT,13159.8479,2187.9460,2194.9249,2193.3080,,,
CPI STAT,1.7647,0.2932,0.2965,0.2941,,,
Used cycles ratio [%] STAT,547.1286,90.5919,91.4245,91.1881,,,
Unused cycles ratio [%] STAT,52.8714,8.5755,9.4081,8.8119,,,
Avg stall duration [cycles] STAT,19.1444,3.0844,3.3555,3.1907,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208056525 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,748432864,756466785,751514684,752334936,752792015,761508175
CPU_CLK_UNHALTED_CORE,FIXC1,220013764,223628521,220321506,220485136,220659623,227204338
CPU_CLK_UNHALTED_REF,FIXC2,221339120,225946940,221639500,221804456,221980176,229554536
L2_LINES_IN_ALL,PMC0,2291,56777,100,21,12,65794
L2_TRANS_L2_WB,PMC1,73,7262,3,3,1,15332
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,4523049459,748432864,761508175,7.538416e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1332312888,220013764,227204338,222052148,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,1342264728,221339120,229554536,223710788,,
L2_LINES_IN_ALL STAT,PMC0,124995,12,65794,20832.5000,,
L2_TRANS_L2_WB STAT,PMC1,22674,1,15332,3779,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.1987,0.1987,0.1987,0.1987,0.1987,0.1987,
Runtime unhalted [s],0.0996,0.1013,0.0998,0.0999,0.0999,0.1029,
Clock [MHz],2194.8349,2185.3999,2194.9262,2194.9227,2194.9209,2185.4503,
CPI,0.2940,0.2956,0.2932,0.2931,0.2931,0.2984,
L3 load bandwidth [MBytes/s],0.7378,18.2842,0.0322,0.0068,0.0039,21.1880,
L3 load data volume [GBytes],0.0001,0.0036,6.400000e-06,1.344000e-06,7.680000e-07,0.0042,
L3 evict bandwidth [MBytes/s],0.0235,2.3386,0.0010,0.0010,0.0003,4.9375,
L3 evict data volume [GBytes],4.672000e-06,0.0005,1.920000e-07,1.920000e-07,6.400000e-08,0.0010,
L3 bandwidth [MBytes/s],0.7613,20.6229,0.0332,0.0077,0.0042,26.1255,
L3 data volume [GBytes],0.0002,0.0041,6.592000e-06,1.536000e-06,8.320000e-07,0.0052,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,1.1922,0.1987,0.1987,0.1987,,,
Runtime unhalted [s] STAT,0.6034,0.0996,0.1029,0.1006,,,
Clock [MHz] STAT,13150.4549,2185.3999,2194.9262,2191.7425,,,
CPI STAT,1.7674,0.2931,0.2984,0.2946,,,
L3 load bandwidth [MBytes/s] STAT,40.2529,0.0039,21.1880,6.7088,,,
L3 load data volume [GBytes] STAT,0.0079,7.680000e-07,0.0042,0.0013,,,
L3 evict bandwidth [MBytes/s] STAT,7.3019,0.0003,4.9375,1.2170,,,
L3 evict data volume [GBytes] STAT,0.0015,6.400000e-08,0.0010,0.0003,,,
L3 bandwidth [MBytes/s] STAT,47.5548,0.0042,26.1255,7.9258,,,
L3 data volume [GBytes] STAT,0.0095,8.320000e-07,0.0052,0.0016,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208056525 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,747906829,749243796,748879278,752880920,753345647,753672570
CPU_CLK_UNHALTED_CORE,FIXC1,220274882,220318691,220488991,220701427,220901556,221131555
