STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206850143 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1809563641,2143828768,1964924076,1981850921,1998670383,1988410306,2011623204,2200404844,1982472623,2027468079,2018302512,2031313234
CPU_CLK_UNHALTED_CORE,FIXC1,1117911135,1180751338,1217761714,1224758164,1232783387,1230728801,1244549038,1217788900,1243305412,1257647815,1255288710,1262210555
CPU_CLK_UNHALTED_REF,FIXC2,2061747968,2177649384,2245904920,2258803964,2273603360,2269819584,2295481972,2246167764,2293038360,2319676776,2315231888,2329508632
UOPS_RETIRED_USED_CYCLES,PMC0,549263552,648083269,597330974,601541189,606590349,603567121,610616524,665917389,603562801,615708055,613406359,617091568
UOPS_RETIRED_STALL_CYCLES,PMC1,568647583,532668069,620430740,623216975,626193038,627161680,633932514,551871511,639742611,641939760,641882351,645119443
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1117911135,1180751338,1217761714,1224758164,1232783387,1230728801,1244549038,1217788900,1243305412,1257647815,1255288710,1262211011
UOPS_RETIRED_STALL_CYCLES,PMC3,212896044,250495725,232152737,232683110,233860195,232909484,236425878,257774885,235549572,238381786,237549308,238073197
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,24158832591,1809563641,2200404844,2.013236e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14685484969,1117911135,1262210555,1.223790e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,27086634572,2061747968,2329508632,2.257220e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7332679150,549263552,665917389,6.110566e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,7352806275,532668069,645119443,6.127339e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,14685485425,1117911135,1262211011,1.223790e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2838751921,212896044,257774885,2.365627e+08,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,
Runtime unhalted [s],0.5066,0.5350,0.5518,0.5550,0.5586,0.5577,0.5639,0.5518,0.5634,0.5699,0.5688,0.5720,
Clock [MHz],1196.5877,1196.5844,1196.5857,1196.5880,1196.5887,1196.5859,1196.4952,1196.4723,1196.5734,1196.4772,1196.5255,1195.7498,
CPI,0.6178,0.5508,0.6198,0.6180,0.6168,0.6190,0.6187,0.5534,0.6271,0.6203,0.6220,0.6214,
Used cycles ratio [%],49.1330,54.8874,49.0515,49.1151,49.2049,49.0414,49.0633,54.6825,48.5450,48.9571,48.8658,48.8897,
Unused cycles ratio [%],50.8670,45.1126,50.9485,50.8849,50.7951,50.9586,50.9367,45.3175,51.4550,51.0429,51.1342,51.1103,
Avg stall duration [cycles],2.6710,2.1265,2.6725,2.6784,2.6776,2.6927,2.6813,2.1409,2.7160,2.6929,2.7021,2.7098,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,11.9148,0.9929,0.9929,0.9929,,,,,,,,,
Runtime unhalted [s] STAT,6.6545,0.5066,0.5720,0.5545,,,,,,,,,
Clock [MHz] STAT,14357.8138,1195.7498,1196.5887,1196.4845,,,,,,,,,
CPI STAT,7.3051,0.5508,0.6271,0.6088,,,,,,,,,
Used cycles ratio [%] STAT,599.4367,48.5450,54.8874,49.9531,,,,,,,,,
Unused cycles ratio [%] STAT,600.5633,45.1126,51.4550,50.0469,,,,,,,,,
Avg stall duration [cycles] STAT,31.1617,2.1265,2.7160,2.5968,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206850143 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1787836797,2140677883,1933867783,1953671007,1958790636,1958055185,1972946322,2072032448,1940650290,1974500523,1989878794,1994261682
CPU_CLK_UNHALTED_CORE,FIXC1,1104442932,1171132336,1193689551,1198361546,1202932229,1202918238,1212276613,1150591769,1207213906,1216124759,1226011955,1226441993
CPU_CLK_UNHALTED_REF,FIXC2,2036909164,2159958336,2201509400,2210120876,2218550928,2218530504,2236022556,2122122600,2226481236,2242887412,2261248588,2262200696
L2_LINES_IN_ALL,PMC0,1498,79775,1960,1645,1710,3316,22288,179473,158682,43259,99273,45338
L2_TRANS_L2_WB,PMC1,109,21778,184,184,243,271,1066,44909,17855,6057,16687,5093
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,23677169350,1787836797,2140677883,1.973097e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14312137827,1104442932,1226441993,1.192678e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,26396542296,2036909164,2262200696,2199711858,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,638217,1498,179473,53184.7500,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,114436,109,44909,9536.3333,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,0.9890,
Runtime unhalted [s],0.5005,0.5307,0.5409,0.5430,0.5451,0.5451,0.5493,0.5214,0.5470,0.5511,0.5555,0.5557,
Clock [MHz],1196.5875,1196.5571,1196.5854,1196.5881,1196.5879,1196.5850,1196.4606,1196.5301,1196.5698,1196.5849,1196.5180,1196.4339,
CPI,0.6178,0.5471,0.6173,0.6134,0.6141,0.6143,0.6144,0.5553,0.6221,0.6159,0.6161,0.6150,
L3 load bandwidth [MBytes/s],0.0969,5.1624,0.1268,0.1065,0.1107,0.2146,1.4423,11.6141,10.2686,2.7994,6.4242,2.9339,
L3 load data volume [GBytes],0.0001,0.0051,0.0001,0.0001,0.0001,0.0002,0.0014,0.0115,0.0102,0.0028,0.0064,0.0029,
L3 evict bandwidth [MBytes/s],0.0071,1.4093,0.0119,0.0119,0.0157,0.0175,0.0690,2.9062,1.1554,0.3920,1.0798,0.3296,
L3 evict data volume [GBytes],6.976000e-06,0.0014,1.177600e-05,1.177600e-05,1.555200e-05,1.734400e-05,0.0001,0.0029,0.0011,0.0004,0.0011,0.0003,
L3 bandwidth [MBytes/s],0.1040,6.5717,0.1387,0.1184,0.1264,0.2321,1.5113,14.5202,11.4241,3.1913,7.5040,3.2635,
L3 data volume [GBytes],0.0001,0.0065,0.0001,0.0001,0.0001,0.0002,0.0015,0.0144,0.0113,0.0032,0.0074,0.0032,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,11.8680,0.9890,0.9890,0.9890,,,,,,,,,
Runtime unhalted [s] STAT,6.4853,0.5005,0.5557,0.5404,,,,,,,,,
Clock [MHz] STAT,14358.5883,1196.4339,1196.5881,1196.5490,,,,,,,,,
CPI STAT,7.2628,0.5471,0.6221,0.6052,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,41.3004,0.0969,11.6141,3.4417,,,,,,,,,
L3 load data volume [GBytes] STAT,0.0409,0.0001,0.0115,0.0034,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,7.4054,0.0071,2.9062,0.6171,,,,,,,,,
L3 evict data volume [GBytes] STAT,0.0074,6.976000e-06,0.0029,0.0006,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,48.7057,0.1040,14.5202,4.0588,,,,,,,,,
L3 data volume [GBytes] STAT,0.0481,0.0001,0.0144,0.0040,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206850143 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1791583779,2130371489,1919083674,1939768290,1939274061,1942395377,1959261928,2077830316,1947783596,1962502602,1967501105,1982763606
CPU_CLK_UNHALTED_CORE,FIXC1,1108111550,1167560535,1192278211,1197053394,1201517095,1200737996,1210950937,1149909113,1212532015,1215841609,1224799102,1225955081
CPU_CLK_UNHALTED_REF,FIXC2,2043720292,2153348044,2198905708,2207707164,2215940336,2214510288,2233509300,2120765324,2236252280,2242364760,2258923380,2261333044
MEM_INST_RETIRED_ALL_LOADS,PMC0,941356243,1119600307,1008381730,1019251414,1018990572,1020591346,1029482836,1088625037,1023417205,1031015383,1033542009,1041747081
MEM_INST_RETIRED_ALL_STORES,PMC1,19360751,23165704,20720780,20944511,20939413,20995767,21163799,23816991,21058172,21317468,21432540,21484045
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,23560119823,1791583779,2130371489,1.963343e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,14307246638,1108111550,1225955081,1.192271e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,26387279920,2043720292,2261333044,2.198940e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,12376001163,941356243,1119600307,1.031333e+09,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,256399941,19360751,23816991,2.136666e+07,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,0.9937,
Runtime unhalted [s],0.5021,0.5291,0.5403,0.5424,0.5444,0.5441,0.5487,0.5211,0.5494,0.5509,0.5550,0.5555,
Clock [MHz],1196.5611,1196.5698,1196.5858,1196.5887,1196.5883,1196.5846,1196.4970,1196.5855,1196.5897,1196.5851,1196.5647,1196.4178,
CPI,0.6185,0.5481,0.6213,0.6171,0.6196,0.6182,0.6181,0.5534,0.6225,0.6195,0.6225,0.6183,
Load to store ratio,48.6219,48.3301,48.6652,48.6644,48.6638,48.6094,48.6436,45.7079,48.5995,48.3648,48.2230,48.4893,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,11.9244,0.9937,0.9937,0.9937,,,,,,,,,
Runtime unhalted [s] STAT,6.4830,0.5021,0.5555,0.5403,,,,,,,,,
Clock [MHz] STAT,14358.7181,1196.4178,1196.5897,1196.5598,,,,,,,,,
CPI STAT,7.2971,0.5481,0.6225,0.6081,,,,,,,,,
Load to store ratio STAT,579.5829,45.7079,48.6652,48.2986,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206850143 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1778016106,2101909573,1910942675,1945400588,1950718785,1948748242,1969695905,2162159873,1948404672,1966189555,1955313761,2004019618
CPU_CLK_UNHALTED_CORE,FIXC1,1104874035,1165519137,1189133156,1197944942,1204306518,1203785155,1212885108,1193145136,1214070035,1218558977,1221076499,1234802461
