STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.206998313 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,3719894270,10999772,,
CPU_CLK_UNHALTED_CORE,FIXC1,1095570959,10644982,,
CPU_CLK_UNHALTED_REF,FIXC2,1985384656,21767016,,
UOPS_RETIRED_USED_CYCLES,PMC0,998106186,4463817,,
UOPS_RETIRED_STALL_CYCLES,PMC1,97478665,6181165,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1095584851,10644982,,
UOPS_RETIRED_STALL_CYCLES,PMC3,31960911,1263931,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3730894042,10999772,3719894270,1865447021
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1106215941,10644982,1095570959,5.531080e+08
CPU_CLK_UNHALTED_REF STAT,FIXC2,2007151672,21767016,1985384656,1003575836
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1002570003,4463817,998106186,5.012850e+08
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,103659830,6181165,97478665,51829915
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,1106229833,10644982,1095584851,5.531149e+08
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,33224842,1263931,31960911,16612421
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],1.0005,1.0005,,,
Runtime unhalted [s],0.4964,0.0048,,,
Clock [MHz],1217.8614,1079.3146,,,
CPI,0.2945,0.9677,,,
Used cycles ratio [%],91.1026,41.9335,,,
Unused cycles ratio [%],8.8974,58.0665,,,
Avg stall duration [cycles],3.0499,4.8904,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,2.0010,1.0005,1.0005,1.0005,
Runtime unhalted [s] STAT,0.5012,0.0048,0.4964,0.2506,
Clock [MHz] STAT,2297.1760,1079.3146,1217.8614,1148.5880,
CPI STAT,1.2622,0.2945,0.9677,0.6311,
Used cycles ratio [%] STAT,133.0361,41.9335,91.1026,66.5181,
Unused cycles ratio [%] STAT,66.9639,8.8974,58.0665,33.4819,
Avg stall duration [cycles] STAT,7.9403,3.0499,4.8904,3.9701,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.206998313 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,3690774715,2196456,,
CPU_CLK_UNHALTED_CORE,FIXC1,1084357491,3513679,,
CPU_CLK_UNHALTED_REF,FIXC2,1984618480,6766324,,
L2_LINES_IN_ALL,PMC0,4284,128189,,
L2_TRANS_L2_WB,PMC1,469,16847,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3692971171,2196456,3690774715,1.846486e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1087871170,3513679,1084357491,543935585
CPU_CLK_UNHALTED_REF STAT,FIXC2,1991384804,6766324,1984618480,995692402
L2_LINES_IN_ALL STAT,PMC0,132473,4284,128189,66236.5000
L2_TRANS_L2_WB STAT,PMC1,17316,469,16847,8658
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.9990,0.9990,,,
Runtime unhalted [s],0.4913,0.0016,,,
Clock [MHz],1205.8616,1146.0704,,,
CPI,0.2938,1.5997,,,
L3 load bandwidth [MBytes/s],0.2744,8.2122,,,
L3 load data volume [GBytes],0.0003,0.0082,,,
L3 evict bandwidth [MBytes/s],0.0300,1.0793,,,
L3 evict data volume [GBytes],3.001600e-05,0.0011,,,
L3 bandwidth [MBytes/s],0.3045,9.2915,,,
L3 data volume [GBytes],0.0003,0.0093,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.9980,0.9990,0.9990,0.9990,
Runtime unhalted [s] STAT,0.4929,0.0016,0.4913,0.2465,
Clock [MHz] STAT,2351.9320,1146.0704,1205.8616,1175.9660,
CPI STAT,1.8935,0.2938,1.5997,0.9467,
L3 load bandwidth [MBytes/s] STAT,8.4866,0.2744,8.2122,4.2433,
L3 load data volume [GBytes] STAT,0.0085,0.0003,0.0082,0.0043,
L3 evict bandwidth [MBytes/s] STAT,1.1093,0.0300,1.0793,0.5546,
L3 evict data volume [GBytes] STAT,0.0011,3.001600e-05,0.0011,0.0006,
L3 bandwidth [MBytes/s] STAT,9.5960,0.3045,9.2915,4.7980,
L3 data volume [GBytes] STAT,0.0096,0.0003,0.0093,0.0048,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.206998313 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,3693481062,1205550,,
CPU_CLK_UNHALTED_CORE,FIXC1,1084443618,2088251,,
CPU_CLK_UNHALTED_REF,FIXC2,1985564424,4194096,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,1955372290,375501,,
MEM_INST_RETIRED_ALL_STORES,PMC1,20277950,187813,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3694686612,1205550,3693481062,1847343306
CPU_CLK_UNHALTED_CORE STAT,FIXC1,1086531869,2088251,1084443618,5.432659e+08
CPU_CLK_UNHALTED_REF STAT,FIXC2,1989758520,4194096,1985564424,994879260
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1955747791,375501,1955372290,9.778739e+08
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,20465763,187813,20277950,1.023288e+07
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.9993,0.9993,,,
Runtime unhalted [s],0.4914,0.0009,,,
Clock [MHz],1205.3828,1098.8700,,,
CPI,0.2936,1.7322,,,
Load to store ratio,96.4285,1.9993,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.9986,0.9993,0.9993,0.9993,
Runtime unhalted [s] STAT,0.4923,0.0009,0.4914,0.2462,
Clock [MHz] STAT,2304.2528,1098.8700,1205.3828,1152.1264,
CPI STAT,2.0258,0.2936,1.7322,1.0129,
