STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20762776992
CPU_CLK_UNHALTED_CORE,FIXC1,9666639833
CPU_CLK_UNHALTED_REF,FIXC2,17828061852
UOPS_RETIRED_USED_CYCLES,PMC0,5876686514
UOPS_RETIRED_STALL_CYCLES,PMC1,3789953319
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,9666639833
UOPS_RETIRED_STALL_CYCLES,PMC3,941990372
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],8.2024,
Runtime unhalted [s],4.3781,
Clock [MHz],1197.1869,
CPI,0.4656,
Used cycles ratio [%],60.7935,
Unused cycles ratio [%],39.2065,
Avg stall duration [cycles],4.0233,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20980233666
CPU_CLK_UNHALTED_CORE,FIXC1,9662395464
CPU_CLK_UNHALTED_REF,FIXC2,17820237988
L2_LINES_IN_ALL,PMC0,701622817
L2_TRANS_L2_WB,PMC1,688242417
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],8.2017,
Runtime unhalted [s],4.3762,
Clock [MHz],1197.1866,
CPI,0.4605,
L3 load bandwidth [MBytes/s],5474.9271,
L3 load data volume [GBytes],44.9039,
L3 evict bandwidth [MBytes/s],5370.5167,
L3 evict data volume [GBytes],44.0475,
L3 bandwidth [MBytes/s],10845.4438,
L3 data volume [GBytes],88.9514,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20668524475
CPU_CLK_UNHALTED_CORE,FIXC1,9663148046
CPU_CLK_UNHALTED_REF,FIXC2,17821627004
MEM_INST_RETIRED_ALL_LOADS,PMC0,11022969481
MEM_INST_RETIRED_ALL_STORES,PMC1,72107
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],8.2020,
Runtime unhalted [s],4.3765,
Clock [MHz],1197.1866,
CPI,0.4675,
Load to store ratio,152869.6171,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,21010478082
CPU_CLK_UNHALTED_CORE,FIXC1,9662601978
CPU_CLK_UNHALTED_REF,FIXC2,17820614360
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],8.2020,
Runtime unhalted [s],4.3763,
Clock [MHz],1197.1869,
CPI,0.4599,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20573061794
CPU_CLK_UNHALTED_CORE,FIXC1,9662654307
CPU_CLK_UNHALTED_REF,FIXC2,17820712064
L2_TRANS_ALL_REQUESTS,PMC0,3135979094
L2_RQSTS_MISS,PMC1,1062969402
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],8.2021,
Runtime unhalted [s],4.3763,
Clock [MHz],1197.1868,
CPI,0.4697,
L2 request rate,0.1524,
L2 miss rate,0.0517,
L2 miss ratio,0.3390,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20956130432
CPU_CLK_UNHALTED_CORE,FIXC1,9662298524
CPU_CLK_UNHALTED_REF,FIXC2,17820062636
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,1596056046
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,9650553128
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,3874716176
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,1614571860
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],8.2022,
Runtime unhalted [s],4.3761,
Clock [MHz],1197.1864,
CPI,0.4611,
Cycles without execution [%],16.7100,
Cycles without execution due to L1D [%],40.1014,
Cycles without execution due to L2 [%],16.5184,
Cycles without execution due to memory loads [%],99.8784,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20754402502
CPU_CLK_UNHALTED_CORE,FIXC1,9715556638
CPU_CLK_UNHALTED_REF,FIXC2,17918281928
ITLB_MISSES_CAUSES_A_WALK,PMC0,7316
ITLB_MISSES_WALK_ACTIVE,PMC1,699353
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],8.2019,
Runtime unhalted [s],4.4002,
Clock [MHz],1197.1867,
CPI,0.4681,
L1 ITLB misses,7316,
L1 ITLB miss rate,3.525035e-07,
L1 ITLB miss duration [Cyc],95.5923,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207956681 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,20826889175
CPU_CLK_UNHALTED_CORE,FIXC1,9662683825
CPU_CLK_UNHALTED_REF,FIXC2,17820768184
DRAM_READS,MBOX0C1,909878915
DRAM_WRITES,MBOX0C2,77799005
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],8.2021,
Runtime unhalted [s],4.3763,
Clock [MHz],1197.1867,
CPI,0.4640,
Memory load bandwidth [MBytes/s],7099.7009,
Memory load data volume [GBytes],58.2323,
