STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207952057 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,10563868484,10409876786,,
CPU_CLK_UNHALTED_CORE,FIXC1,6774056572,6782476076,,
CPU_CLK_UNHALTED_REF,FIXC2,8818808764,8829869556,,
UOPS_RETIRED_USED_CYCLES,PMC0,3882281051,3830718814,,
UOPS_RETIRED_STALL_CYCLES,PMC1,2891775521,2951757723,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,6774056572,6782476537,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1233891679,1245693429,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,20973745270,10409876786,10563868484,10486872635
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13556532648,6774056572,6782476076,6778266324
CPU_CLK_UNHALTED_REF STAT,FIXC2,17648678320,8818808764,8829869556,8824339160
UOPS_RETIRED_USED_CYCLES STAT,PMC0,7712999865,3830718814,3882281051,3.856500e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,5843533244,2891775521,2951757723,2921766622
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,13556533109,6774056572,6782476537,6.778267e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2479585108,1233891679,1245693429,1239792554
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],4.0991,4.0991,,,
Runtime unhalted [s],3.0680,3.0718,,,
Clock [MHz],1696.0105,1695.9913,,,
CPI,0.6412,0.6515,,,
Used cycles ratio [%],57.3110,56.4796,,,
Unused cycles ratio [%],42.6890,43.5204,,,
Avg stall duration [cycles],2.3436,2.3696,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.1982,4.0991,4.0991,4.0991,
Runtime unhalted [s] STAT,6.1398,3.0680,3.0718,3.0699,
Clock [MHz] STAT,3392.0018,1695.9913,1696.0105,1696.0009,
CPI STAT,1.2927,0.6412,0.6515,0.6463,
Used cycles ratio [%] STAT,113.7906,56.4796,57.3110,56.8953,
Unused cycles ratio [%] STAT,86.2094,42.6890,43.5204,43.1047,
Avg stall duration [cycles] STAT,4.7132,2.3436,2.3696,2.3566,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207952057 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,10478371078,10430391942,,
CPU_CLK_UNHALTED_CORE,FIXC1,6772610110,6776605862,,
CPU_CLK_UNHALTED_REF,FIXC2,8816927640,8822127756,,
L2_LINES_IN_ALL,PMC0,350379932,348975121,,
L2_TRANS_L2_WB,PMC1,348383277,346939702,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,20908763020,10430391942,10478371078,10454381510
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13549215972,6772610110,6776605862,6774607986
CPU_CLK_UNHALTED_REF STAT,FIXC2,17639055396,8816927640,8822127756,8819527698
L2_LINES_IN_ALL STAT,PMC0,699355053,348975121,350379932,3.496775e+08
L2_TRANS_L2_WB STAT,PMC1,695322979,346939702,348383277,3.476615e+08
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],4.0978,4.0978,,,
Runtime unhalted [s],3.0674,3.0692,,,
Clock [MHz],1696.0101,1696.0104,,,
CPI,0.6463,0.6497,,,
L3 load bandwidth [MBytes/s],5472.2812,5450.3407,,,
L3 load data volume [GBytes],22.4243,22.3344,,,
L3 evict bandwidth [MBytes/s],5441.0972,5418.5512,,,
L3 evict data volume [GBytes],22.2965,22.2041,,,
L3 bandwidth [MBytes/s],10913.3784,10868.8919,,,
L3 data volume [GBytes],44.7208,44.5385,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.1956,4.0978,4.0978,4.0978,
Runtime unhalted [s] STAT,6.1366,3.0674,3.0692,3.0683,
Clock [MHz] STAT,3392.0205,1696.0101,1696.0104,1696.0102,
CPI STAT,1.2960,0.6463,0.6497,0.6480,
L3 load bandwidth [MBytes/s] STAT,10922.6219,5450.3407,5472.2812,5461.3110,
L3 load data volume [GBytes] STAT,44.7587,22.3344,22.4243,22.3793,
L3 evict bandwidth [MBytes/s] STAT,10859.6484,5418.5512,5441.0972,5429.8242,
L3 evict data volume [GBytes] STAT,44.5006,22.2041,22.2965,22.2503,
L3 bandwidth [MBytes/s] STAT,21782.2703,10868.8919,10913.3784,10891.1352,
L3 data volume [GBytes] STAT,89.2593,44.5385,44.7208,44.6296,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207952057 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,10312749975,10500806796,,
CPU_CLK_UNHALTED_CORE,FIXC1,6774485977,6778411257,,
CPU_CLK_UNHALTED_REF,FIXC2,8819366652,8824477988,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,5499715694,5600422395,,
MEM_INST_RETIRED_ALL_STORES,PMC1,350,308,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,20813556771,10312749975,10500806796,1.040678e+10
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13552897234,6774485977,6778411257,6776448617
CPU_CLK_UNHALTED_REF STAT,FIXC2,17643844640,8819366652,8824477988,8821922320
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,11100138089,5499715694,5600422395,5.550069e+09
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,658,308,350,329
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],4.0990,4.0990,,,
Runtime unhalted [s],3.0682,3.0700,,,
Clock [MHz],1696.0107,1696.0105,,,
CPI,0.6569,0.6455,,,
Load to store ratio,1.571347e+07,1.818319e+07,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.1980,4.0990,4.0990,4.0990,
Runtime unhalted [s] STAT,6.1382,3.0682,3.0700,3.0691,
