STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208353945 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,233249249,263633577,268916427,282402461,262982996,256080194,263923642,275509639,286636520,261024729,259039174,275457565
CPU_CLK_UNHALTED_CORE,FIXC1,364119953,442159616,458261608,399142390,366941334,351569299,462906620,466093050,482048699,371181665,368358303,374166623
CPU_CLK_UNHALTED_REF,FIXC2,805852012,978563520,1014201284,883366520,812099548,778075372,1024481640,1031532612,1066844420,821480236,815232332,828086296
UOPS_RETIRED_USED_CYCLES,PMC0,73678437,84212413,86232117,89857088,81851707,80181428,84805455,88188374,92090332,81719222,80823630,86140161
UOPS_RETIRED_STALL_CYCLES,PMC1,290441516,357947203,372029491,309285302,285089627,271387871,378101165,377904676,389958367,289462443,287534673,288026462
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,364119953,442159616,458261608,399142390,366941334,351569299,462906620,466093050,482048699,371181665,368358303,374166623
UOPS_RETIRED_STALL_CYCLES,PMC3,25914185,29949099,30949388,29638417,27551165,28254485,30241119,31454451,32829837,28685984,28160516,30147542
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3188856173,233249249,286636520,2.657380e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,4906949160,351569299,482048699,408912430,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,10859815792,778075372,1066844420,9.049846e+08,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1009780364,73678437,92090332,8.414836e+07,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,3897168796,271387871,389958367,3.247641e+08,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,4906949160,351569299,482048699,408912430,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,353776188,25914185,32829837,29481349,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,0.4957,
Runtime unhalted [s],0.1649,0.2002,0.2075,0.1807,0.1662,0.1592,0.2096,0.2111,0.2183,0.1681,0.1668,0.1694,
Clock [MHz],997.8330,997.8350,997.8333,997.8278,997.8288,997.8332,997.8331,997.8341,997.8345,997.8335,997.8327,997.8336,
CPI,1.5611,1.6772,1.7041,1.4134,1.3953,1.3729,1.7539,1.6917,1.6817,1.4220,1.4220,1.3583,
Used cycles ratio [%],20.2347,19.0457,18.8172,22.5125,22.3065,22.8067,18.3202,18.9208,19.1039,22.0160,21.9416,23.0219,
Unused cycles ratio [%],79.7653,80.9543,81.1828,77.4875,77.6935,77.1933,81.6798,81.0792,80.8961,77.9840,78.0584,76.9781,
Avg stall duration [cycles],11.2078,11.9519,12.0206,10.4353,10.3476,9.6051,12.5029,12.0143,11.8782,10.0907,10.2106,9.5539,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,5.9484,0.4957,0.4957,0.4957,,,,,,,,,
Runtime unhalted [s] STAT,2.2220,0.1592,0.2183,0.1852,,,,,,,,,
Clock [MHz] STAT,11973.9926,997.8278,997.8350,997.8327,,,,,,,,,
CPI STAT,18.4536,1.3583,1.7539,1.5378,,,,,,,,,
Used cycles ratio [%] STAT,249.0477,18.3202,23.0219,20.7540,,,,,,,,,
Unused cycles ratio [%] STAT,950.9523,76.9781,81.6798,79.2460,,,,,,,,,
Avg stall duration [cycles] STAT,131.8189,9.5539,12.5029,10.9849,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208353945 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,244075599,240094578,252352639,243089895,261556974,254166442,247304225,254652240,269757766,244440735,243856775,257698932
CPU_CLK_UNHALTED_CORE,FIXC1,372193375,416230509,433181843,437257646,373765200,344703409,440296979,442724176,457204623,348780190,345391691,352309858
CPU_CLK_UNHALTED_REF,FIXC2,823716020,921177232,958694648,967714144,827170620,762878996,974438516,979810396,1011859056,771898584,764400032,779708188
L2_LINES_IN_ALL,PMC0,7686213,7773920,8201823,7867316,8302262,8544120,8169179,8458790,8757372,8277376,8159000,8770666
L2_TRANS_L2_WB,PMC1,7396203,7479922,8123322,7723544,7775157,8339424,7982679,8171623,8658613,8121555,7960727,8512526
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3013046800,240094578,269757766,2.510872e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,4764039499,344703409,457204623,3.970033e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,10543466432,762878996,1011859056,8.786222e+08,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,98968037,7686213,8770666,8.247336e+06,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,96245295,7396203,8658613,8.020441e+06,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,0.4927,
Runtime unhalted [s],0.1685,0.1885,0.1962,0.1980,0.1693,0.1561,0.1994,0.2005,0.2070,0.1579,0.1564,0.1595,
Clock [MHz],997.8375,997.8365,997.8347,997.8356,997.8665,997.8347,997.8378,997.8376,997.8362,997.8385,997.8376,997.8411,
CPI,1.5249,1.7336,1.7166,1.7987,1.4290,1.3562,1.7804,1.7385,1.6949,1.4268,1.4164,1.3671,
L3 load bandwidth [MBytes/s],998.5114,1009.9054,1065.4940,1022.0384,1078.5419,1109.9616,1061.2532,1098.8764,1137.6650,1075.3090,1059.9309,1139.3920,
L3 load data volume [GBytes],0.4919,0.4975,0.5249,0.5035,0.5313,0.5468,0.5228,0.5414,0.5605,0.5298,0.5222,0.5613,
L3 evict bandwidth [MBytes/s],960.8364,971.7122,1055.2960,1003.3610,1010.0660,1083.3696,1037.0251,1061.5707,1124.8353,1055.0664,1034.1733,1105.8572,
L3 evict data volume [GBytes],0.4734,0.4787,0.5199,0.4943,0.4976,0.5337,0.5109,0.5230,0.5542,0.5198,0.5095,0.5448,
L3 bandwidth [MBytes/s],1959.3477,1981.6176,2120.7899,2025.3994,2088.6080,2193.3312,2098.2783,2160.4471,2262.5003,2130.3754,2094.1042,2245.2493,
L3 data volume [GBytes],0.9653,0.9762,1.0448,0.9978,1.0290,1.0805,1.0337,1.0643,1.1146,1.0495,1.0317,1.1061,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,5.9124,0.4927,0.4927,0.4927,,,,,,,,,
Runtime unhalted [s] STAT,2.1573,0.1561,0.2070,0.1798,,,,,,,,,
Clock [MHz] STAT,11974.0743,997.8347,997.8665,997.8395,,,,,,,,,
CPI STAT,18.9831,1.3562,1.7987,1.5819,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,12856.8792,998.5114,1139.3920,1071.4066,,,,,,,,,
L3 load data volume [GBytes] STAT,6.3339,0.4919,0.5613,0.5278,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,12503.1692,960.8364,1124.8353,1041.9308,,,,,,,,,
L3 evict data volume [GBytes] STAT,6.1598,0.4734,0.5542,0.5133,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,25360.0484,1959.3477,2262.5003,2113.3374,,,,,,,,,
L3 data volume [GBytes] STAT,12.4935,0.9653,1.1146,1.0411,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208353945 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,231573273,254773146,250162393,248545372,228197112,267239235,254415683,260206629,269579886,248698871,278797518,254126569
CPU_CLK_UNHALTED_CORE,FIXC1,363099242,437365228,438841780,446807142,337781992,352075442,445805133,447470268,458846746,365134090,388946900,348644012
CPU_CLK_UNHALTED_REF,FIXC2,803534348,967955000,971220540,988849856,747560720,779193264,986630724,990317256,1015677240,808130392,860796344,771601608
MEM_INST_RETIRED_ALL_LOADS,PMC0,123140320,135580645,132568761,132280338,120236426,138646893,135381804,138171773,143281651,132540648,140506856,135177862
MEM_INST_RETIRED_ALL_STORES,PMC1,81839,23084,400599,6895,1014307,1651349,31418,325187,158604,56435,5936221,179024
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,3046315687,228197112,278797518,2.538596e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,4830817975,337781992,458846746,4.025682e+08,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,10691467292,747560720,1015677240,8.909556e+08,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1607513977,120236426,143281651,1.339595e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,9864962,6895,5936221,822080.1667,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,0.4945,
Runtime unhalted [s],0.1644,0.1981,0.1987,0.2023,0.1530,0.1594,0.2019,0.2026,0.2078,0.1653,0.1761,0.1579,
Clock [MHz],997.9059,997.8328,997.8351,997.8343,997.8349,997.8361,997.8359,997.8345,997.6555,997.7911,997.8347,997.8328,
CPI,1.5680,1.7167,1.7542,1.7977,1.4802,1.3175,1.7523,1.7197,1.7021,1.4682,1.3951,1.3719,
Load to store ratio,1504.6655,5873.3601,330.9263,19184.9656,118.5405,83.9598,4309.0523,424.8994,903.3924,2348.5541,23.6694,755.0823,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,5.9340,0.4945,0.4945,0.4945,,,,,,,,,
Runtime unhalted [s] STAT,2.1875,0.1530,0.2078,0.1823,,,,,,,,,
Clock [MHz] STAT,11973.8636,997.6555,997.9059,997.8220,,,,,,,,,
CPI STAT,19.0436,1.3175,1.7977,1.5870,,,,,,,,,
Load to store ratio STAT,35861.0677,23.6694,19184.9656,2988.4223,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208353945 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,251038375,243956389,263447722,260964090,244635293,228323245,269597529,272803010,285201333,272747373,290123590,275287696
CPU_CLK_UNHALTED_CORE,FIXC1,375022745,416802195,448004979,459165048,356511993,310445239,461138379,460289782,472732149,477391855,400071589,369684331
CPU_CLK_UNHALTED_REF,FIXC2,829980760,922442416,991497616,1016194740,789046004,687063360,1020566396,1018689780,1046224184,1056537752,885420512,818166304
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0,0,0,0,0,0,0,0,0,0,0,0
