STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207651681 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1710649572,1720492621,,
CPU_CLK_UNHALTED_CORE,FIXC1,1099839172,1097323954,,
CPU_CLK_UNHALTED_REF,FIXC2,1106410308,1103880308,,
UOPS_RETIRED_USED_CYCLES,PMC0,620135882,629202617,,
UOPS_RETIRED_STALL_CYCLES,PMC1,479703290,468121337,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1099839172,1097323954,,
UOPS_RETIRED_STALL_CYCLES,PMC3,198442260,198668542,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3431142193,1710649572,1720492621,1.715571e+09
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2197163126,1097323954,1099839172,1098581563
CPU_CLK_UNHALTED_REF STAT,FIXC2,2210290616,1103880308,1106410308,1105145308
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1249338499,620135882,629202617,6.246692e+08
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,947824627,468121337,479703290,4.739123e+08
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2197163126,1097323954,1099839172,1098581563
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,397110802,198442260,198668542,198555401
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.6008,0.6008,,,
Runtime unhalted [s],0.4982,0.4971,,,
Clock [MHz],2194.5401,2194.5396,,,
CPI,0.6429,0.6378,,,
Used cycles ratio [%],56.3842,57.3397,,,
Unused cycles ratio [%],43.6158,42.6603,,,
Avg stall duration [cycles],2.4173,2.3563,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.2016,0.6008,0.6008,0.6008,
Runtime unhalted [s] STAT,0.9953,0.4971,0.4982,0.4976,
Clock [MHz] STAT,4389.0797,2194.5396,2194.5401,2194.5399,
CPI STAT,1.2807,0.6378,0.6429,0.6403,
Used cycles ratio [%] STAT,113.7239,56.3842,57.3397,56.8620,
Unused cycles ratio [%] STAT,86.2761,42.6603,43.6158,43.1380,
Avg stall duration [cycles] STAT,4.7736,2.3563,2.4173,2.3868,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207651681 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1685534802,1725717822,,
CPU_CLK_UNHALTED_CORE,FIXC1,1081988864,1096997630,,
CPU_CLK_UNHALTED_REF,FIXC2,1088455036,1103552880,,
L2_LINES_IN_ALL,PMC0,56348458,57684966,,
L2_TRANS_L2_WB,PMC1,56078161,57333086,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3411252624,1685534802,1725717822,1705626312
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2178986494,1081988864,1096997630,1089493247
CPU_CLK_UNHALTED_REF STAT,FIXC2,2192007916,1088455036,1103552880,1096003958
L2_LINES_IN_ALL STAT,PMC0,114033424,56348458,57684966,57016712
L2_TRANS_L2_WB STAT,PMC1,113411247,56078161,57333086,5.670562e+07
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.5997,0.5997,,,
Runtime unhalted [s],0.4901,0.4969,,,
Clock [MHz],2194.5367,2194.5379,,,
CPI,0.6419,0.6357,,,
L3 load bandwidth [MBytes/s],6013.7543,6156.3923,,,
L3 load data volume [GBytes],3.6063,3.6918,,,
L3 evict bandwidth [MBytes/s],5984.9071,6118.8382,,,
L3 evict data volume [GBytes],3.5890,3.6693,,,
L3 bandwidth [MBytes/s],11998.6614,12275.2305,,,
L3 data volume [GBytes],7.1953,7.3612,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.1994,0.5997,0.5997,0.5997,
Runtime unhalted [s] STAT,0.9870,0.4901,0.4969,0.4935,
Clock [MHz] STAT,4389.0746,2194.5367,2194.5379,2194.5373,
CPI STAT,1.2776,0.6357,0.6419,0.6388,
L3 load bandwidth [MBytes/s] STAT,12170.1466,6013.7543,6156.3923,6085.0733,
L3 load data volume [GBytes] STAT,7.2981,3.6063,3.6918,3.6490,
L3 evict bandwidth [MBytes/s] STAT,12103.7453,5984.9071,6118.8382,6051.8727,
L3 evict data volume [GBytes] STAT,7.2583,3.5890,3.6693,3.6292,
L3 bandwidth [MBytes/s] STAT,24273.8919,11998.6614,12275.2305,12136.9460,
L3 data volume [GBytes] STAT,14.5565,7.1953,7.3612,7.2782,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207651681 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1708041227,1720069771,,
CPU_CLK_UNHALTED_CORE,FIXC1,1096786078,1097216060,,
CPU_CLK_UNHALTED_REF,FIXC2,1103338612,1103770736,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,910955129,917370292,,
MEM_INST_RETIRED_ALL_STORES,PMC1,49,56,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,3428110998,1708041227,1720069771,1714055499
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2194002138,1096786078,1097216060,1097001069
CPU_CLK_UNHALTED_REF STAT,FIXC2,2207109348,1103338612,1103770736,1103554674
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,1828325421,910955129,917370292,9.141627e+08
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,105,49,56,52.5000
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.5999,0.5999,,,
Runtime unhalted [s],0.4968,0.4970,,,
Clock [MHz],2194.5408,2194.5417,,,
CPI,0.6421,0.6379,,,
Load to store ratio,18590921,1.638161e+07,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,1.1998,0.5999,0.5999,0.5999,
Runtime unhalted [s] STAT,0.9938,0.4968,0.4970,0.4969,
