STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20797378 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3494237938,3489771691,3625425115,3667420766,3641562845,3631183739
CPU_CLK_UNHALTED_CORE,FIXC1,3525108628,3533636587,3504178375,3538734939,3544057723,3548475239
CPU_CLK_UNHALTED_REF,FIXC2,3546179100,3555472664,3525117080,3559879464,3565235244,3569678844
UOPS_RETIRED_USED_CYCLES,PMC0,1089664107,1089275193,1128284014,1140884059,1135085138,1132628159
UOPS_RETIRED_STALL_CYCLES,PMC1,2435444521,2444361394,2375894361,2397850880,2408972585,2415847080
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3525108628,3533636587,3504178375,3538734939,3544057723,3548475239
UOPS_RETIRED_STALL_CYCLES,PMC3,408176629,408245576,422844469,426429475,427021147,426582072
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,21549602094,3489771691,3667420766,3591600349,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21194191491,3504178375,3548475239,3.532365e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,21321562396,3525117080,3569678844,3.553594e+09,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,6715820670,1089275193,1140884059,1119303445,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,14478370821,2375894361,2444361394,2.413062e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,21194191491,3504178375,3548475239,3.532365e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2519299368,408176629,427021147,419883228,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.6977,1.6977,1.6977,1.6977,1.6977,1.6977,
Runtime unhalted [s],1.5965,1.6004,1.5871,1.6027,1.6051,1.6071,
Clock [MHz],2194.8546,2194.4134,2194.8587,2194.8591,2194.8584,2194.8586,
CPI,1.0088,1.0126,0.9666,0.9649,0.9732,0.9772,
Used cycles ratio [%],30.9115,30.8259,32.1982,32.2399,32.0278,31.9187,
Unused cycles ratio [%],69.0885,69.1741,67.8018,67.7601,67.9722,68.0813,
Avg stall duration [cycles],5.9666,5.9875,5.6188,5.6231,5.6413,5.6633,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,10.1862,1.6977,1.6977,1.6977,,,
Runtime unhalted [s] STAT,9.5989,1.5871,1.6071,1.5998,,,
Clock [MHz] STAT,13168.7028,2194.4134,2194.8591,2194.7838,,,
CPI STAT,5.9033,0.9649,1.0126,0.9839,,,
Used cycles ratio [%] STAT,190.1220,30.8259,32.2399,31.6870,,,
Unused cycles ratio [%] STAT,409.8780,67.7601,69.1741,68.3130,,,
Avg stall duration [cycles] STAT,34.5006,5.6188,5.9875,5.7501,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20797378 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,3486559279,3476906114,3593674160,3659733644,3628826690,3619366482
CPU_CLK_UNHALTED_CORE,FIXC1,3519659680,3523417990,3480374685,3528440748,3532855764,3535690612
CPU_CLK_UNHALTED_REF,FIXC2,3540689092,3544524388,3501172608,3549524772,3553965520,3556816784
L2_LINES_IN_ALL,PMC0,116050276,115728110,120201293,122407463,121430396,121124823
L2_TRANS_L2_WB,PMC1,115502281,115175610,119598594,121612859,120755079,120438363
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,21465066369,3476906114,3659733644,3.577511e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21120439479,3480374685,3535690612,3.520073e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,21246693164,3501172608,3556816784,3.541116e+09,,
L2_LINES_IN_ALL STAT,PMC0,716942361,115728110,122407463,1.194904e+08,,
L2_TRANS_L2_WB STAT,PMC1,713082786,115175610,121612859,118847131,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],1.6958,1.6958,1.6958,1.6958,1.6958,1.6958,
Runtime unhalted [s],1.5941,1.5958,1.5763,1.5980,1.6000,1.6013,
Clock [MHz],2194.8598,2194.8261,2194.8578,2194.8585,2194.8589,2194.8592,
CPI,1.0095,1.0134,0.9685,0.9641,0.9736,0.9769,
L3 load bandwidth [MBytes/s],4379.6739,4367.5155,4536.3310,4619.5906,4582.7166,4571.1845,
L3 load data volume [GBytes],7.4272,7.4066,7.6929,7.8341,7.7715,7.7520,
L3 evict bandwidth [MBytes/s],4358.9928,4346.6644,4513.5854,4589.6027,4557.2305,4545.2779,
L3 evict data volume [GBytes],7.3921,7.3712,7.6543,7.7832,7.7283,7.7081,
L3 bandwidth [MBytes/s],8738.6667,8714.1799,9049.9164,9209.1933,9139.9472,9116.4623,
L3 data volume [GBytes],14.8194,14.7778,15.3472,15.6173,15.4999,15.4600,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,10.1748,1.6958,1.6958,1.6958,,,
Runtime unhalted [s] STAT,9.5655,1.5763,1.6013,1.5942,,,
Clock [MHz] STAT,13169.1203,2194.8261,2194.8598,2194.8534,,,
CPI STAT,5.9060,0.9641,1.0134,0.9843,,,
L3 load bandwidth [MBytes/s] STAT,27057.0121,4367.5155,4619.5906,4509.5020,,,
L3 load data volume [GBytes] STAT,45.8843,7.4066,7.8341,7.6474,,,
L3 evict bandwidth [MBytes/s] STAT,26911.3537,4346.6644,4589.6027,4485.2256,,,
L3 evict data volume [GBytes] STAT,45.6372,7.3712,7.7832,7.6062,,,
L3 bandwidth [MBytes/s] STAT,53968.3658,8714.1799,9209.1933,8994.7276,,,
L3 data volume [GBytes] STAT,91.5216,14.7778,15.6173,15.2536,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20797378 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
