STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20752664 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,3382603585,3481765517,3541654991,3534133559,3522958466,3529248845
CPU_CLK_UNHALTED_CORE,FIXC1,3525540277,3492577988,3539684569,3541255463,3545260954,3549573855
CPU_CLK_UNHALTED_REF,FIXC2,3547132220,3513507784,3560832676,3562415628,3566443388,3570781924
UOPS_RETIRED_USED_CYCLES,PMC0,958518697,983609791,998396277,996332703,993609975,995182923
UOPS_RETIRED_STALL_CYCLES,PMC1,2567021580,2508968197,2541288292,2544922760,2551650979,2554390932
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3525540277,3492577988,3539684569,3541255463,3545260954,3549573855
UOPS_RETIRED_STALL_CYCLES,PMC3,121971333,109053532,104088055,104861937,105543406,105034343
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,20992364963,3382603585,3541654991,3.498727e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21193893106,3492577988,3549573855,3.532316e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,21321113620,3513507784,3570781924,3.553519e+09,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,5925650366,958518697,998396277,9.876084e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,15268242740,2508968197,2567021580,2.544707e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,21193893106,3492577988,3549573855,3.532316e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,650552606,104088055,121971333,1.084254e+08,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],1.6979,1.6979,1.6979,1.6979,1.6979,1.6979,
Runtime unhalted [s],1.5971,1.5821,1.6035,1.6042,1.6060,1.6079,
Clock [MHz],2194.0891,2194.3765,2194.4159,2194.4143,2194.4153,2194.4154,
CPI,1.0423,1.0031,0.9994,1.0020,1.0063,1.0058,
Used cycles ratio [%],27.1879,28.1629,28.2058,28.1350,28.0264,28.0367,
Unused cycles ratio [%],72.8121,71.8371,71.7942,71.8650,71.9736,71.9633,
Avg stall duration [cycles],21.0461,23.0068,24.4148,24.2693,24.1763,24.3196,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,10.1874,1.6979,1.6979,1.6979,,,
Runtime unhalted [s] STAT,9.6008,1.5821,1.6079,1.6001,,,
Clock [MHz] STAT,13166.1265,2194.0891,2194.4159,2194.3544,,,
CPI STAT,6.0589,0.9994,1.0423,1.0098,,,
Used cycles ratio [%] STAT,167.7547,27.1879,28.2058,27.9591,,,
Unused cycles ratio [%] STAT,432.2453,71.7942,72.8121,72.0409,,,
Avg stall duration [cycles] STAT,141.2329,21.0461,24.4148,23.5388,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20752664 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,3382371375,3515877715,3525633997,3525264538,3519943210,3517617583
CPU_CLK_UNHALTED_CORE,FIXC1,3519554432,3508914675,3527524584,3530802156,3533551295,3536667711
CPU_CLK_UNHALTED_REF,FIXC2,3540744384,3529937972,3548602564,3551897636,3554665088,3557799160
L2_LINES_IN_ALL,PMC0,113097316,117530800,117847147,117836324,117657405,117580820
L2_TRANS_L2_WB,PMC1,111955459,116682552,117064541,117011582,116880911,116643999
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,20986708418,3382371375,3525633997,3.497785e+09,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21157014853,3508914675,3536667711,3.526169e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,21283646804,3529937972,3557799160,3.547274e+09,,
L2_LINES_IN_ALL STAT,PMC0,701549812,113097316,117847147,1.169250e+08,,
L2_TRANS_L2_WB STAT,PMC1,696239044,111955459,117064541,1.160398e+08,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],1.6954,1.6954,1.6954,1.6954,1.6954,1.6954,
Runtime unhalted [s],1.5943,1.5895,1.5980,1.5994,1.6007,1.6021,
Clock [MHz],2194.3155,2194.3792,2194.4144,2194.4157,2194.4145,2194.4151,
CPI,1.0406,0.9980,1.0005,1.0016,1.0039,1.0054,
L3 load bandwidth [MBytes/s],4269.3950,4436.7579,4448.6999,4448.2913,4441.5372,4438.6461,
L3 load data volume [GBytes],7.2382,7.5220,7.5422,7.5415,7.5301,7.5252,
L3 evict bandwidth [MBytes/s],4226.2902,4404.7367,4419.1567,4417.1575,4412.2247,4403.2814,
L3 evict data volume [GBytes],7.1651,7.4677,7.4921,7.4887,7.4804,7.4652,
L3 bandwidth [MBytes/s],8495.6851,8841.4946,8867.8566,8865.4489,8853.7619,8841.9275,
L3 data volume [GBytes],14.4034,14.9897,15.0343,15.0303,15.0105,14.9904,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,10.1724,1.6954,1.6954,1.6954,,,
Runtime unhalted [s] STAT,9.5840,1.5895,1.6021,1.5973,,,
Clock [MHz] STAT,13166.3544,2194.3155,2194.4157,2194.3924,,,
CPI STAT,6.0500,0.9980,1.0406,1.0083,,,
L3 load bandwidth [MBytes/s] STAT,26483.3274,4269.3950,4448.6999,4413.8879,,,
L3 load data volume [GBytes] STAT,44.8992,7.2382,7.5422,7.4832,,,
L3 evict bandwidth [MBytes/s] STAT,26282.8472,4226.2902,4419.1567,4380.4745,,,
L3 evict data volume [GBytes] STAT,44.5592,7.1651,7.4921,7.4265,,,
L3 bandwidth [MBytes/s] STAT,52766.1746,8495.6851,8867.8566,8794.3624,,,
L3 data volume [GBytes] STAT,89.4586,14.4034,15.0343,14.9098,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.20752664 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
