STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206588175 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1623100993,1654660806,1662180434,1669669570,1594681525,1673045404,1622633360,1679134399,1691341644,1689245559,1688974656,1648633707
CPU_CLK_UNHALTED_CORE,FIXC1,3332822785,3373452582,3384783472,3398559932,3258976426,3409734157,3417470129,3421302140,3431784213,3435651223,3433931055,3266591435
CPU_CLK_UNHALTED_REF,FIXC2,3352754712,3393609704,3405008504,3418865452,3278452292,3430107760,3437952324,3442388656,3452289604,3456299516,3455156600,3286188480
UOPS_RETIRED_USED_CYCLES,PMC0,507993121,519800710,522617076,524624471,502202931,525524474,509178649,527615853,531067505,530946099,530601133,516240742
UOPS_RETIRED_STALL_CYCLES,PMC1,2824829664,2853651872,2862166396,2873935461,2756773495,2884209683,2908291480,2893686287,2900716708,2904705124,2903329922,2750350693
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3332822785,3373452582,3384783472,3398559932,3258976426,3409734157,3417470129,3421302140,3431784213,3435651223,3433931055,3266591435
UOPS_RETIRED_STALL_CYCLES,PMC3,173318406,178414391,178536102,180409181,172317253,179750887,174683470,180989191,182093390,182464511,180522102,176855231
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,19897302057,1594681525,1691341644,1.658109e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,40565059549,3258976426,3435651223,3.380422e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,40809073604,3278452292,3456299516,3.400756e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,6248412764,502202931,531067505,5.207011e+08,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,34316646785,2750350693,2908291480,2.859721e+09,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,40565059549,3258976426,3435651223,3.380422e+09,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,2140354115,172317253,182464511,1.783628e+08,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,1.5998,
Runtime unhalted [s],1.5104,1.5288,1.5339,1.5402,1.4769,1.5453,1.5488,1.5505,1.5552,1.5570,1.5562,1.4804,
Clock [MHz],2193.4701,2193.4816,2193.4815,2193.4827,2193.4798,2193.4818,2193.4420,2193.0716,2193.4818,2193.4058,2193.0328,2193.4293,
CPI,2.0534,2.0388,2.0364,2.0355,2.0437,2.0380,2.1061,2.0375,2.0290,2.0338,2.0331,1.9814,
Used cycles ratio [%],15.2421,15.4086,15.4402,15.4367,15.4098,15.4125,14.8993,15.4215,15.4750,15.4540,15.4517,15.8037,
Unused cycles ratio [%],84.7579,84.5914,84.5598,84.5633,84.5902,84.5875,85.1007,84.5785,84.5250,84.5460,84.5483,84.1963,
Avg stall duration [cycles],16.2985,15.9945,16.0313,15.9301,15.9982,16.0456,16.6489,15.9882,15.9298,15.9193,16.0830,15.5514,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,19.1976,1.5998,1.5998,1.5998,,,,,,,,,
Runtime unhalted [s] STAT,18.3836,1.4769,1.5570,1.5320,,,,,,,,,
Clock [MHz] STAT,26320.7408,2193.0328,2193.4827,2193.3951,,,,,,,,,
CPI STAT,24.4667,1.9814,2.1061,2.0389,,,,,,,,,
Used cycles ratio [%] STAT,184.8551,14.8993,15.8037,15.4046,,,,,,,,,
Unused cycles ratio [%] STAT,1015.1449,84.1963,85.1007,84.5954,,,,,,,,,
Avg stall duration [cycles] STAT,192.4188,15.5514,16.6489,16.0349,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206588175 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1669446624,1698624067,1702176210,1706677642,1680036344,1703503621,1652692738,1711012396,1716781685,1714163536,1716196763,1688421548
CPU_CLK_UNHALTED_CORE,FIXC1,3354419920,3355741663,3358849641,3366973283,3327721372,3370325887,3375243034,3379455858,3384247636,3383728513,3388877408,3365888986
CPU_CLK_UNHALTED_REF,FIXC2,3374490816,3375794732,3378916476,3387092608,3347618812,3390528440,3395408028,3399881988,3404467544,3404090252,3409126700,3386027248
L2_LINES_IN_ALL,PMC0,55848522,56790053,56908756,57059899,56116428,57010792,55293061,57225691,57404396,57355255,57389733,56747189
L2_TRANS_L2_WB,PMC1,55419343,56462255,56591219,56635947,55748450,56332211,54820465,56823785,57024442,56902150,56854286,56075320
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,20359733174,1652692738,1716781685,1.696644e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,40411473201,3327721372,3388877408,3.367623e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,40653443644,3347618812,3409126700,3.387787e+09,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,681149775,55293061,57404396,5.676248e+07,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,675689873,54820465,57024442,5.630749e+07,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,1.5971,
Runtime unhalted [s],1.5202,1.5208,1.5222,1.5259,1.5081,1.5274,1.5296,1.5315,1.5337,1.5335,1.5358,1.5254,
Clock [MHz],2193.4638,2193.4805,2193.4836,2193.4810,2193.4727,2193.4402,2193.4835,2193.3312,2193.4827,2193.3894,2193.4816,2193.4646,
CPI,2.0093,1.9756,1.9733,1.9728,1.9807,1.9785,2.0423,1.9751,1.9713,1.9740,1.9746,1.9935,
L3 load bandwidth [MBytes/s],2237.9300,2275.6585,2280.4151,2286.4716,2248.6654,2284.5038,2215.6719,2293.1151,2300.2761,2298.3069,2299.6885,2273.9409,
L3 load data volume [GBytes],3.5743,3.6346,3.6422,3.6518,3.5915,3.6487,3.5388,3.6624,3.6739,3.6707,3.6729,3.6318,
L3 evict bandwidth [MBytes/s],2220.7322,2262.5232,2267.6909,2269.4833,2233.9200,2257.3121,2196.7343,2277.0102,2285.0508,2280.1504,2278.2324,2247.0181,
L3 evict data volume [GBytes],3.5468,3.6136,3.6218,3.6247,3.5679,3.6053,3.5085,3.6367,3.6496,3.6417,3.6387,3.5888,
L3 bandwidth [MBytes/s],4458.6622,4538.1817,4548.1060,4555.9549,4482.5854,4541.8159,4412.4062,4570.1253,4585.3269,4578.4573,4577.9209,4520.9590,
L3 data volume [GBytes],7.1211,7.2481,7.2640,7.2765,7.1594,7.2540,7.0473,7.2992,7.3234,7.3125,7.3116,7.2206,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,19.1652,1.5971,1.5971,1.5971,,,,,,,,,
Runtime unhalted [s] STAT,18.3141,1.5081,1.5358,1.5262,,,,,,,,,
Clock [MHz] STAT,26321.4548,2193.3312,2193.4836,2193.4546,,,,,,,,,
CPI STAT,23.8210,1.9713,2.0423,1.9851,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,27294.6438,2215.6719,2300.2761,2274.5537,,,,,,,,,
L3 load data volume [GBytes] STAT,43.5936,3.5388,3.6739,3.6328,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,27075.8579,2196.7343,2285.0508,2256.3215,,,,,,,,,
L3 evict data volume [GBytes] STAT,43.2441,3.5085,3.6496,3.6037,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,54370.5017,4412.4062,4585.3269,4530.8751,,,,,,,,,
L3 data volume [GBytes] STAT,86.8377,7.0473,7.3234,7.2365,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206588175 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1674759682,1700253182,1706498201,1712002774,1668762831,1721877406,1672565234,1726962247,1733701993,1731543708,1736023729,1697073376
CPU_CLK_UNHALTED_CORE,FIXC1,3359371109,3357567310,3367858173,3372644710,3299243806,3400087543,3410302848,3405726783,3411893335,3413214110,3417919391,3383010709
CPU_CLK_UNHALTED_REF,FIXC2,3379537016,3377628844,3387981328,3392833316,3319041128,3420468552,3430678436,3426213400,3432279236,3433795028,3438359792,3403339164
MEM_INST_RETIRED_ALL_LOADS,PMC0,893171746,906297593,909827058,913062606,886149637,918105213,892026259,920788938,924608000,923200148,925739525,904166446
MEM_INST_RETIRED_ALL_STORES,PMC1,19476,290035,196266,2403,1490377,163486,1326,176812,21743,220042,37286,652203
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,20482024363,1668762831,1736023729,1.706835e+09,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,40598839827,3299243806,3417919391,3.383237e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,40842155240,3319041128,3438359792,3.403513e+09,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,10917143169,886149637,925739525,9.097619e+08,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,3271455,1326,1490377,272621.2500,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,1.5979,
Runtime unhalted [s],1.5224,1.5216,1.5263,1.5284,1.4952,1.5409,1.5455,1.5434,1.5462,1.5468,1.5490,1.5331,
Clock [MHz],2193.4213,2193.4821,2193.4820,2193.4582,2193.4264,2193.4401,2193.4827,2193.3942,2193.4822,2193.3627,2193.4704,2193.4080,
CPI,2.0059,1.9747,1.9735,1.9700,1.9771,1.9746,2.0390,1.9721,1.9680,1.9712,1.9688,1.9934,
Load to store ratio,45860.1225,3124.7870,4635.6835,379967.7928,594.5809,5615.8033,672719.6523,5207.7288,42524.3987,4195.5633,24828.0729,1386.3267,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,19.1748,1.5979,1.5979,1.5979,,,,,,,,,
Runtime unhalted [s] STAT,18.3988,1.4952,1.5490,1.5332,,,,,,,,,
Clock [MHz] STAT,26321.3103,2193.3627,2193.4827,2193.4425,,,,,,,,,
CPI STAT,23.7883,1.9680,2.0390,1.9824,,,,,,,,,
Load to store ratio STAT,1.190661e+06,594.5809,672719.6523,99221.7094,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.206588175 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,1672473347,1701713149,1707004497,1711091089,1669861245,1707153709,1657426266,1715155538,1721866189,1717399234,1721886357,1686272223
