STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207402486 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,1040,2232855,,
CPU_CLK_UNHALTED_CORE,FIXC1,25162,3174803,,
CPU_CLK_UNHALTED_REF,FIXC2,55660,7023740,,
UOPS_RETIRED_USED_CYCLES,PMC0,2619,1039752,,
UOPS_RETIRED_STALL_CYCLES,PMC1,22543,2135051,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,25162,3174803,,
UOPS_RETIRED_STALL_CYCLES,PMC3,1069,222696,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,2233895,1040,2232855,1.116948e+06
CPU_CLK_UNHALTED_CORE STAT,FIXC1,3199965,25162,3174803,1.599982e+06
CPU_CLK_UNHALTED_REF STAT,FIXC2,7079400,55660,7023740,3539700
UOPS_RETIRED_USED_CYCLES STAT,PMC0,1042371,2619,1039752,521185.5000
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,2157594,22543,2135051,1078797
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,3199965,25162,3174803,1.599982e+06
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,223765,1069,222696,111882.5000
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.1011,0.1011,,,
Runtime unhalted [s],1.139892e-05,0.0014,,,
Clock [MHz],997.8919,997.7687,,,
CPI,24.1942,1.4219,,,
Used cycles ratio [%],10.4086,32.7501,,,
Unused cycles ratio [%],89.5914,67.2499,,,
Avg stall duration [cycles],21.0879,9.5873,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,0.2022,0.1011,0.1011,0.1011,
Runtime unhalted [s] STAT,0.0014,1.139892e-05,0.0014,0.0007,
Clock [MHz] STAT,1995.6606,997.7687,997.8919,997.8303,
CPI STAT,25.6161,1.4219,24.1942,12.8080,
Used cycles ratio [%] STAT,43.1587,10.4086,32.7501,21.5794,
Unused cycles ratio [%] STAT,156.8413,67.2499,89.5914,78.4206,
Avg stall duration [cycles] STAT,30.6752,9.5873,21.0879,15.3376,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207402486 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,27876,65905,,
CPU_CLK_UNHALTED_CORE,FIXC1,82018,206791,,
CPU_CLK_UNHALTED_REF,FIXC2,181700,457792,,
L2_LINES_IN_ALL,PMC0,1861,8228,,
L2_TRANS_L2_WB,PMC1,191,969,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,93781,27876,65905,46890.5000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,288809,82018,206791,144404.5000
CPU_CLK_UNHALTED_REF STAT,FIXC2,639492,181700,457792,319746
L2_LINES_IN_ALL STAT,PMC0,10089,1861,8228,5044.5000
L2_TRANS_L2_WB STAT,PMC1,1160,191,969,580
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.1003,0.1003,,,
Runtime unhalted [s],3.715589e-05,0.0001,,,
Clock [MHz],996.4047,997.1143,,,
CPI,2.9422,3.1377,,,
L3 load bandwidth [MBytes/s],1.1873,5.2494,,,
L3 load data volume [GBytes],0.0001,0.0005,,,
L3 evict bandwidth [MBytes/s],0.1219,0.6182,,,
L3 evict data volume [GBytes],1.222400e-05,0.0001,,,
L3 bandwidth [MBytes/s],1.3092,5.8676,,,
L3 data volume [GBytes],0.0001,0.0006,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,0.2006,0.1003,0.1003,0.1003,
Runtime unhalted [s] STAT,0.0001,3.715589e-05,0.0001,0.0001,
Clock [MHz] STAT,1993.5190,996.4047,997.1143,996.7595,
CPI STAT,6.0799,2.9422,3.1377,3.0400,
L3 load bandwidth [MBytes/s] STAT,6.4367,1.1873,5.2494,3.2184,
L3 load data volume [GBytes] STAT,0.0006,0.0001,0.0005,0.0003,
L3 evict bandwidth [MBytes/s] STAT,0.7401,0.1219,0.6182,0.3700,
L3 evict data volume [GBytes] STAT,0.0001,1.222400e-05,0.0001,0.0001,
L3 bandwidth [MBytes/s] STAT,7.1768,1.3092,5.8676,3.5884,
L3 data volume [GBytes] STAT,0.0007,0.0001,0.0006,0.0003,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207402486 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,0,12693,,
CPU_CLK_UNHALTED_CORE,FIXC1,0,62275,,
CPU_CLK_UNHALTED_REF,FIXC2,0,138000,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,0,3524,,
MEM_INST_RETIRED_ALL_STORES,PMC1,0,1690,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,12693,0,12693,6346.5000
CPU_CLK_UNHALTED_CORE STAT,FIXC1,62275,0,62275,31137.5000
CPU_CLK_UNHALTED_REF STAT,FIXC2,138000,0,138000,69000
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,3524,0,3524,1762
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,1690,0,1690,845
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],0.1002,0.1002,,,
Runtime unhalted [s],0,2.821189e-05,,,
Clock [MHz],-,996.1304,,,
CPI,-,4.9062,,,
Load to store ratio,-,2.0852,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,0.2004,0.1002,0.1002,0.1002,
Runtime unhalted [s] STAT,2.821189e-05,0,2.821189e-05,1.410594e-05,
Clock [MHz] STAT,996.1304,996.1304,996.1304,498.0652,
CPI STAT,4.9062,4.9062,4.9062,2.4531,
Load to store ratio STAT,2.0852,2.0852,2.0852,1.0426,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
