STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,325437411
CPU_CLK_UNHALTED_CORE,FIXC1,1476152882
CPU_CLK_UNHALTED_REF,FIXC2,2177957400
UOPS_RETIRED_USED_CYCLES,PMC0,123485265
UOPS_RETIRED_STALL_CYCLES,PMC1,1352667617
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1476152882
UOPS_RETIRED_STALL_CYCLES,PMC3,45391918
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],1.1008,
Runtime unhalted [s],0.6686,
Clock [MHz],1496.2874,
CPI,4.5359,
Used cycles ratio [%],8.3653,
Unused cycles ratio [%],91.6347,
Avg stall duration [cycles],29.7997,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,324787858
CPU_CLK_UNHALTED_CORE,FIXC1,1481298432
CPU_CLK_UNHALTED_REF,FIXC2,2185552828
L2_LINES_IN_ALL,PMC0,134224199
L2_TRANS_L2_WB,PMC1,72809898
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],1.1002,
Runtime unhalted [s],0.6710,
Clock [MHz],1496.2850,
CPI,4.5608,
L3 load bandwidth [MBytes/s],7808.2632,
L3 load data volume [GBytes],8.5903,
L3 evict bandwidth [MBytes/s],4235.5913,
L3 evict data volume [GBytes],4.6598,
L3 bandwidth [MBytes/s],12043.8545,
L3 data volume [GBytes],13.2502,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,324878705
CPU_CLK_UNHALTED_CORE,FIXC1,1482276650
CPU_CLK_UNHALTED_REF,FIXC2,2186995572
MEM_INST_RETIRED_ALL_LOADS,PMC0,118133557
MEM_INST_RETIRED_ALL_STORES,PMC1,118114219
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],1.1008,
Runtime unhalted [s],0.6714,
Clock [MHz],1496.2854,
CPI,4.5626,
Load to store ratio,1.0002,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,324952644
CPU_CLK_UNHALTED_CORE,FIXC1,1481842993
CPU_CLK_UNHALTED_REF,FIXC2,2186355528
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],1.1002,
Runtime unhalted [s],0.6712,
Clock [MHz],1496.2855,
CPI,4.5602,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,327208599
CPU_CLK_UNHALTED_CORE,FIXC1,1491206363
CPU_CLK_UNHALTED_REF,FIXC2,2200171720
L2_TRANS_ALL_REQUESTS,PMC0,448976668
L2_RQSTS_MISS,PMC1,143512468
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],1.1002,
Runtime unhalted [s],0.6755,
Clock [MHz],1496.2847,
CPI,4.5574,
L2 request rate,1.3721,
L2 miss rate,0.4386,
L2 miss ratio,0.3196,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,296025544
CPU_CLK_UNHALTED_CORE,FIXC1,1350303808
CPU_CLK_UNHALTED_REF,FIXC2,1992280148
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,1331196978
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,1349607817
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,1323690810
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,1131366427
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],1.0707,
Runtime unhalted [s],0.6116,
Clock [MHz],1496.2844,
CPI,4.5614,
Cycles without execution [%],83.7861,
Cycles without execution due to L1D [%],98.0291,
Cycles without execution due to L2 [%],98.5850,
Cycles without execution due to memory loads [%],99.9485,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,294696403
CPU_CLK_UNHALTED_CORE,FIXC1,1342815297
CPU_CLK_UNHALTED_REF,FIXC2,1981230764
ITLB_MISSES_CAUSES_A_WALK,PMC0,1220
ITLB_MISSES_WALK_ACTIVE,PMC1,56218
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],1.0001,
Runtime unhalted [s],0.6083,
Clock [MHz],1496.2849,
CPI,4.5566,
L1 ITLB misses,1220,
L1 ITLB miss rate,4.139854e-06,
L1 ITLB miss duration [Cyc],46.0803,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207664455 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,292659455
CPU_CLK_UNHALTED_CORE,FIXC1,1333716752
CPU_CLK_UNHALTED_REF,FIXC2,1967807228
DRAM_READS,MBOX0C1,73882187
DRAM_WRITES,MBOX0C2,27294610
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],1.0002,
Runtime unhalted [s],0.6041,
Clock [MHz],1496.2843,
CPI,4.5572,
Memory load bandwidth [MBytes/s],4727.5932,
Memory load data volume [GBytes],4.7285,
Memory evict bandwidth [MBytes/s],1746.5348,
