STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207538388 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,152860912,159125226,,
CPU_CLK_UNHALTED_CORE,FIXC1,1278641695,1299810208,,
CPU_CLK_UNHALTED_REF,FIXC2,2829822204,2876671640,,
UOPS_RETIRED_USED_CYCLES,PMC0,62090018,64312781,,
UOPS_RETIRED_STALL_CYCLES,PMC1,1216551677,1235497427,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,1278641695,1299810208,,
UOPS_RETIRED_STALL_CYCLES,PMC3,38258241,38373112,,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,311986138,152860912,159125226,155993069
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2578451903,1278641695,1299810208,1.289226e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,5706493844,2829822204,2876671640,2853246922
UOPS_RETIRED_USED_CYCLES STAT,PMC0,126402799,62090018,64312781,6.320140e+07
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,2452049104,1216551677,1235497427,1226024552
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2578451903,1278641695,1299810208,1.289226e+09
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,76631353,38258241,38373112,3.831568e+07
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],1.3993,1.3993,,,
Runtime unhalted [s],0.5792,0.5888,,,
Clock [MHz],997.4657,997.4656,,,
CPI,8.3647,8.1685,,,
Used cycles ratio [%],4.8559,4.9479,,,
Unused cycles ratio [%],95.1441,95.0521,,,
Avg stall duration [cycles],31.7984,32.1970,,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,2.7986,1.3993,1.3993,1.3993,
Runtime unhalted [s] STAT,1.1680,0.5792,0.5888,0.5840,
Clock [MHz] STAT,1994.9313,997.4656,997.4657,997.4656,
CPI STAT,16.5332,8.1685,8.3647,8.2666,
Used cycles ratio [%] STAT,9.8038,4.8559,4.9479,4.9019,
Unused cycles ratio [%] STAT,190.1962,95.0521,95.1441,95.0981,
Avg stall duration [cycles] STAT,63.9954,31.7984,32.1970,31.9977,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207538388 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,151200739,158594474,,
CPU_CLK_UNHALTED_CORE,FIXC1,1265087109,1296037603,,
CPU_CLK_UNHALTED_REF,FIXC2,2799818336,2868318132,,
L2_LINES_IN_ALL,PMC0,61061311,62755960,,
L2_TRANS_L2_WB,PMC1,30867249,33913974,,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,309795213,151200739,158594474,1.548976e+08
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2561124712,1265087109,1296037603,1280562356
CPU_CLK_UNHALTED_REF STAT,FIXC2,5668136468,2799818336,2868318132,2834068234
L2_LINES_IN_ALL STAT,PMC0,123817271,61061311,62755960,6.190864e+07
L2_TRANS_L2_WB STAT,PMC1,64781223,30867249,33913974,3.239061e+07
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],1.3975,1.3975,,,
Runtime unhalted [s],0.5731,0.5871,,,
Clock [MHz],997.4677,997.4670,,,
CPI,8.3669,8.1720,,,
L3 load bandwidth [MBytes/s],2796.3739,2873.9824,,,
L3 load data volume [GBytes],3.9079,4.0164,,,
L3 evict bandwidth [MBytes/s],1413.6017,1553.1300,,,
L3 evict data volume [GBytes],1.9755,2.1705,,,
L3 bandwidth [MBytes/s],4209.9756,4427.1124,,,
L3 data volume [GBytes],5.8834,6.1869,,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,2.7950,1.3975,1.3975,1.3975,
Runtime unhalted [s] STAT,1.1602,0.5731,0.5871,0.5801,
Clock [MHz] STAT,1994.9347,997.4670,997.4677,997.4674,
CPI STAT,16.5389,8.1720,8.3669,8.2694,
L3 load bandwidth [MBytes/s] STAT,5670.3563,2796.3739,2873.9824,2835.1781,
L3 load data volume [GBytes] STAT,7.9243,3.9079,4.0164,3.9622,
L3 evict bandwidth [MBytes/s] STAT,2966.7317,1413.6017,1553.1300,1483.3659,
L3 evict data volume [GBytes] STAT,4.1460,1.9755,2.1705,2.0730,
L3 bandwidth [MBytes/s] STAT,8637.0880,4209.9756,4427.1124,4318.5440,
L3 data volume [GBytes] STAT,12.0703,5.8834,6.1869,6.0351,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207538388 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 6,,
INSTR_RETIRED_ANY,FIXC0,152912121,156843526,,
CPU_CLK_UNHALTED_CORE,FIXC1,1279596292,1296432087,,
CPU_CLK_UNHALTED_REF,FIXC2,2831932960,2869195168,,
MEM_INST_RETIRED_ALL_LOADS,PMC0,55607843,57028771,,
MEM_INST_RETIRED_ALL_STORES,PMC1,55600458,57003505,,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,309755647,152912121,156843526,1.548778e+08
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2576028379,1279596292,1296432087,1.288014e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,5701128128,2831932960,2869195168,2850564064
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,112636614,55607843,57028771,56318307
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,112603963,55600458,57003505,5.630198e+07
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 6,,,
Runtime (RDTSC) [s],1.3983,1.3983,,,
Runtime unhalted [s],0.5796,0.5873,,,
Clock [MHz],997.4664,997.4656,,,
CPI,8.3682,8.2658,,,
Load to store ratio,1.0001,1.0004,,,
TABLE,Group 3 Metric STAT,DATA,5,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,2.7966,1.3983,1.3983,1.3983,
Runtime unhalted [s] STAT,1.1669,0.5796,0.5873,0.5835,
Clock [MHz] STAT,1994.9320,997.4656,997.4664,997.4660,
