STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208544759 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,49563719,50379777,51657493,54268930,47291714,44334315
CPU_CLK_UNHALTED_CORE,FIXC1,355883698,405507292,406480321,411119046,349769938,310353930
CPU_CLK_UNHALTED_REF,FIXC2,787642268,897446108,899616940,909862612,774092232,686858568
UOPS_RETIRED_USED_CYCLES,PMC0,18596244,19848301,20266772,21398954,17755935,16073288
UOPS_RETIRED_STALL_CYCLES,PMC1,337287454,385658991,386213549,389720092,332014003,294280642
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,355883698,405507292,406480321,411119046,349769938,310353930
UOPS_RETIRED_STALL_CYCLES,PMC3,5701178,6486620,6623692,6821471,5440505,4835457
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,297495948,44334315,54268930,49582658,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2239114225,310353930,411119046,3.731857e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,4955518728,686858568,909862612,825919788,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,113939494,16073288,21398954,1.898992e+07,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,2125174731,294280642,389720092,3.541958e+08,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,2239114225,310353930,411119046,3.731857e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,35908923,4835457,6821471,5.984820e+06,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.4983,0.4983,0.4983,0.4983,0.4983,0.4983,
Runtime unhalted [s],0.1611,0.1836,0.1840,0.1861,0.1584,0.1405,
Clock [MHz],997.8960,997.9218,997.9025,997.9252,997.9206,997.9209,
CPI,7.1803,8.0490,7.8688,7.5756,7.3960,7.0003,
Used cycles ratio [%],5.2254,4.8947,4.9859,5.2051,5.0765,5.1790,
Unused cycles ratio [%],94.7746,95.1053,95.0141,94.7949,94.9235,94.8210,
Avg stall duration [cycles],59.1610,59.4545,58.3079,57.1314,61.0263,60.8589,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,2.9898,0.4983,0.4983,0.4983,,,
Runtime unhalted [s] STAT,1.0137,0.1405,0.1861,0.1689,,,
Clock [MHz] STAT,5987.4870,997.8960,997.9252,997.9145,,,
CPI STAT,45.0700,7.0003,8.0490,7.5117,,,
Used cycles ratio [%] STAT,30.5666,4.8947,5.2254,5.0944,,,
Unused cycles ratio [%] STAT,569.4334,94.7746,95.1053,94.9056,,,
Avg stall duration [cycles] STAT,355.9400,57.1314,61.0263,59.3233,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208544759 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,61701460,50124669,51495816,51669243,51248470,43508644
CPU_CLK_UNHALTED_CORE,FIXC1,363917852,403168891,403990561,404982929,405864178,306030880
CPU_CLK_UNHALTED_REF,FIXC2,805416852,892270648,894100436,896286816,898236112,677289004
L2_LINES_IN_ALL,PMC0,14025122,15412411,14960116,14454353,14612299,15038291
L2_TRANS_L2_WB,PMC1,7527348,6374745,9308266,6107346,7568159,7750714
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,309748302,43508644,61701460,51624717,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2287955291,306030880,405864178,3.813259e+08,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,5063599868,677289004,898236112,8.439333e+08,,
L2_LINES_IN_ALL STAT,PMC0,88502592,14025122,15412411,14750432,,
L2_TRANS_L2_WB STAT,PMC1,44636578,6107346,9308266,7.439430e+06,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],0.4963,0.4963,0.4963,0.4963,0.4963,0.4963,
Runtime unhalted [s],0.1648,0.1825,0.1829,0.1834,0.1838,0.1386,
Clock [MHz],997.9042,997.9220,997.9094,997.9204,997.9216,997.9239,
CPI,5.8980,8.0433,7.8451,7.8380,7.9195,7.0338,
L3 load bandwidth [MBytes/s],1808.5025,1987.3897,1929.0675,1863.8507,1884.2174,1939.1479,
L3 load data volume [GBytes],0.8976,0.9864,0.9574,0.9251,0.9352,0.9625,
L3 evict bandwidth [MBytes/s],970.6317,822.0065,1200.2763,787.5261,975.8941,999.4341,
L3 evict data volume [GBytes],0.4818,0.4080,0.5957,0.3909,0.4844,0.4960,
L3 bandwidth [MBytes/s],2779.1341,2809.3963,3129.3438,2651.3768,2860.1115,2938.5820,
L3 data volume [GBytes],1.3794,1.3944,1.5532,1.3159,1.4195,1.4585,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,2.9778,0.4963,0.4963,0.4963,,,
Runtime unhalted [s] STAT,1.0360,0.1386,0.1838,0.1727,,,
Clock [MHz] STAT,5987.5015,997.9042,997.9239,997.9169,,,
CPI STAT,44.5777,5.8980,8.0433,7.4296,,,
L3 load bandwidth [MBytes/s] STAT,11412.1757,1808.5025,1987.3897,1902.0293,,,
L3 load data volume [GBytes] STAT,5.6642,0.8976,0.9864,0.9440,,,
L3 evict bandwidth [MBytes/s] STAT,5755.7688,787.5261,1200.2763,959.2948,,,
L3 evict data volume [GBytes] STAT,2.8568,0.3909,0.5957,0.4761,,,
L3 bandwidth [MBytes/s] STAT,17167.9445,2651.3768,3129.3438,2861.3241,,,
L3 data volume [GBytes] STAT,8.5209,1.3159,1.5532,1.4202,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.208544759 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,52628127,51231828,52664493,52888729,52429618,47167517
CPU_CLK_UNHALTED_CORE,FIXC1,374728449,397969317,398763531,399830500,400794987,332755365
