STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1868184927
CPU_CLK_UNHALTED_CORE,FIXC1,9308073811
CPU_CLK_UNHALTED_REF,FIXC2,12117964000
UOPS_RETIRED_USED_CYCLES,PMC0,704568013
UOPS_RETIRED_STALL_CYCLES,PMC1,8603505798
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,9308073811
UOPS_RETIRED_STALL_CYCLES,PMC3,258342036
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],5.5993,
Runtime unhalted [s],4.2157,
Clock [MHz],1695.9601,
CPI,4.9824,
Used cycles ratio [%],7.5694,
Unused cycles ratio [%],92.4306,
Avg stall duration [cycles],33.3028,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866123990
CPU_CLK_UNHALTED_CORE,FIXC1,9305186033
CPU_CLK_UNHALTED_REF,FIXC2,12114003584
L2_LINES_IN_ALL,PMC0,903153191
L2_TRANS_L2_WB,PMC1,534809878
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],5.5990,
Runtime unhalted [s],4.2144,
Clock [MHz],1695.9882,
CPI,4.9864,
L3 load bandwidth [MBytes/s],10323.5170,
L3 load data volume [GBytes],57.8018,
L3 evict bandwidth [MBytes/s],6113.1588,
L3 evict data volume [GBytes],34.2278,
L3 bandwidth [MBytes/s],16436.6757,
L3 data volume [GBytes],92.0296,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866610493
CPU_CLK_UNHALTED_CORE,FIXC1,9305175163
CPU_CLK_UNHALTED_REF,FIXC2,12113992176
MEM_INST_RETIRED_ALL_LOADS,PMC0,678751150
MEM_INST_RETIRED_ALL_STORES,PMC1,678645540
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],5.5989,
Runtime unhalted [s],4.2144,
Clock [MHz],1695.9879,
CPI,4.9851,
Load to store ratio,1.0002,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866180981
CPU_CLK_UNHALTED_CORE,FIXC1,9305495108
CPU_CLK_UNHALTED_REF,FIXC2,12114405716
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],5.5989,
Runtime unhalted [s],4.2146,
Clock [MHz],1695.9883,
CPI,4.9864,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866582993
CPU_CLK_UNHALTED_CORE,FIXC1,9305586257
CPU_CLK_UNHALTED_REF,FIXC2,12114532032
L2_TRANS_ALL_REQUESTS,PMC0,3010743234
L2_RQSTS_MISS,PMC1,992646583
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],5.5993,
Runtime unhalted [s],4.2146,
Clock [MHz],1695.9872,
CPI,4.9854,
L2 request rate,1.6130,
L2 miss rate,0.5318,
L2 miss ratio,0.3297,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866096800
CPU_CLK_UNHALTED_CORE,FIXC1,9304906206
CPU_CLK_UNHALTED_REF,FIXC2,12113644508
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,9163374537
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,9297533002
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,9113537232
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,7943217362
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],5.5987,
Runtime unhalted [s],4.2143,
Clock [MHz],1695.9875,
CPI,4.9863,
Cycles without execution [%],85.3659,
Cycles without execution due to L1D [%],97.9434,
Cycles without execution due to L2 [%],98.4790,
Cycles without execution due to memory loads [%],99.9208,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866409444
CPU_CLK_UNHALTED_CORE,FIXC1,9305198553
CPU_CLK_UNHALTED_REF,FIXC2,12114018120
ITLB_MISSES_CAUSES_A_WALK,PMC0,3144
ITLB_MISSES_WALK_ACTIVE,PMC1,165367
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],5.5988,
Runtime unhalted [s],4.2144,
Clock [MHz],1695.9885,
CPI,4.9856,
L1 ITLB misses,3144,
L1 ITLB miss rate,1.684518e-06,
L1 ITLB miss duration [Cyc],52.5976,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.207930877 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,1866368709
CPU_CLK_UNHALTED_CORE,FIXC1,9305685290
CPU_CLK_UNHALTED_REF,FIXC2,12114653012
DRAM_READS,MBOX0C1,541974372
DRAM_WRITES,MBOX0C2,169294070
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],5.5993,
Runtime unhalted [s],4.2147,
Clock [MHz],1695.9883,
CPI,4.9860,
Memory load bandwidth [MBytes/s],6194.7572,
Memory load data volume [GBytes],34.6864,
