STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207913819 GHz,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,640823921,637353669,632980812,
CPU_CLK_UNHALTED_CORE,FIXC1,3110999289,3085595416,3123139657,
CPU_CLK_UNHALTED_REF,FIXC2,5737617076,5690726608,5760381096,
UOPS_RETIRED_USED_CYCLES,PMC0,246953671,244021322,244313767,
UOPS_RETIRED_STALL_CYCLES,PMC1,2864045618,2841574094,2878825957,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3110999289,3085595416,3123139724,
UOPS_RETIRED_STALL_CYCLES,PMC3,96289758,92418048,92457130,
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,1911158402,632980812,640823921,6.370528e+08
CPU_CLK_UNHALTED_CORE STAT,FIXC1,9319734362,3085595416,3123139657,3.106578e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,17188724780,5690726608,5760381096,5.729575e+09
UOPS_RETIRED_USED_CYCLES STAT,PMC0,735288760,244021322,246953671,2.450963e+08
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,8584445669,2841574094,2878825957,2.861482e+09
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,9319734429,3085595416,3123139724,3106578143
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,281164936,92418048,96289758,9.372165e+07
TABLE,Group 1 Metric,UOPS_RETIRE,7,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.6967,2.6967,2.6967,,
Runtime unhalted [s],1.4090,1.3975,1.4145,,
Clock [MHz],1197.1552,1197.1632,1197.0776,,
CPI,4.8547,4.8413,4.9340,,
Used cycles ratio [%],7.9381,7.9084,7.8227,,
Unused cycles ratio [%],92.0619,92.0916,92.1773,,
Avg stall duration [cycles],29.7440,30.7470,31.1369,,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.0901,2.6967,2.6967,2.6967,
Runtime unhalted [s] STAT,4.2210,1.3975,1.4145,1.4070,
Clock [MHz] STAT,3591.3960,1197.0776,1197.1632,1197.1320,
CPI STAT,14.6300,4.8413,4.9340,4.8767,
Used cycles ratio [%] STAT,23.6692,7.8227,7.9381,7.8897,
Unused cycles ratio [%] STAT,276.3308,92.0619,92.1773,92.1103,
Avg stall duration [cycles] STAT,91.6279,29.7440,31.1369,30.5426,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207913819 GHz,,,,
TABLE,Group 2 Raw,L3,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,640110873,637215295,629827555,
CPU_CLK_UNHALTED_CORE,FIXC1,3108251497,3085983643,3114601528,
CPU_CLK_UNHALTED_REF,FIXC2,5732538860,5691440620,5744221388,
L2_LINES_IN_ALL,PMC0,256676882,259917560,251466955,
L2_TRANS_L2_WB,PMC1,99361931,103210462,112798784,
TABLE,Group 2 Raw STAT,L3,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,1907153723,629827555,640110873,6.357179e+08
CPU_CLK_UNHALTED_CORE STAT,FIXC1,9308836668,3085983643,3114601528,3102945556
CPU_CLK_UNHALTED_REF STAT,FIXC2,17168200868,5691440620,5744221388,5.722734e+09
L2_LINES_IN_ALL STAT,PMC0,768061397,251466955,259917560,2.560205e+08
L2_TRANS_L2_WB STAT,PMC1,315371177,99361931,112798784,1.051237e+08
TABLE,Group 2 Metric,L3,10,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.6944,2.6944,2.6944,,
Runtime unhalted [s],1.4078,1.3977,1.4107,,
Clock [MHz],1197.1574,1197.1637,1197.1634,,
CPI,4.8558,4.8429,4.9452,,
L3 load bandwidth [MBytes/s],6096.8743,6173.8505,5973.1223,,
L3 load data volume [GBytes],16.4273,16.6347,16.0939,,
L3 evict bandwidth [MBytes/s],2360.1549,2451.5695,2679.3220,,
L3 evict data volume [GBytes],6.3592,6.6055,7.2191,,
L3 bandwidth [MBytes/s],8457.0292,8625.4199,8652.4443,,
L3 data volume [GBytes],22.7865,23.2402,23.3130,,
TABLE,Group 2 Metric STAT,L3,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,8.0832,2.6944,2.6944,2.6944,
Runtime unhalted [s] STAT,4.2162,1.3977,1.4107,1.4054,
Clock [MHz] STAT,3591.4845,1197.1574,1197.1637,1197.1615,
CPI STAT,14.6439,4.8429,4.9452,4.8813,
L3 load bandwidth [MBytes/s] STAT,18243.8471,5973.1223,6173.8505,6081.2824,
L3 load data volume [GBytes] STAT,49.1559,16.0939,16.6347,16.3853,
L3 evict bandwidth [MBytes/s] STAT,7491.0464,2360.1549,2679.3220,2497.0155,
L3 evict data volume [GBytes] STAT,20.1838,6.3592,7.2191,6.7279,
L3 bandwidth [MBytes/s] STAT,25734.8934,8457.0292,8652.4443,8578.2978,
L3 data volume [GBytes] STAT,69.3397,22.7865,23.3130,23.1132,
STRUCT,Info,3,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,
CPU type:,Intel Coffeelake processor,,,,
CPU clock:,2.207913819 GHz,,,,
TABLE,Group 3 Raw,DATA,5,,
Event,Counter,Core 0,Core 1,Core 2,
INSTR_RETIRED_ANY,FIXC0,636286354,625631033,626153011,
CPU_CLK_UNHALTED_CORE,FIXC1,3058014569,3037396841,3063987491,
CPU_CLK_UNHALTED_REF,FIXC2,5639864408,5601830688,5650872668,
MEM_INST_RETIRED_ALL_LOADS,PMC0,232074890,227520756,228391542,
MEM_INST_RETIRED_ALL_STORES,PMC1,229514282,227473878,225814998,
TABLE,Group 3 Raw STAT,DATA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,1888070398,625631033,636286354,6.293568e+08
CPU_CLK_UNHALTED_CORE STAT,FIXC1,9159398901,3037396841,3063987491,3053132967
CPU_CLK_UNHALTED_REF STAT,FIXC2,16892567764,5601830688,5650872668,5.630856e+09
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,687987188,227520756,232074890,2.293291e+08
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,682803158,225814998,229514282,2.276011e+08
TABLE,Group 3 Metric,DATA,5,,
Metric,Core 0,Core 1,Core 2,,
Runtime (RDTSC) [s],2.6967,2.6967,2.6967,,
Runtime unhalted [s],1.3850,1.3757,1.3877,,
