STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207989705 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,316987526,318281902,308801912,313658563,323654914,323939802
CPU_CLK_UNHALTED_CORE,FIXC1,3581184380,3590010717,3551592041,3599348079,3610924831,3617734820
CPU_CLK_UNHALTED_REF,FIXC2,4662167712,4673729720,4623639584,4685811160,4700883980,4709750480
UOPS_RETIRED_USED_CYCLES,PMC0,119656991,120577054,115600053,117176598,120438202,120596591
UOPS_RETIRED_STALL_CYCLES,PMC1,3461527389,3469433663,3435991988,3482171481,3490486629,3497138229
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,3581184380,3590010717,3551592041,3599348079,3610924831,3617734820
UOPS_RETIRED_STALL_CYCLES,PMC3,58413059,59293278,56626375,57228368,58826309,58923315
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,1905324619,308801912,323939802,3.175541e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21550794868,3551592041,3617734820,3.591799e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,28055982636,4623639584,4709750480,4675997106,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,714045489,115600053,120596591,1.190076e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,20836749379,3435991988,3497138229,3.472792e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,21550794868,3551592041,3617734820,3.591799e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,349310704,56626375,59293278,5.821845e+07,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],2.1938,2.1938,2.1938,2.1938,2.1938,2.1938,
Runtime unhalted [s],1.6219,1.6259,1.6085,1.6301,1.6354,1.6385,
Clock [MHz],1696.0390,1696.0131,1696.0402,1696.0401,1696.0395,1696.0392,
CPI,11.2976,11.2793,11.5012,11.4754,11.1567,11.1679,
Used cycles ratio [%],3.3413,3.3587,3.2549,3.2555,3.3354,3.3335,
Unused cycles ratio [%],96.6587,96.6413,96.7451,96.7445,96.6646,96.6665,
Avg stall duration [cycles],59.2595,58.5131,60.6783,60.8469,59.3355,59.3507,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,13.1628,2.1938,2.1938,2.1938,,,
Runtime unhalted [s] STAT,9.7603,1.6085,1.6385,1.6267,,,
Clock [MHz] STAT,10176.2111,1696.0131,1696.0402,1696.0352,,,
CPI STAT,67.8781,11.1567,11.5012,11.3130,,,
Used cycles ratio [%] STAT,19.8793,3.2549,3.3587,3.3132,,,
Unused cycles ratio [%] STAT,580.1207,96.6413,96.7451,96.6868,,,
Avg stall duration [cycles] STAT,357.9840,58.5131,60.8469,59.6640,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207989705 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
INSTR_RETIRED_ANY,FIXC0,316196692,317346591,308719449,310677787,318343713,326066891
CPU_CLK_UNHALTED_CORE,FIXC1,3572459389,3579069259,3565914167,3585866804,3593732308,3598504140
CPU_CLK_UNHALTED_REF,FIXC2,4650808196,4659554820,4642287892,4668262528,4678501300,4684714888
L2_LINES_IN_ALL,PMC0,133766940,131844952,121843383,123587286,117624478,119730772
L2_TRANS_L2_WB,PMC1,69883812,70873594,65998232,66624593,60593527,61191815
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,1897351123,308719449,326066891,3.162252e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,21495546067,3565914167,3598504140,3.582591e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,27984129624,4642287892,4684714888,4664021604,,
L2_LINES_IN_ALL STAT,PMC0,748397811,117624478,133766940,1.247330e+08,,
L2_TRANS_L2_WB STAT,PMC1,395165573,60593527,70873594,6.586093e+07,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8,
Runtime (RDTSC) [s],2.1919,2.1919,2.1919,2.1919,2.1919,2.1919,
Runtime unhalted [s],1.6180,1.6210,1.6150,1.6240,1.6276,1.6298,
Clock [MHz],1696.0393,1695.9878,1696.0391,1696.0394,1696.0397,1696.0392,
CPI,11.2982,11.2781,11.5507,11.5421,11.2888,11.0361,
L3 load bandwidth [MBytes/s],3905.8230,3849.7034,3557.6704,3608.5902,3434.4838,3495.9849,
L3 load data volume [GBytes],8.5611,8.4381,7.7980,7.9096,7.5280,7.6628,
L3 evict bandwidth [MBytes/s],2040.5176,2069.4180,1927.0637,1945.3526,1769.2532,1786.7225,
L3 evict data volume [GBytes],4.4726,4.5359,4.2239,4.2640,3.8780,3.9163,
L3 bandwidth [MBytes/s],5946.3406,5919.1214,5484.7341,5553.9428,5203.7370,5282.7074,
L3 data volume [GBytes],13.0336,12.9740,12.0219,12.1736,11.4060,11.5790,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,13.1514,2.1919,2.1919,2.1919,,,
Runtime unhalted [s] STAT,9.7354,1.6150,1.6298,1.6226,,,
Clock [MHz] STAT,10176.1845,1695.9878,1696.0397,1696.0307,,,
CPI STAT,67.9940,11.0361,11.5507,11.3323,,,
L3 load bandwidth [MBytes/s] STAT,21852.2557,3434.4838,3905.8230,3642.0426,,,
L3 load data volume [GBytes] STAT,47.8976,7.5280,8.5611,7.9829,,,
L3 evict bandwidth [MBytes/s] STAT,11538.3276,1769.2532,2069.4180,1923.0546,,,
L3 evict data volume [GBytes] STAT,25.2907,3.8780,4.5359,4.2151,,,
L3 bandwidth [MBytes/s] STAT,33390.5833,5203.7370,5946.3406,5565.0972,,,
L3 data volume [GBytes] STAT,73.1881,11.4060,13.0336,12.1980,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207989705 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 6,Core 1,Core 7,Core 2,Core 8
