STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207996345 GHz,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,301507819,303666822,311476494,308352019,299113165,309901449
CPU_CLK_UNHALTED_CORE,FIXC1,2302381496,2291127847,2324245174,2327855969,2334557190,2341668257
CPU_CLK_UNHALTED_REF,FIXC2,4246255216,4225499004,4286571916,4293235568,4305596964,4318708528
UOPS_RETIRED_USED_CYCLES,PMC0,104969384,111032848,114474774,112887370,108334610,114315201
UOPS_RETIRED_STALL_CYCLES,PMC1,2197412112,2180094999,2209770400,2214968599,2226222580,2227353056
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2302381496,2291127847,2324245174,2327855969,2334557190,2341668257
UOPS_RETIRED_STALL_CYCLES,PMC3,29253232,33107929,34007262,34142632,31495486,34098836
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,1834017768,299113165,311476494,305669628,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13921835933,2291127847,2341668257,2.320306e+09,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,25675867196,4225499004,4318708528,4.279311e+09,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,666014187,104969384,114474774,1.110024e+08,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,13255821746,2180094999,2227353056,2.209304e+09,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,13921835933,2291127847,2341668257,2.320306e+09,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,196105377,29253232,34142632,3.268423e+07,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],1.9899,1.9899,1.9899,1.9899,1.9899,1.9899,
Runtime unhalted [s],1.0427,1.0377,1.0526,1.0543,1.0573,1.0605,
Clock [MHz],1197.2078,1197.2082,1197.2096,1197.2084,1197.2077,1197.2086,
CPI,7.6362,7.5449,7.4620,7.5493,7.8049,7.5562,
Used cycles ratio [%],4.5592,4.8462,4.9252,4.8494,4.6405,4.8818,
Unused cycles ratio [%],95.4408,95.1538,95.0748,95.1506,95.3595,95.1182,
Avg stall duration [cycles],75.1169,65.8481,64.9794,64.8740,70.6839,65.3205,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,11.9394,1.9899,1.9899,1.9899,,,
Runtime unhalted [s] STAT,6.3051,1.0377,1.0605,1.0509,,,
Clock [MHz] STAT,7183.2503,1197.2077,1197.2096,1197.2084,,,
CPI STAT,45.5535,7.4620,7.8049,7.5922,,,
Used cycles ratio [%] STAT,28.7023,4.5592,4.9252,4.7837,,,
Unused cycles ratio [%] STAT,571.2977,95.0748,95.4408,95.2163,,,
Avg stall duration [cycles] STAT,406.8228,64.8740,75.1169,67.8038,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207996345 GHz,,,,,,
TABLE,Group 2 Raw,L3,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
INSTR_RETIRED_ANY,FIXC0,299977162,300304184,306586620,307256576,296281740,308234455
CPU_CLK_UNHALTED_CORE,FIXC1,2291630495,2277147120,2305471131,2310370612,2314984741,2320060421
CPU_CLK_UNHALTED_REF,FIXC2,4226464912,4199715636,4251952500,4260989016,4269498556,4278861764
L2_LINES_IN_ALL,PMC0,118439524,101623621,101166716,106460900,107960570,100658773
L2_TRANS_L2_WB,PMC1,64057493,55037677,61448513,61032594,63232288,64506172
TABLE,Group 2 Raw STAT,L3,5,,,,
Event,Counter,Sum,Min,Max,Avg,,
INSTR_RETIRED_ANY STAT,FIXC0,1818640737,296281740,308234455,3.031068e+08,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,13819664520,2277147120,2320060421,2303277420,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,25487482384,4199715636,4278861764,4.247914e+09,,
L2_LINES_IN_ALL STAT,PMC0,636310104,100658773,118439524,106051684,,
L2_TRANS_L2_WB STAT,PMC1,369314737,55037677,64506172,6.155246e+07,,
TABLE,Group 2 Metric,L3,10,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,
Runtime (RDTSC) [s],1.9872,1.9872,1.9872,1.9872,1.9872,1.9872,
Runtime unhalted [s],1.0379,1.0313,1.0441,1.0464,1.0485,1.0508,
Clock [MHz],1197.1972,1197.2078,1197.2081,1197.2079,1197.2080,1197.2074,
CPI,7.6393,7.5828,7.5198,7.5194,7.8135,7.5269,
L3 load bandwidth [MBytes/s],3814.4500,3272.8789,3258.1639,3428.6678,3476.9660,3241.8051,
L3 load data volume [GBytes],7.5801,6.5039,6.4747,6.8135,6.9095,6.4422,
L3 evict bandwidth [MBytes/s],2063.0284,1772.5372,1979.0039,1965.6089,2036.4520,2077.4785,
L3 evict data volume [GBytes],4.0997,3.5224,3.9327,3.9061,4.0469,4.1284,
L3 bandwidth [MBytes/s],5877.4784,5045.4162,5237.1678,5394.2767,5513.4180,5319.2837,
L3 data volume [GBytes],11.6798,10.0263,10.4074,10.7196,10.9563,10.5706,
TABLE,Group 2 Metric STAT,L3,10,,,,
Metric,Sum,Min,Max,Avg,,,
Runtime (RDTSC) [s] STAT,11.9232,1.9872,1.9872,1.9872,,,
Runtime unhalted [s] STAT,6.2590,1.0313,1.0508,1.0432,,,
Clock [MHz] STAT,7183.2364,1197.1972,1197.2081,1197.2061,,,
CPI STAT,45.6017,7.5194,7.8135,7.6003,,,
L3 load bandwidth [MBytes/s] STAT,20492.9317,3241.8051,3814.4500,3415.4886,,,
L3 load data volume [GBytes] STAT,40.7239,6.4422,7.5801,6.7873,,,
L3 evict bandwidth [MBytes/s] STAT,11894.1089,1772.5372,2077.4785,1982.3515,,,
L3 evict data volume [GBytes] STAT,23.6362,3.5224,4.1284,3.9394,,,
L3 bandwidth [MBytes/s] STAT,32387.0408,5045.4162,5877.4784,5397.8401,,,
L3 data volume [GBytes] STAT,64.3600,10.0263,11.6798,10.7267,,,
STRUCT,Info,3,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,
CPU clock:,2.207996345 GHz,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5
