STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208030115 GHz,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,153831709,136171860,145946742,145505781,231527184,138872840,163487391,160728382,155029184,154639188,178454087,147732170
CPU_CLK_UNHALTED_CORE,FIXC1,2371717376,2484285951,2636847701,2663441463,2735582914,2586286269,2780110427,2800238642,2825258243,2826857476,2858740989,2698519029
CPU_CLK_UNHALTED_REF,FIXC2,3087628652,3234165792,3432780360,3467401708,3561317332,3366956660,3619359120,3645491260,3678062480,3680147844,3721654012,3513066552
UOPS_RETIRED_USED_CYCLES,PMC0,60141472,55797508,59908833,59588139,89238313,54700257,68159792,65284377,63506975,63401293,72454110,58262610
UOPS_RETIRED_STALL_CYCLES,PMC1,2311575904,2428488443,2576938868,2603853324,2646344601,2531586012,2711950635,2734954265,2761751268,2763456183,2786286879,2640256419
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,2371717376,2484285951,2636847701,2663441463,2735582914,2586286269,2780110427,2800238642,2825258243,2826857476,2858740989,2698519029
UOPS_RETIRED_STALL_CYCLES,PMC3,25722450,24345496,26240983,26307792,33526072,24044523,29626989,27894642,27970434,28030620,30699464,25490967
TABLE,Group 1 Raw STAT,UOPS_RETIRE,7,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,1911926518,136171860,231527184,1.593272e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,32267886480,2371717376,2858740989,2688990540,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,42008031772,3087628652,3721654012,3.500669e+09,,,,,,,,
UOPS_RETIRED_USED_CYCLES STAT,PMC0,770443679,54700257,89238313,6.420364e+07,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC1,31497442801,2311575904,2786286879,2.624787e+09,,,,,,,,
CPU_CLOCK_UNHALTED_TOTAL_CYCLES STAT,PMC2,32267886480,2371717376,2858740989,2688990540,,,,,,,,
UOPS_RETIRED_STALL_CYCLES STAT,PMC3,329900432,24044523,33526072,2.749170e+07,,,,,,,,
TABLE,Group 1 Metric,UOPS_RETIRE,7,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,1.4846,
Runtime unhalted [s],1.0741,1.1251,1.1942,1.2063,1.2389,1.1713,1.2591,1.2682,1.2795,1.2803,1.2947,1.2221,
Clock [MHz],1696.0665,1696.0720,1696.0710,1696.0708,1696.0717,1696.0711,1696.0372,1696.0708,1696.0710,1696.0695,1696.0701,1696.0713,
CPI,15.4176,18.2438,18.0672,18.3047,11.8154,18.6234,17.0050,17.4222,18.2240,18.2803,16.0195,18.2663,
Used cycles ratio [%],2.5358,2.2460,2.2720,2.2373,3.2621,2.1150,2.4517,2.3314,2.2478,2.2428,2.5345,2.1591,
Unused cycles ratio [%],97.4642,97.7540,97.7280,97.7627,96.7379,97.8850,97.5483,97.6686,97.7522,97.7572,97.4655,97.8409,
Avg stall duration [cycles],89.8661,99.7510,98.2028,98.9765,78.9339,105.2874,91.5365,98.0459,98.7382,98.5871,90.7601,103.5762,
TABLE,Group 1 Metric STAT,UOPS_RETIRE,7,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,17.8152,1.4846,1.4846,1.4846,,,,,,,,,
Runtime unhalted [s] STAT,14.6138,1.0741,1.2947,1.2178,,,,,,,,,
Clock [MHz] STAT,20352.8130,1696.0372,1696.0720,1696.0678,,,,,,,,,
CPI STAT,205.6894,11.8154,18.6234,17.1408,,,,,,,,,
Used cycles ratio [%] STAT,28.6355,2.1150,3.2621,2.3863,,,,,,,,,
Unused cycles ratio [%] STAT,1171.3645,96.7379,97.8850,97.6137,,,,,,,,,
Avg stall duration [cycles] STAT,1152.2617,78.9339,105.2874,96.0218,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208030115 GHz,,,,,,,,,,,,
TABLE,Group 2 Raw,L3,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,149704264,133385619,140284959,140393296,144093731,166396227,153254432,157031152,145926215,145885618,163975114,173178625
CPU_CLK_UNHALTED_CORE,FIXC1,2349722851,2443333443,2561304982,2585003104,2592483881,2577447449,2619191830,2643128960,2661652585,2667888957,2709414351,2422416117
CPU_CLK_UNHALTED_REF,FIXC2,3058989052,3180935788,3334437512,3365287228,3375063148,3356402328,3409844024,3441605644,3465074752,3473191544,3527254240,3153623196
L2_LINES_IN_ALL,PMC0,39885581,37676072,38711914,37563686,40399910,41070831,40638129,39089631,39811055,40226164,44115503,38088792
L2_TRANS_L2_WB,PMC1,16924321,22064271,23251571,23429981,23883259,24942297,23747405,24167381,24435640,24470205,23897754,23087956
TABLE,Group 2 Raw STAT,L3,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,1813509252,133385619,173178625,151125771,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,30832988510,2349722851,2709414351,2.569416e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,40141708456,3058989052,3527254240,3.345142e+09,,,,,,,,
L2_LINES_IN_ALL STAT,PMC0,477277268,37563686,44115503,3.977311e+07,,,,,,,,
L2_TRANS_L2_WB STAT,PMC1,278302041,16924321,24942297,2.319184e+07,,,,,,,,
TABLE,Group 2 Metric,L3,10,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,1.4765,
Runtime unhalted [s],1.0642,1.1066,1.1600,1.1707,1.1741,1.1673,1.1862,1.1971,1.2054,1.2083,1.2271,1.0971,
Clock [MHz],1696.0698,1696.0273,1696.0697,1696.0706,1696.0520,1695.5898,1696.0466,1695.7516,1696.0699,1696.0709,1696.0695,1696.0706,
CPI,15.6958,18.3178,18.2579,18.4126,17.9916,15.4898,17.0905,16.8319,18.2397,18.2875,16.5233,13.9880,
L3 load bandwidth [MBytes/s],1728.8630,1633.0906,1677.9898,1628.2192,1751.1569,1780.2383,1761.4826,1694.3621,1725.6326,1743.6258,1912.2114,1650.9802,
L3 load data volume [GBytes],2.5527,2.4113,2.4776,2.4041,2.5856,2.6285,2.6008,2.5017,2.5479,2.5745,2.8234,2.4377,
L3 evict bandwidth [MBytes/s],733.5942,956.3883,1007.8525,1015.5857,1035.2333,1081.1379,1029.3447,1047.5488,1059.1766,1060.6748,1035.8616,1000.7605,
L3 evict data volume [GBytes],1.0832,1.4121,1.4881,1.4995,1.5285,1.5963,1.5198,1.5467,1.5639,1.5661,1.5295,1.4776,
L3 bandwidth [MBytes/s],2462.4573,2589.4789,2685.8422,2643.8049,2786.3902,2861.3763,2790.8273,2741.9109,2784.8092,2804.3006,2948.0730,2651.7407,
L3 data volume [GBytes],3.6358,3.8234,3.9657,3.9036,4.1141,4.2248,4.1207,4.0484,4.1118,4.1406,4.3528,3.9153,
TABLE,Group 2 Metric STAT,L3,10,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,17.7180,1.4765,1.4765,1.4765,,,,,,,,,
Runtime unhalted [s] STAT,13.9641,1.0642,1.2271,1.1637,,,,,,,,,
Clock [MHz] STAT,20351.9583,1695.5898,1696.0709,1695.9965,,,,,,,,,
CPI STAT,205.1264,13.9880,18.4126,17.0939,,,,,,,,,
L3 load bandwidth [MBytes/s] STAT,20687.8525,1628.2192,1912.2114,1723.9877,,,,,,,,,
L3 load data volume [GBytes] STAT,30.5458,2.4041,2.8234,2.5455,,,,,,,,,
L3 evict bandwidth [MBytes/s] STAT,12063.1589,733.5942,1081.1379,1005.2632,,,,,,,,,
L3 evict data volume [GBytes] STAT,17.8113,1.0832,1.5963,1.4843,,,,,,,,,
L3 bandwidth [MBytes/s] STAT,32751.0115,2462.4573,2948.0730,2729.2510,,,,,,,,,
L3 data volume [GBytes] STAT,48.3570,3.6358,4.3528,4.0298,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208030115 GHz,,,,,,,,,,,,
TABLE,Group 3 Raw,DATA,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,141806715,137976542,159057658,144389357,151963918,160986267,157690445,156027321,150993830,150101879,158940756,159840525
CPU_CLK_UNHALTED_CORE,FIXC1,2367780503,2517626748,2642222921,2678519593,2684128485,2705403063,2711985749,2721871379,2743762081,2766684673,2767964414,2613339849
CPU_CLK_UNHALTED_REF,FIXC2,3082500572,3277577740,3439777604,3487031012,3494335444,3522032228,3530604604,3543473380,3571969920,3601808280,3603480656,3402175732
MEM_INST_RETIRED_ALL_LOADS,PMC0,53982376,51423486,57639240,53932757,56225898,57781967,60626808,57015382,56336358,56012023,58306485,56142523
MEM_INST_RETIRED_ALL_STORES,PMC1,43858107,45849802,49954100,48720786,49925617,51304073,48445710,51259090,51080682,50725355,51435372,53082061
TABLE,Group 3 Raw STAT,DATA,5,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,1829775213,137976542,160986267,1.524813e+08,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,31921289458,2367780503,2767964414,2.660107e+09,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,41556767172,3082500572,3603480656,3463063931,,,,,,,,
MEM_INST_RETIRED_ALL_LOADS STAT,PMC0,675425303,51423486,60626808,5.628544e+07,,,,,,,,
MEM_INST_RETIRED_ALL_STORES STAT,PMC1,595640755,43858107,53082061,4.963673e+07,,,,,,,,
TABLE,Group 3 Metric,DATA,5,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,
Runtime (RDTSC) [s],1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,1.4870,
Runtime unhalted [s],1.0723,1.1402,1.1966,1.2131,1.2156,1.2253,1.2282,1.2327,1.2426,1.2530,1.2536,1.1836,
Clock [MHz],1696.0680,1696.0683,1696.0712,1696.0709,1696.0697,1696.0695,1696.0682,1696.0686,1696.0695,1696.0711,1696.0682,1696.0714,
CPI,16.6972,18.2468,16.6117,18.5507,17.6629,16.8052,17.1982,17.4448,18.1714,18.4320,17.4151,16.3497,
Load to store ratio,1.2308,1.1216,1.1538,1.1070,1.1262,1.1263,1.2514,1.1123,1.1029,1.1042,1.1336,1.0577,
TABLE,Group 3 Metric STAT,DATA,5,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,
Runtime (RDTSC) [s] STAT,17.8440,1.4870,1.4870,1.4870,,,,,,,,,
Runtime unhalted [s] STAT,14.4568,1.0723,1.2536,1.2047,,,,,,,,,
Clock [MHz] STAT,20352.8346,1696.0680,1696.0714,1696.0696,,,,,,,,,
CPI STAT,209.5857,16.3497,18.5507,17.4655,,,,,,,,,
Load to store ratio STAT,13.6278,1.0577,1.2514,1.1357,,,,,,,,,
STRUCT,Info,3,,,,,,,,,,,
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,,,,,,,,,,,,
CPU type:,Intel Coffeelake processor,,,,,,,,,,,,
CPU clock:,2.208030115 GHz,,,,,,,,,,,,
TABLE,Group 4 Raw,FLOPS_AVX,5,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11
INSTR_RETIRED_ANY,FIXC0,142547580,138528307,172721653,141857772,142231380,146950847,157493239,148047689,151926350,147835947,148686334,149854878
CPU_CLK_UNHALTED_CORE,FIXC1,2435059721,2544660653,2655230688,2687108359,2700613343,2708162915,2722223542,2739462633,2744657273,2767481972,2776858598,2732156850
